BX = 000 Event : 1
1 0 0101100|101|000 0x0B28
1 1 0110000|101|010 0x0C2A
2 0 0110100|101|001 0x0D29
2 1 0110101|101|000 0x0D68
2 2 0110110|001|010 0x0D8A
2 3 0110111|110|010 0x0DF2
2 4 0111010|100|011 0x0EA3
4 0 0000110|010|111 0x0197
4 1 0100101|000|010 0x0942
4 2 0101000|101|011 0x0A2B
4 3 0101001|101|011 0x0A6B
5 0 0001001|010|000 0x0250
5 1 0001010|101|001 0x02A9
5 2 0001100|100|010 0x0322
6 0 0010001|100|000 0x0460
6 1 0010011|010|001 0x04D1
6 2 0010100|101|011 0x052B
6 3 0010101|101|101 0x056D
6 4 0010110|000|111 0x0587
6 5 0010111|000|111 0x05C7
7 0 0011010|000|011 0x0683
7 1 0011011|001|100 0x06CC
7 2 0011100|000|101 0x0705
7 3 0011101|100|110 0x0766
7 4 0011110|100|111 0x07A7
BX = 001 Event : 2
0 0 1000011|100|000 0x10E0
2 0 1001101|100|110 0x1366
3 0 0101010|001|100 0x0A8C
3 1 0101101|101|101 0x0B6D
3 2 0110101|000|110 0x0D46
4 0 0111100|010|010 0x0F12
4 1 0111101|100|010 0x0F62
4 2 1000000|101|011 0x102B
5 0 0010001|010|100 0x0454
5 1 0010011|010|100 0x04D4
5 2 0010100|001|100 0x050C
5 3 0010110|010|101 0x0595
7 0 0011010|100|100 0x06A4
BX = 010 Event : 3
0 0 0011100|000|111 0x0707
0 1 0011101|000|111 0x0747
1 0 0011110|000|000 0x0780
1 1 0011111|100|000 0x07E0
2 0 0100110|001|011 0x098B
4 0 0000011|101|101 0x00ED
4 1 0000100|110|110 0x0136
5 0 0000111|001|111 0x01CF
6 0 0001010|001|100 0x028C
6 1 0001100|101|110 0x032E
BX = 011 Event : 4
0 0 0110010|100|000 0x0CA0
0 1 0110100|000|111 0x0D07
2 0 0111001|000|010 0x0E42
3 0 0100110|001|101 0x098D
3 1 0100111|100|101 0x09E5
3 2 0101000|001|101 0x0A0D
3 3 0111110|001|011 0x0F8B
4 0 0000101|000|100 0x0144
4 1 0000111|100|101 0x01E5
4 2 0001010|000|110 0x0286
4 3 0001011|000|110 0x02C6
4 4 0101111|100|001 0x0BE1
7 0 0011010|100|000 0x06A0
BX = 100 Event : 5
0 0 0100100|000|000 0x0900
1 0 0100110|101|110 0x09AE
2 0 0101000|110|100 0x0A34
3 0 0110001|110|001 0x0C71
4 0 0000001|010|110 0x0056
5 0 0000100|000|100 0x0104
5 1 0001000|101|110 0x022E
5 2 0001010|100|110 0x02A6
6 0 0010001|100|111 0x0467
6 1 0010010|100|111 0x04A7
7 0 0010110|001|011 0x058B
7 1 0010111|001|011 0x05CB
BX = 101 Event : 6
0 0 0101011|000|011 0x0AC3
0 1 0101100|000|011 0x0B03
