BX = 000 Event : 1
0 0 0100000|0000|011 0x1003
2 0 0100011|1001|011 0x11CB
3 0 0100101|1000|011 0x12C3
7 0 0001011|1000|011 0x05C3
BX = 001 Event : 2
0 0 0100110|1011|000 0x1358
0 1 0101000|0100|110 0x1426
2 0 0110000|1010|011 0x1853
4 0 0001001|1011|110 0x04DE
4 1 0001010|0000|111 0x0507
5 0 0001011|1000|000 0x05C0
5 1 0001111|0011|110 0x079E
7 0 0010011|1001|010 0x09CA
7 1 0010101|0011|111 0x0A9F
BX = 010 Event : 3
0 0 0111011|1000|000 0x1DC0
0 1 0111100|1001|010 0x1E4A
0 2 0111101|0010|101 0x1E95
2 0 1000000|1011|110 0x205E
3 0 1000101|0100|111 0x22A7
4 0 0011010|1010|100 0x0D54
4 1 0011011|1100|111 0x0DE7
5 0 0011100|1100|000 0x0E60
5 1 0011111|0000|011 0x0F83
6 0 0100010|0011|101 0x111D
6 1 0100011|1000|101 0x11C5
6 2 0100100|1100|101 0x1265
BX = 011 Event : 4
1 0 0011010|0011|100 0x0D1C
1 1 0011011|1000|100 0x0DC4
1 2 0011100|1011|100 0x0E5C
1 3 0011101|0100|100 0x0EA4
1 4 0011110|1000|100 0x0F44
1 5 0011111|1001|100 0x0FCC
1 6 0100000|1001|100 0x104C
1 7 0100001|1010|111 0x10D7
2 0 0100011|0011|000 0x1198
4 0 0000101|0010|111 0x0297
5 0 0001000|1010|111 0x0457
5 1 0001001|0011|111 0x049F
7 0 0001101|1100|010 0x06E2
BX = 100 Event : 5
5 0 0100101|0001|000 0x1288
5 1 0100110|0000|101 0x1305
5 2 0101001|0001|110 0x148E
6 0 0101011|1000|010 0x15C2
6 1 0101100|1000|110 0x1646
7 0 0110001|0000|011 0x1883
7 1 0110010|1001|101 0x194D
7 2 0110011|0100|101 0x19A5
7 3 0110100|0000|101 0x1A05
7 4 0110101|1010|101 0x1AD5
BX = 101 Event : 6
0 0 0011000|0001|101 0x0C0D
1 0 0011110|1000|101 0x0F45
3 0 0100011|0010|111 0x1197
6 0 0001001|1010|111 0x04D7
7 0 0001010|0010|000 0x0510
7 1 0001011|1000|100 0x05C4
BX = 110 Event : 7
1 0 0101100|0100|111 0x1627
2 0 0110010|0100|011 0x1923
3 0 0110100|0100|011 0x1A23
3 1 0110101|0000|011 0x1A83
3 2 0110110|0010|110 0x1B16
3 3 0110111|1010|110 0x1BD6
4 0 0001001|0100|010 0x04A2
5 0 0001011|0001|111 0x058F
6 0 0001100|1010|010 0x0652
6 1 0001110|1001|110 0x074E
BX = 111 Event : 8
0 0 0011010|1100|000 0x0D60
0 1 0011101|1001|110 0x0ECE
1 0 0011110|1100|011 0x0F63
2 0 0100000|1001|000 0x1048
2 1 0100010|0010|100 0x1114
3 0 0100011|0000|100 0x1184
3 1 0100100|0100|100 0x1224
3 2 0100101|1000|100 0x12C4
5 0 0000111|0010|000 0x0390
5 1 0001001|1001|110 0x04CE
5 2 0001010|1010|110 0x0556
7 0 0001110|1000|011 0x0743
7 1 0001111|0000|011 0x0783
BX = 000 Event : 9
0 0 0101111|0100|110 0x17A6
1 0 0110001|0100|000 0x18A0
4 0 0001000|0000|000 0x0400
4 1 0001001|1000|000 0x04C0
4 2 0001010|0011|000 0x0518
4 3 0001011|1001|000 0x05C8
4 4 0001100|0001|000 0x0608
5 0 0010000|0010|101 0x0815
5 1 0010001|0011|101 0x089D
5 2 0010010|1001|101 0x094D
5 3 0010011|1010|101 0x09D5
6 0 0010110|0011|010 0x0B1A
7 0 0011100|0011|000 0x0E18
7 1 0011101|1011|000 0x0ED8
BX = 001 Event : 10
2 0 0011110|0100|000 0x0F20
6 0 0001001|1001|001 0x04C9
7 0 0001011|1000|010 0x05C2
7 1 0001100|0000|111 0x0607
BX = 010 Event : 11
3 0 0011010|0000|100 0x0D04
7 0 0000100|1010|011 0x0253
7 1 0000101|1011|101 0x02DD
BX = 011 Event : 12
0 0 0110110|0100|000 0x1B20
1 0 0111011|1010|010 0x1DD2
1 1 0111100|1011|011 0x1E5B
2 0 1000000|0011|001 0x2019
3 0 1000111|0000|011 0x2383
3 1 1001000|1001|011 0x244B
3 2 1001001|0001|011 0x248B
3 3 1001100|1010|011 0x2653
3 4 1010011|0001|100 0x298C
3 5 1010100|0010|100 0x2A14
4 0 0000100|1100|111 0x0267
5 0 0000110|0100|010 0x0322
6 0 0001010|0000|011 0x0503
6 1 0001100|1011|101 0x065D
6 2 0010001|1010|110 0x08D6
6 3 0010111|1001|111 0x0BCF
BX = 100 Event : 13
0 0 0001100|0000|000 0x0600
0 1 0010000|0010|111 0x0817
1 0 0010010|0011|111 0x091F
2 0 0010111|1010|011 0x0BD3
3 0 0011100|0100|100 0x0E24
6 0 0000011|1011|010 0x01DA
BX = 101 Event : 14
0 0 0100100|0001|011 0x120B
0 1 0100101|1001|101 0x12CD
1 0 0100111|1010|101 0x13D5
2 0 0101001|0001|011 0x148B
4 0 0000111|0010|000 0x0390
4 1 0001000|0010|000 0x0410
4 2 0001010|0011|010 0x051A
4 3 0001100|0010|111 0x0617
BX = 110 Event : 15
1 0 0011101|1011|011 0x0EDB
1 1 0011110|0000|100 0x0F04
1 2 0011111|1100|100 0x0FE4
1 3 0100000|1000|100 0x1044
1 4 0100001|1001|100 0x10CC
1 5 0100010|1001|101 0x114D
1 6 0100011|1010|101 0x11D5
1 7 0100100|1010|101 0x1255
1 8 0100101|0001|111 0x128F
2 0 0100110|1010|000 0x1350
2 1 0100111|1001|011 0x13CB
2 2 0101001|1001|100 0x14CC
2 3 0101010|0000|100 0x1504
2 4 0101011|1000|100 0x15C4
2 5 0101100|1011|100 0x165C
2 6 0101101|0001|100 0x168C
2 7 0101110|0000|100 0x1704
2 8 0101111|0001|100 0x178C
2 9 0110000|0010|100 0x1814
2 a 0110001|0000|100 0x1884
2 b 0110010|0000|100 0x1904
2 c 0110100|0010|110 0x1A16
2 d 0110101|0011|110 0x1A9E
2 e 0110110|0001|110 0x1B0E
2 f 0111001|0010|111 0x1C97
2 10 0111010|0000|111 0x1D07
2 11 0111011|0000|111 0x1D87
2 12 0111100|0001|111 0x1E0F
3 0 0111111|1010|000 0x1FD0
3 1 1000011|0010|011 0x2193
3 2 1000110|1100|100 0x2364
4 0 0000110|1011|000 0x0358
4 1 0001001|1011|010 0x04DA
4 2 0001010|1100|111 0x0567
7 0 0001110|1011|010 0x075A
BX = 111 Event : 16
2 0 0101000|1011|001 0x1459
4 0 0000010|1000|010 0x0142
BX = 000 Event : 17
0 0 0011000|0100|111 0x0C27
5 0 0001000|1001|000 0x0448
7 0 0001011|0000|100 0x0584
BX = 001 Event : 18
0 0 0011101|1001|000 0x0EC8
0 1 0011111|1010|101 0x0FD5
1 0 0100101|1100|111 0x12E7
2 0 0100111|1001|110 0x13CE
4 0 0001011|1001|111 0x05CF
6 0 0001110|0100|011 0x0723
6 1 0010000|1011|111 0x085F
7 0 0010001|0000|010 0x0882
7 1 0010010|1000|100 0x0944
