BX = 000 Event : 1
00 0000001|1011011|01000111101010|0000|1001 0x036D1EA09
01 0000001|1110001|01100100110011|0000|0000 0x03C593300
02 0000000|1110001|01010111011000|1010|1001 0x01C55D8A9
03 0000000|1110001|01101110101110|0011|1011 0x01C5BAE3B
04 0000001|1011011|01110111100010|1010|1000 0x036DDE2A8
05 0000000|1011011|01111100100100|1101|0011 0x016DF24D3
06 0000011|0100110|01000111011011|0010|1000 0x06991DB28
07 0000100|1110001|01000111000101|0111|0011 0x09C51C573
08 0000100|1011011|01000111101101|1010|1000 0x096D1EDA8
09 0000101|1110001|01101000111101|1111|1000 0x0BC5A3DF8
0a 0000101|1110001|01110001011110|0011|1001 0x0BC5C5E39
0b 0000100|1110001|01101111110011|0010|0011 0x09C5BF323
0c 0000100|1110001|01110100111010|0101|0011 0x09C5D3A53
0d 0000111|0100110|01001001100110|1110|1000 0x0E99266E8
0e 0000111|0100110|01001011110111|0000|0000 0x0E992F700
0f 0000110|0100110|01001000001100|1101|0100 0x0C9920CD4
10 0000110|0010000|01110000100000|0111|0011 0x0C41C2073
11 0000110|0010000|01100011011011|0000|0010 0x0C418DB02
12 0001000|1110001|01001001100110|0011|1000 0x11C526638
13 0001001|1011011|01100100001110|0111|0001 0x136D90E71
14 0001000|1011011|01011101101111|0010|1001 0x116D76F29
BX = 001 Event : 2
00 0000001|1011011|01001101101000|0010|1010 0x036D3682A
01 0000000|1011011|01000110111000|0000|1011 0x016D1B80B
02 0000001|1110001|01010111110101|1001|1010 0x03C55F59A
03 0000000|1110001|01011101110101|1101|0011 0x01C5775D3
04 0000011|0100110|01110110101101|1110|1001 0x0699DADE9
05 0000011|0100110|01111011100110|0000|1000 0x0699EE608
06 0000100|1110001|01000010000111|0100|0001 0x09C508741
07 0000100|1011011|01010101110000|0001|1000 0x096D57018
08 0000101|1110001|01101111011101|0010|0010 0x0BC5BDD22
09 0000101|1110001|01110010000001|0100|1011 0x0BC5C814B
0a 0000100|1110001|01110011110011|0100|1010 0x09C5CF34A
0b 0000100|1011011|01111011111101|1100|0000 0x096DEFDC0
0c 0000111|0010000|01101101001001|0101|0011 0x0E41B4953
0d 0000110|0010000|01100100100011|0000|0010 0x0C4192302
0e 0001000|1011011|01010010110100|1100|0011 0x116D4B4C3
BX = 010 Event : 3
00 0000001|1011011|01010100110010|0110|0010 0x036D53262
01 0000001|1011011|01010100101100|0110|1000 0x036D52C68
02 0000001|1011011|01001111111010|0011|0010 0x036D3FA32
03 0000001|1011011|01000010110100|1110|0001 0x036D0B4E1
04 0000011|0100110|01000100000001|0000|0011 0x069910103
05 0000010|0100110|01000000110101|0000|0010 0x049903502
06 0000011|0010000|01101100100111|0111|1010 0x0641B277A
07 0000011|0010000|01100101000010|0011|1001 0x064194239
08 0000010|0010000|01010111110100|1101|1001 0x04415F4D9
09 0000101|1011011|01011011010000|0101|1000 0x0B6D6D058
0a 0000101|1110001|01100010110001|1011|1011 0x0BC58B1BB
0b 0000101|1110001|01110000011001|0011|0001 0x0BC5C1931
0c 0000100|1011011|01111101111011|1101|1000 0x096DF7BD8
0d 0001001|1011011|01011100100110|0010|1011 0x136D7262B
BX = 011 Event : 4
00 0000001|1110001|01101101101001|0011|0000 0x03C5B6930
01 0000000|1110001|01010110001010|1001|1011 0x01C558A9B
02 0000000|1110001|01100000000010|1110|0011 0x01C5802E3
03 0000000|1110001|01100110000001|0000|1010 0x01C59810A
04 0000010|0100110|01001110001010|0101|1000 0x049938A58
05 0000010|0100110|01001110100001|0110|1001 0x04993A169
06 0000011|0010000|01100001110111|0001|0011 0x064187713
07 0000011|0100110|01101111001011|1010|0011 0x0699BCBA3
08 0000011|0100110|01110010001100|1100|1001 0x0699C8CC9
09 0000100|1110001|01000000100100|0011|0001 0x09C502431
0a 0000101|1110001|01100110011110|1110|1010 0x0BC599EEA
0b 0000101|1011011|01111100111001|1100|1010 0x0B6DF39CA
0c 0000110|0100110|01000011100111|1010|0011 0x0C990E7A3
0d 0000110|0100110|01000011101110|1010|1001 0x0C990EEA9
0e 0000110|0100110|01010001010110|0010|0000 0x0C9945620
0f 0001000|1110001|01101010011100|1110|1011 0x11C5A9CEB
BX = 100 Event : 5
00 0000001|1011011|01001101111011|0010|1010 0x036D37B2A
01 0000001|1011011|01001101010101|0010|1001 0x036D35529
02 0000000|1110001|01110001001010|0100|0010 0x01C5C4A42
03 0000000|1110001|01110001011000|0100|1011 0x01C5C584B
04 0000000|1110001|01110011011010|0101|1010 0x01C5CDA5A
05 0000010|0100110|01001011111011|0100|1000 0x04992FB48
06 0000011|0010000|01100100101011|0011|1000 0x064192B38
07 0000010|0010000|01011000001111|1101|1001 0x044160FD9
08 0000011|0100110|01110010100010|1100|1001 0x0699CA2C9
09 0000011|0100110|01110010110001|1100|0000 0x0699CB1C0
0a 0000100|1011011|01011001110001|0100|1000 0x096D67148
0b 0000100|1011011|01001001101011|1100|1011 0x096D26BCB
0c 0000110|0100110|01010010100111|0011|0100 0x0C994A734
0d 0000111|0010000|01011001111011|1001|1000 0x0E4167B98
0e 0001001|1110001|01101001010011|1101|1010 0x13C5A53DA
