BX = 000 Event : 1
00 011000111000|0100011|11110011010101|101 0x63847E6AD
01 011000010011|0100011|11001000000110|000 0x613479030
02 011000010010|0100011|11001001111001|010 0x6124793CA
03 010111111100|0100011|11001101111011|101 0x5FC479BDD
04 011100111010|1011100|11001111011001|110 0x73AB99ECE
05 011011010011|1011100|11000101100101|010 0x6D3B98B2A
06 011100001110|1101110|11111101011101|010 0x70EDDFAEA
07 011100000001|1101110|11011001101110|000 0x701DDB370
08 011011000000|1101110|11110011100101|110 0x6C0DDE72E
09 011100100110|0010001|11011001100110|010 0x72623B332
0a 011100011100|0010001|11010000010010|110 0x71C23A096
0b 011111000100|1011100|11100101011110|110 0x7C4B9CAF6
BX = 001 Event : 2
00 011000000000|0100011|11000101110110|101 0x600478BB5
01 011001111001|0010001|11110110100011|001 0x67923ED19
02 011000011101|0010001|11111000001011|001 0x61D23F059
03 011000011101|0010001|11111000000010|100 0x61D23F014
04 011000010000|0010001|11111111101101|101 0x61023FF6D
05 011011011001|1011100|11001001101101|110 0x6D9B9936E
06 011100101110|1101110|11110000101110|000 0x72EDDE170
07 011011110010|1101110|11011010100111|000 0x6F2DDB538
08 011101110111|0010001|11011100111010|000 0x77723B9D0
09 011101000001|0010001|11101100011001|010 0x74123D8CA
0a 011100111010|0100011|11101100001010|001 0x73A47D851
BX = 010 Event : 3
00 011001100100|0100011|11110000111111|101 0x66447E1FD
01 011001010001|0100011|11001110110001|101 0x651479D8D
02 011011101001|1101110|11100011001101|110 0x6E9DDC66E
03 011011001010|1101110|11110010100110|000 0x6CADDE530
04 011101010000|0010001|11001010100111|000 0x750239538
05 011100101110|0100011|11101110111110|010 0x72E47DDF2
06 100000010000|1011100|11101011111000|000 0x810B9D7C0
07 011111001110|1011100|11101000101000|100 0x7CEB9D144
BX = 011 Event : 4
00 011001000010|0100011|11100101101011|101 0x64247CB5D
01 011000011101|0100011|11101111101111|101 0x61D47DF7D
02 011100001011|1011100|11010110010111|100 0x70BB9ACBC
03 011101110011|0100011|11101000101111|001 0x77347D179
04 100000010101|1011100|11101101101100|100 0x815B9DB64
BX = 100 Event : 5
00 011001001001|0100011|11101101000001|100 0x64947DA0C
01 011000100111|0100011|11011100110100|100 0x62747B9A4
02 011001111100|0010001|11111001010000|110 0x67C23F286
03 011000111001|0010001|11111101011011|100 0x63923FADC
04 011000001101|0010001|11111001110111|010 0x60D23F3BA
05 011100011011|1011100|11001101000000|001 0x71BB99A01
06 011010111011|1011100|11001010001111|110 0x6BBB9947E
07 011101001111|0100011|11110110100001|001 0x74F47ED09
08 011101001010|0100011|11110101101100|110 0x74A47EB66
09 100000010000|1011100|11011111100100|011 0x810B9BF23
BX = 101 Event : 6
00 011010001000|0100011|11100101011010|100 0x68847CAD4
01 011011111011|1011100|11000000111101|001 0x6FBB981E9
02 011100011111|1101110|11110001110010|011 0x71FDDE393
03 011011111101|1101110|11111000001110|001 0x6FDDDF071
04 011101000001|0010001|11001001001011|110 0x74123925E
05 100001001000|1011100|11101110110000|011 0x848B9DD83
06 011110111010|1011100|11100111011101|010 0x7BAB9CEEA
BX = 110 Event : 7
00 011101011100|0010001|11000101111010|010 0x75C238BD2
01 011100100010|0010001|11000010011000|001 0x7222384C1
BX = 111 Event : 8
00 011010010111|0100011|11110001101110|000 0x69747E370
01 011001001111|0100011|11001000000000|010 0x64F479002
02 011000001110|0100011|11010111101110|101 0x60E47AF75
03 011010110011|1011100|11010000000101|010 0x6B3B9A02A
04 011100100101|1101110|11100011100000|000 0x725DDC700
05 011011110000|1101110|11011110010110|110 0x6F0DDBCB6
06 011101111011|0010001|11010101100000|010 0x77B23AB02
07 011101110110|0010001|11010101101101|101 0x77623AB6D
08 011110010000|0100011|11110110010000|100 0x79047EC84
09 011111101000|1101110|11000111100011|001 0x7E8DD8F19
BX = 000 Event : 9
00 011001110101|0010001|11000001110000|001 0x675238381
01 011010010001|0100011|11010101100011|110 0x69147AB1E
02 011000100110|0100011|11101100001000|000 0x62647D840
03 011011110100|1101110|11100000010010|110 0x6F4DDC096
04 011110101010|0010001|11101010110101|110 0x7AA23D5AE
05 011110011001|0010001|11100111100101|010 0x79923CF2A
06 011110010001|0010001|11101011011010|110 0x79123D6D6
07 011110111111|1011100|11100100100110|100 0x7BFB9C934
BX = 001 Event : 10
00 011000010101|0010001|11000000110111|101 0x6152381BD
