BX = 000 Event : 1
00 0000000|0010000|00011011000001|0111|0011 0x00406C173
01 0000000|0100110|00110000111001|0011|1011 0x0098C393B
02 0000000|0100110|00110010001000|0011|0010 0x0098C8832
03 0000001|0010000|00111011100111|1011|1001 0x0240EE7B9
04 0000010|1011011|00100001011011|1110|1011 0x056C85BEB
05 0000010|1011011|00011011010101|1011|0011 0x056C6D5B3
06 0000100|0100110|00000000101101|1100|0011 0x089802DC3
07 0000100|0100110|00001100110101|0010|0011 0x089833523
08 0000101|0100110|00111101011011|0010|0000 0x0A98F5B20
09 0000100|0100110|00110100101001|1110|1001 0x0898D29E9
0a 0001001|0010000|00101100011010|1110|1010 0x1240B1AEA
BX = 001 Event : 2
00 0000001|0010000|00001000011010|1111|0000 0x024021AF0
01 0000000|0010000|00010010100111|0011|0000 0x00404A730
02 0000000|0100110|00110111001000|0110|0001 0x0098DC861
03 0000000|0010000|00111000001100|1010|0001 0x0040E0CA1
04 0000011|1011011|00101000110111|0001|1000 0x076CA3718
05 0000010|1110001|00111001001000|1100|1001 0x05C4E48C9
06 0000101|0010000|00100011001110|0001|0011 0x0A408CE13
07 0000101|0010000|00100001010010|0000|1000 0x0A4085208
08 0000101|0010000|00011101111000|1111|1010 0x0A40778FA
09 0000100|0010000|00101000111011|0100|0000 0x0840A3B40
0a 0000100|0010000|00100001110101|0000|1011 0x08408750B
0b 0000111|1011011|00001011111001|0011|1000 0x0F6C2F938
0c 0000111|1011011|00001010000100|0010|0000 0x0F6C28420
0d 0000111|1011011|00000001001001|1101|1010 0x0F6C049DA
0e 0000110|1011011|00000111111001|0000|0011 0x0D6C1F903
0f 0001000|0010000|00001010000101|0010|1001 0x104028529
10 0001001|0010000|00101110001100|1111|0010 0x1240B8CF2
BX = 010 Event : 3
00 0000000|0010000|00000001000101|1100|0001 0x0040045C1
01 0000010|1110001|00001101101101|0010|1001 0x05C436D29
02 0000010|1011011|00100001001100|1110|0100 0x056C84CE4
03 0000101|0100110|00111101100100|0010|1010 0x0A98F642A
04 0000101|0100110|00111101101100|0010|0010 0x0A98F6C22
05 0000100|0100110|00110001011011|1100|0011 0x0898C5BC3
06 0001001|0010000|00110010101111|0010|1010 0x1240CAF2A
07 0001001|0010000|00101000101001|1011|0010 0x1240A29B2
BX = 011 Event : 4
00 0000000|0100110|00011101100011|1011|1000 0x0098763B8
01 0000000|0010000|00111011011001|1011|1000 0x0040ED9B8
02 0000111|1011011|00001111101110|0101|1000 0x0F6C3EE58
03 0000110|1110001|00011100000101|1111|0100 0x0DC4705F4
04 0001000|0010000|00001111111101|0110|1000 0x10403FD68
05 0001000|0100110|00010000100011|1001|1001 0x109842399
06 0001000|0100110|00010100100010|1100|0000 0x1098522C0
BX = 100 Event : 5
00 0000000|0010000|00010101110011|0100|1001 0x004057349
01 0000001|0100110|00100100001011|1110|1010 0x029890BEA
02 0000001|0100110|00100100101110|1110|1010 0x029892EEA
03 0000000|0100110|00101011001011|0000|0011 0x0098ACB03
04 0000000|0100110|00110110111110|0101|1010 0x0098DBE5A
05 0000011|1110001|00001011000110|0000|1001 0x07C42C609
06 0000011|1110001|00001011100011|0001|0001 0x07C42E311
07 0000010|1110001|00001100001011|0001|0010 0x05C430B12
08 0000011|1011011|00100000000011|1101|0000 0x076C803D0
09 0000010|1011011|00100011000100|1111|1011 0x056C8C4FB
0a 0000010|1011011|00011101011010|1100|0001 0x056C75AC1
0b 0000100|0100110|00110000111111|1100|0011 0x0898C3FC3
0c 0000100|0100110|00111000010100|0000|0001 0x0898E1401
BX = 101 Event : 6
00 0000001|0010000|00001101011001|0001|0011 0x024035913
01 0000001|0010000|00000111000101|1111|0010 0x02401C5F2
02 0000001|0010000|00000110010001|1110|1011 0x0240191EB
03 0000001|0100110|00110111111101|0110|1000 0x0298DFD68
04 0000011|1110001|00000101111101|1110|0001 0x07C417DE1
05 0000011|1110001|00010001000100|0100|1001 0x07C444449
06 0000010|1011011|00100111000001|0000|1001 0x056C9C109
07 0000011|1110001|00110101100010|1001|0001 0x07C4D6291
08 0000111|1011011|00000110111111|0000|0000 0x0F6C1BF00
09 0000110|1011011|00010000011011|0101|0000 0x0D6C41B50
0a 0001001|0010000|00101011010110|1101|1000 0x1240AD6D8
BX = 110 Event : 7
00 0000001|0010000|00000100110001|1110|0010 0x0240131E2
01 0000000|0010000|00001001010111|0000|0001 0x004025701
02 0000000|0010000|00000001000010|1100|0010 0x0040042C2
03 0000000|0100110|00101111110010|0010|0011 0x0098BF223
04 0000010|1110001|00010010010110|0100|1001 0x05C449649
05 0000010|1110001|00010010011101|0100|0010 0x05C449D42
06 0000011|1011011|00110100001001|0111|0010 0x076CD0972
07 0000010|1011011|00100000100001|1110|0011 0x056C821E3
08 0000011|1110001|00111001001100|1011|0001 0x07C4E4CB1
09 0000101|0100110|00010100001100|0111|1001 0x0A9850C79
0a 0000100|0100110|00001101000101|0010|0010 0x089834522
0b 0000100|0010000|00011110110011|1111|1010 0x08407B3FA
0c 0000100|0010000|00010101110000|1010|0010 0x0840570A2
0d 0000101|0100110|00110111111101|0000|1001 0x0A98DFD09
0e 0000100|0100110|00101111010111|1011|0011 0x0898BD7B3
0f 0000111|1011011|00000000100010|1100|1001 0x0F6C022C9
10 0000111|1011011|00101100011000|1010|0011 0x0F6CB18A3
11 0001000|0010000|00000111011000|0001|0010 0x10401D812
BX = 111 Event : 8
00 0000000|0010000|00001100011011|0000|0001 0x004031B01
01 0000000|0010000|00000000000000|1100|1010 0x0040000CA
02 0000000|0100110|00101111101111|0010|0010 0x0098BEF22
03 0000000|0100110|00111000001011|0110|1000 0x0098E0B68
04 0000011|1110001|00000101100001|1110|0010 0x07C4161E2
05 0000011|1110001|00000110001101|1111|0011 0x07C418DF3
06 0000101|0100110|00001000011110|0000|0011 0x0A9821E03
07 0000101|0100110|00110101110011|1110|0001 0x0A98D73E1
08 0000101|0100110|00110110001111|1110|1000 0x0A98D8FE8
09 0000110|1011011|00010000111110|0110|1001 0x0D6C43E69
0a 0000111|1110001|00010111011101|1100|0001 0x0FC45DDC1
0b 0000111|1011011|00110001000101|1101|1011 0x0F6CC45DB
0c 0001001|0100110|00011010010011|0000|0001 0x129869301
0d 0001000|0100110|00111111101101|1101|0010 0x1098FEDD2
BX = 000 Event : 9
00 0000001|0100110|00100100111001|1110|0011 0x0298939E3
01 0000001|0100110|00110001110100|0100|0000 0x0298C7440
02 0000001|0100110|00110100110101|0101|1010 0x0298D355A
03 0000001|0100110|00110111101011|0110|0011 0x0298DEB63
04 0000000|0100110|00011100111001|1011|1000 0x0098739B8
05 0000000|0100110|00110101101110|0101|0001 0x0098D6E51
06 0000010|1110001|00001010111001|0000|0001 0x05C42B901
07 0000011|1011011|00101111000100|0100|0000 0x076CBC440
08 0000010|1011011|00100110010010|0000|0100 0x056C99204
09 0000101|0100110|00001010111011|0001|0001 0x0A982BB11
0a 0000101|0100110|00010011110110|0111|0010 0x0A984F672
0b 0000100|0100110|00000000101101|1100|0011 0x089802DC3
0c 0000100|0100110|00010101000010|0111|1011 0x08985427B
0d 0000100|0100110|00010101001010|0111|0001 0x089854A71
0e 0000101|0010000|00011000010111|1100|0011 0x0A40617C3
0f 0000100|0010000|00010110101001|1011|0000 0x08405A9B0
10 0000110|1110001|00011011001101|1110|0100 0x0DC46CDE4
11 0000110|1110001|00011100100001|1111|0011 0x0DC4721F3
12 0000110|1110001|00101001001011|0110|1010 0x0DC4A4B6A
13 0001001|0010000|00001101011010|0101|0011 0x124035A53
14 0001001|0010000|00110001111011|0001|0011 0x1240C7B13
BX = 001 Event : 10
00 0000010|1110001|00001011000001|0000|1001 0x05C42C109
01 0000011|1011011|00101010111100|0010|0000 0x076CABC20
02 0000010|1011011|00101100100011|0011|0001 0x056CB2331
03 0000100|0100110|00000010000101|1101|0011 0x0898085D3
04 0001001|0100110|00011100001111|0000|0011 0x129870F03
05 0001000|0100110|00111100010101|1011|0001 0x1098F15B1
BX = 010 Event : 11
