BX = 000 Event : 1
00 0000000|1011010|10000010110001|0000|1000 0x016A0B108
01 0000001|1110000|10010111110101|1011|0011 0x03C25F5B3
02 0000000|1110000|10011111101011|1111|0000 0x01C27EBF0
03 0000000|1110000|10101111111000|0101|0010 0x01C2BF852
04 0000011|0001111|10011011001010|0001|1010 0x063E6CA1A
05 0000010|0001111|10011110001010|0011|1001 0x043E78A39
06 0000011|0100101|10101011100100|1100|0000 0x0696AE4C0
07 0000101|1110000|10010100011011|1011|1010 0x0BC251BBA
08 0000100|1110000|10010100110011|1100|0011 0x09C2533C3
09 0000111|0100101|10000101000000|0101|0011 0x0E9614053
0a 0000111|0001111|10001101100001|1101|1000 0x0E3E361D8
0b 0000110|0100101|10110010001011|0100|1010 0x0C96C8B4A
0c 0000111|0001111|10111110101001|1110|1001 0x0E3EFA9E9
0d 0001001|1011010|10001001110010|0100|0011 0x136A27243
BX = 001 Event : 2
00 0000001|1011010|10001100011001|0011|1000 0x036A31938
01 0000000|1011010|10001011010110|0010|1010 0x016A2D62A
02 0000000|1011010|10000110111011|0000|1010 0x016A1BB0A
03 0000001|1110000|10011101001011|1101|1010 0x03C274BDA
04 0000001|1110000|10101001110111|0010|1010 0x03C2A772A
05 0000001|1110000|10101100001000|0011|1010 0x03C2B083A
06 0000000|1110000|10100010011001|0000|0010 0x01C289902
07 0000000|1011010|10110010100101|1010|0011 0x016ACA5A3
08 0000011|0001111|10011101110001|0011|1001 0x063E77139
09 0000011|0001111|10010111111001|0000|0010 0x063E5F902
0a 0000011|0001111|10010111101110|0000|1010 0x063E5EE0A
0b 0000010|0001111|10001100011001|1011|0011 0x043E319B3
0c 0000010|0100101|10101001011010|1011|1001 0x0496A5AB9
0d 0000111|0100101|10000100101011|0101|0001 0x0E9612B51
0e 0000110|0100101|10110101110010|0110|1010 0x0C96D726A
0f 0000110|0001111|10110110100111|1001|1011 0x0C3EDA79B
10 0001001|1110000|10001111011001|1010|0001 0x13C23D9A1
BX = 010 Event : 3
00 0000001|1011010|10010001101100|0110|1000 0x036A46C68
01 0000001|1011010|10000001000110|1111|0001 0x036A046F1
02 0000000|1011010|10010110111010|0111|0000 0x016A5BA70
03 0000000|1011010|10010110011111|0111|1011 0x016A59F7B
04 0000001|1110000|10101101101111|0100|0011 0x03C2B6F43
05 0000000|1110000|10010110101101|1011|1010 0x01C25ADBA
06 0000000|1110000|10100000110010|1111|1010 0x01C2832FA
07 0000000|1110000|10100100000110|0000|1000 0x01C290608
08 0000000|1110000|10110010000101|0110|0010 0x01C2C8562
09 0000000|1011010|10110100111010|1011|0000 0x016AD3AB0
0a 0000010|0100101|10001010001101|0111|1011 0x049628D7B
0b 0000010|0001111|10001110101110|1100|0010 0x043E3AEC2
0c 0000010|0001111|10001010110000|1010|1011 0x043E2B0AB
0d 0000010|0100101|10110010011111|0000|0000 0x0496C9F00
0e 0000101|1110000|10101000110011|0111|1001 0x0BC2A3379
0f 0000101|1110000|10101001011000|0111|1000 0x0BC2A5878
10 0000100|1110000|10100101101111|0100|1001 0x09C296F49
11 0000101|1011010|10101001110000|1001|0000 0x0B6AA7090
12 0000111|0001111|10011110011001|0111|0011 0x0E3E79973
13 0000111|0100101|10110010101001|0101|0010 0x0E96CA952
14 0001001|1011010|10001000001000|0011|0000 0x136A20830
BX = 011 Event : 4
00 0000000|1011010|10001010100110|0010|1000 0x016A2A628
01 0000001|1110000|10101100110110|0100|1001 0x03C2B3649
02 0000000|1110000|10100001001001|1111|1001 0x01C2849F9
03 0000000|1110000|10101100110000|0011|1001 0x01C2B3039
04 0000000|1011010|10111001000010|1100|1000 0x016AE42C8
05 0000011|0100101|10001000010010|0111|1001 0x069621279
06 0000011|0001111|10011000000110|0000|0010 0x063E60602
07 0000100|1110000|10011000111011|1110|0011 0x09C263BE3
08 0001000|1011010|10101100110000|0000|0000 0x116AB3000
BX = 100 Event : 5
00 0000001|1011010|10010100000011|0111|1011 0x036A5037B
01 0000001|1011010|10001110110100|0100|1001 0x036A3B449
02 0000001|1011010|10000000100001|1110|1010 0x036A021EA
03 0000000|1110000|10101110101001|0100|0001 0x01C2BA941
