BX = 000 Event : 1
00 1110111|111110010010|00010101100110|101 0xEFF242B35
01 1110101|111110100100|00000000000110|010 0xEBF480032
02 1111000|111111000010|00011001111000|001 0xF1F8433C1
03 1110110|111111000111|00001101000000|100 0xEDF8E1A04
04 1110110|000001100100|00010000100010|001 0xEC0C82111
05 1110110|000010111111|00010010010011|101 0xEC17E249D
06 1110101|000011001001|00001000000001|001 0xEA1921009
07 1110110|000011111001|00001100110011|000 0xEC1F21998
BX = 001 Event : 2
00 1111000|111100101101|00011010001111|001 0xF1E5A3479
01 1111111|111101010111|00010101010010|001 0xFFEAE2A91
02 0000000|111101010111|00011101100111|100 0x01EAE3B3C
03 1111101|111110000110|00000011011000|101 0xFBF0C06C5
04 1110110|000000110100|00001111011100|100 0xEC0681EE4
05 1110111|000001001000|00010101001100|000 0xEE0902A60
06 1111000|000001100001|00011101001110|101 0xF00C23A75
07 1111101|000010000110|00001011110100|100 0xFA10C17A4
BX = 010 Event : 3
00 1110111|111100101111|00010110110101|101 0xEFE5E2DAD
01 1110101|111100101111|00001011100110|101 0xEBE5E1735
02 1111101|111101001000|00001000000110|000 0xFBE901030
03 1111101|111101011100|00001110000000|001 0xFBEB81C01
04 1111111|111101110111|00010101010101|101 0xFFEEE2AAD
05 1110101|111110011100|00000100100101|001 0xEBF380929
06 1110110|111110101001|00010000101000|000 0xEDF522140
07 1111111|111111011110|00010111101101|000 0xFFFBC2F68
08 1111101|000000011000|00001101001100|101 0xFA0301A65
09 1111111|000000100010|00011000101011|001 0xFE0443159
0a 1111110|000010010000|00010100011011|010 0xFC12028DA
BX = 011 Event : 4
00 1111101|111101110000|00001011010111|001 0xFBEE016B9
01 1111100|111111100011|00000000000000|101 0xF9FC60005
02 1111101|000000000001|00001000011001|100 0xFA00210CC
03 1111101|000000001001|00000110001001|010 0xFA0120C4A
04 1111101|000000010101|00001011010100|100 0xFA02A16A4
05 1111000|000000101010|00011010110011|101 0xF0054359D
06 1111000|000000101100|00011011000000|000 0xF00583600
07 1110101|000001010111|00000001111010|001 0xEA0AE03D1
08 1111000|000011000010|00011101110101|100 0xF01843BAC
BX = 100 Event : 5
00 1111101|111101000000|00001110010100|101 0xFBE801CA5
01 1111111|111101001101|00011001001011|000 0xFFE9A3258
02 1111110|111101110000|00010000000000|001 0xFDEE02001
03 1110111|111110010101|00010101100110|101 0xEFF2A2B35
04 1111101|111111110010|00001100101111|010 0xFBFE4197A
05 1111111|000000000110|00010110101001|001 0xFE00C2D49
06 1111111|000000011010|00010110001111|000 0xFE0342C78
07 1111101|000000011111|00001011001010|100 0xFA03E1654
08 1111111|000000100010|00010110110011|000 0xFE0442D98
09 1110111|000000100010|00010110111111|000 0xEE0442DF8
0a 1111001|000000100101|00011111011010|001 0xF204A3ED1
0b 1111001|000000110110|00011110110000|101 0xF206C3D85
0c 1111001|000000111100|00011111001010|101 0xF20783E55
0d 1111000|000001001000|00011011010111|101 0xF009036BD
0e 1110101|000001100110|00001001100101|001 0xEA0CC1329
0f 1111110|000010010101|00010010111001|101 0xFC12A25CD
10 0000000|000010011101|00011110011011|001 0x0013A3CD9
11 1111100|000010110110|00000001110110|001 0xF816C03B1
12 1111100|000010111000|00000001110110|001 0xF817003B1
13 1110110|000011101111|00010011000001|001 0xEC1DE2609
14 1110101|000011101111|00001010101110|100 0xEA1DE1574
15 1110111|000011110001|00010100010000|100 0xEE1E22884
16 1110101|000011111011|00000011111101|100 0xEA1F607EC
17 1110110|000011111110|00010001111000|010 0xEC1FC23C2
18 1111000|000100000000|00011101111011|001 0xF02003BD9
BX = 101 Event : 6
00 1110110|111110010111|00010010011001|100 0xEDF2E24CC
01 1110110|111110011010|00010000010101|001 0xEDF3420A9
02 1110101|111111001111|00001001100101|101 0xEBF9E132D
03 1110110|111111011011|00001101011011|010 0xEDFB61ADA
04 1110110|111111011110|00001101011011|010 0xEDFBC1ADA
05 1111100|111111100110|00000001100011|000 0xF9FCC0318
06 1111101|111111101000|00001010000010|000 0xFBFD01410
07 0000000|000000011000|00011100100000|100 0x000303904
08 1110110|000000101100|00010010001100|001 0xEC0582461
09 1111110|000001111010|00001111101111|101 0xFC0F41F7D
0a 1111110|000010000100|00001111011111|001 0xFC1081EF9
BX = 110 Event : 7
00 1111101|111101111111|00001011010111|100 0xFBEFE16BC
01 1110111|111110100001|00010101011001|001 0xEFF422AC9
02 1110111|111110101001|00011001000111|101 0xEFF52323D
03 0000000|000000000100|00011011110011|100 0x00008379C
04 1111101|000000011000|00001100010101|000 0xFA03018A8
05 1110101|000000100111|00001000001110|010 0xEA04E1072
06 1111110|000010011101|00001110101110|101 0xFC13A1D75
07 1111111|000010110001|00010110110011|101 0xFE1622D9D
08 0000000|000010111101|00011110100100|010 0x0017A3D22
09 1110110|000011100010|00010001100001|000 0xEC1C42308
BX = 111 Event : 8
00 1111001|111100010100|00011111100100|101 0xF3E283F25
01 1110101|111100111110|00001001101000|101 0xEBE7C1345
02 1111100|111101001000|00000010100111|000 0xF9E900538
03 1111100|111101010111|00000001110110|101 0xF9EAE03B5
04 1111111|111101101011|00011000011110|101 0xFFED630F5
05 1111000|111110110000|00011001111011|100 0xF1F6033DC
06 1111001|000001010010|00011110100011|000 0xF20A43D18
07 1110111|000001100001|00011000101001|000 0xEE0C23148
08 0000000|000010100010|00011011100110|000 0x001443730
09 0000000|000010101001|00011011011100|001 0x0015236E1
0a 1110101|000011010001|00001001111001|001 0xEA1A213C9
0b 1110101|000011011101|00000111011001|100 0xEA1BA0ECC
BX = 000 Event : 9
00 1110101|111100110010|00000001001000|000 0xEBE640240
01 1111101|111101101000|00000011011100|100 0xFBED006E4
02 1110111|000011001100|00010110001110|001 0xEE1982C71
03 1110101|000011100101|00000010101001|100 0xEA1CA054C
04 1111001|000011100111|00011111101000|001 0xF21CE3F41
05 1111001|000011110100|00011110111101|100 0xF21E83DEC
BX = 001 Event : 10
00 1111000|111100000000|00011100100110|010 0xF1E003932
01 1110101|111100101000|00000001111010|001 0xEBE5003D1
02 1111101|111101001010|00000111000100|101 0xFBE940E25
03 1111111|111101101101|00011000000111|000 0xFFEDA3038
04 1111111|111101111100|00010111110100|001 0xFFEF82FA1
05 1110110|111110011010|00010000000111|101 0xEDF34203D
06 1111110|111111011110|00001111010010|000 0xFDFBC1E90
07 1111110|111111100001|00001111100010|001 0xFDFC21F11
08 1110110|000011100000|00010001111000|101 0xEC1C023C5
09 1110101|000100000000|00000011011011|000 0xEA20006D8
BX = 010 Event : 11
00 1110101|111101000001|00000011101001|000 0xEBE820748
01 1110110|111101000110|00010000000001|010 0xEDE8C200A
02 1110110|111110110011|00001110100100|101 0xEDF661D25
03 1111000|111110111101|00011101011011|001 0xF1F7A3AD9
