BX = 000 Event : 1
00 1101101|000110001101|00111100000111|101 0xDA31A783D
01 0011011|000110111100|00101101100111|100 0x363785B3C
02 0010110|000110111110|00111001100010|101 0x2C37C7315
03 0011001|000110111110|00101101011101|100 0x3237C5AEC
04 0010100|001000010110|00100110100011|101 0x2842C4D1D
05 0010010|001000010111|00100110100010|000 0x2442E4D10
06 1110011|001100000010|00111011000001|010 0xE6604760A
07 1100010|001100001100|00111010101100|100 0xC46187564
08 1111011|010000011001|00111101111111|010 0xF68327BFA
09 0100100|010011001001|00101010010110|001 0x4899254B1
0a 1011111|010011011011|00111001110000|001 0xBE9B67381
0b 1011110|010110111010|00111101010000|101 0xBCB747A85
0c 0100011|011010101101|00101101001011|000 0x46D5A5A58
0d 0010010|011010110001|00110110000010|000 0x24D626C10
BX = 001 Event : 2
00 1110101|000110001010|00101001101011|011 0xEA314535B
01 1101111|000111100101|00101010010100|010 0xDE3CA54A2
02 0000010|001000011101|00111101101101|011 0x0443A7B6B
03 0000010|001010000011|00110001011001|110 0x0450662CE
04 1110111|001010001100|00100001111100|110 0xEE51843E6
05 0000101|001011111010|00100111000011|101 0x0A5F44E1D
06 1110100|001100000100|00100101001011|101 0xE86084A5D
07 1100101|001100001100|00101010111010|001 0xCA61855D1
08 0001001|001110000011|00111010010111|101 0x1270674BD
09 1111010|010000011001|00110101101010|010 0xF48326B52
0a 1100001|010000100000|00111000100110|101 0xC28407135
0b 1100000|010000100001|00110011001100|101 0xC08426665
0c 0101001|010011000110|00111110110101|001 0x5298C7DA9
0d 1101110|010011011000|00100011001110|000 0xDC9B04670
0e 0101011|010110100101|00101001111111|101 0x56B4A53FD
0f 1110001|010110110101|00110010010101|100 0xE2B6A64AC
10 1110011|010110110110|00100010111010|000 0xE6B6C45D0
11 1101110|010110110111|00100010011001|001 0xDCB6E44C9
12 0000010|011010110101|00111110110111|000 0x04D6A7DB8
BX = 010 Event : 3
00 0100111|000100001111|00101000011101|100 0x4E21E50EC
01 1110011|000100111101|00110001100101|011 0xE627A632B
02 0011110|000101100001|00111000001010|110 0x3C2C27056
03 0011001|000101100110|00110111000111|011 0x322CC6E3B
04 0001001|000101110011|00111001000100|001 0x122E67221
05 1110111|000111011011|00110111101111|010 0xEE3B66F7A
06 0001100|001000010111|00111110010110|000 0x1842E7CB0
07 1101101|001010001111|00111001110001|011 0xDA51E738B
08 0100010|001011100110|00111110000011|010 0x445CC7C1A
09 1110101|001110010001|00100111101000|101 0xEA7224F45
0a 0010011|010000010010|00110001011111|010 0x2682462FA
0b 1110110|010000011011|00110010010100|000 0xEC83664A0
0c 1100110|010110111000|00101110100011|001 0xCCB705D19
0d 0101011|011010101010|00110011100001|001 0x56D546709
0e 0100010|011010101101|00110000001111|000 0x44D5A6078
0f 0010010|011010110010|00101101001010|100 0x24D645A54
10 1110001|011010111011|00110010010101|100 0xE2D7664AC
11 0010011|011111100010|00101001111001|100 0x26FC453CC
12 0000100|011111100111|00100011010101|100 0x08FCE46AC
13 1110001|011111101100|00101011001111|001 0xE2FD85679
14 1110001|011111101100|00101001100101|000 0xE2FD85328
BX = 011 Event : 4
00 1101110|000101000000|00111000100101|011 0xDC280712B
01 1101011|000111100101|00111100101001|001 0xD63CA7949
02 0011110|001000001110|00110001100110|100 0x3C41C6334
03 0010101|001000010010|00111110111101|010 0x2A4247DEA
04 0000101|001010000011|00100110011101|100 0x0A5064CEC
05 1110110|001010001100|00100100101101|000 0xEC5184968
06 0010010|011010110001|00111001111101|000 0x24D6273E8
07 1110001|011010111011|00110001001100|001 0xE2D766261
08 1111000|011111101010|00101011100010|000 0xF0FD45710
09 1100000|011111110000|00110010101001|100 0xC0FE0654C
BX = 100 Event : 5
00 0001000|000101110101|00110110011011|101 0x102EA6CDD
01 0010000|000111000011|00111011010011|000 0x203867698
02 0011000|001001110111|00101111101011|011 0x304EE5F5B
03 1101011|001010010000|00110100010101|101 0xD652068AD
04 0011110|001011101010|00110010000111|101 0x3C5D4643D
05 0001010|001011110110|00101100011101|000 0x145EC58E8
06 0000100|001110000101|00111010000111|100 0x0870A743C
07 1111101|001110001101|00100100001110|101 0xFA71A4875
08 1110011|001110010001|00101101011100|100 0xE67225AE4
09 1101000|010000011111|00110001110011|101 0xD083E639D
0a 1100001|010011011011|00111100010011|001 0xC29B67899
0b 0011011|010110101001|00101111110111|001 0x36B525FB9
0c 0001100|010110101101|00111100010111|000 0x18B5A78B8
0d 1111000|010110110011|00110011111100|100 0xF0B6667E4
0e 1110001|010110110101|00110011011000|100 0xE2B6A66C4
0f 1101100|011010111100|00110010101011|100 0xD8D78655C
10 0001001|011111100100|00110110000100|100 0x12FC86C24
11 0000110|011111100101|00110101111111|000 0x0CFCA6BF8
12 1111011|011111101000|00110010011001|100 0xF6FD064CC
13 1111010|011111101001|00101010111101|001 0xF4FD255E9
14 1111001|011111101010|00101000100100|001 0xF2FD45121
15 1100100|011111101110|00111010101010|100 0xC8FDC7554
16 1100101|011111101110|00110000100101|100 0xCAFDC612C
BX = 101 Event : 6
00 0100010|000100001111|00111101010011|100 0x4421E7A9C
01 0001011|000100101010|00100101110011|010 0x162544B9A
02 1111011|000100111000|00100110100101|110 0xF62704D2E
03 0011110|000110110111|00110110011110|000 0x3C36E6CF0
04 1110111|000111011101|00110000011100|110 0xEE3BA60E6
05 0001010|001000011010|00110011110000|010 0x144346782
06 0000011|001010000010|00110101100100|101 0x065046B25
07 0010111|001101111011|00110010110111|010 0x2E6F665BA
08 1110011|001110001111|00111001001001|010 0xE671E724A
09 1110010|010000011100|00110000111000|001 0xE483861C1
0a 0100011|010011001001|00101101111010|001 0x469925BD1
0b 1100011|010011011010|00111011110011|001 0xC69B47799
0c 0011000|010110101010|00110010101000|001 0x30B546541
0d 1101000|010110111000|00100110000010|001 0xD0B704C11
0e 0000101|011111100110|00100110100001|100 0x0AFCC4D0C
BX = 110 Event : 7
00 0001001|000100101010|00101001111001|010 0x1225453CA
01 0001001|000100101010|00101001100000|101 0x122545305
02 1111101|000101111111|00110110010001|101 0xFA2FE6C8D
03 1110011|000110001000|00111101000000|010 0xE63107A02
04 1111000|000110001000|00100100101010|010 0xF03104952
05 0100100|000110110001|01000000111100|010 0x4836281E2
06 0000111|000111001100|00111101011011|100 0x0E3987ADC
07 1111011|000111011000|00111001001101|110 0xF63B0726E
08 1110011|000111011111|00111100011000|100 0xE63BE78C4
09 0100100|001000001011|00110110010000|011 0x484166C83
0a 1100101|001000101111|00110100001000|110 0xCA45E6846
0b 0010111|001001110111|00110101100011|110 0x2E4EE6B1E
0c 0010100|001001111001|00110000001001|110 0x284F2604E
0d 1110100|001010001011|00110101110001|000 0xE85166B88
0e 1101000|001010010001|00111011010100|101 0xD052276A5
0f 1100111|001010010010|00110110100011|101 0xCE5246D1D
10 0010101|001011110000|00101010111110|001 0x2A5E055F1
11 1110111|001011111111|00111100101110|100 0xEE5FE7974
12 1101100|001100000111|00110001110010|010 0xD860E6392
13 1101010|001110010100|00111010111010|110 0xD472875D6
14 0011010|010110101000|01000000000100|000 0x34B508020
15 0000000|010110110000|00111111110000|100 0x00B607F84
16 0000001|010110110001|00101101001001|000 0x02B625A48
17 1110010|011010111100|00100110111100|001 0xE4D784DE1
18 0001101|011111100011|00101100100010|100 0x1AFC65914
19 1111110|011111101000|00100111110000|000 0xFCFD04F80
1a 1111011|011111101001|00100111100000|000 0xF6FD24F00
1b 1110001|011111101100|00100111110100|100 0xE2FD84FA4
1c 1101011|011111101110|00100100110101|001 0xD6FDC49A9
BX = 111 Event : 8
00 0010111|000101101011|00100110011001|000 0x2E2D64CC8
01 0000010|000101111010|00111001110000|010 0x042F47382
02 0101000|000110110010|00100111110100|100 0x503644FA4
03 0100110|000110110100|00100111000010|110 0x4C3684E16
04 1110111|000111011011|00110111001110|010 0xEE3B66E72
05 0100100|001000001100|00101010111010|010 0x4841855D2
06 1101100|001000101011|00101111111111|001 0xD84565FF9
07 0100010|001001110001|00110010001111|001 0x444E26479
08 1101101|001100000101|00110101001110|001 0xDA60A6A71
09 1101101|001100001000|00100101001010|101 0xDA6104A55
0a 1110110|001110001110|00110011011111|101 0xEC71C66FD
0b 1110000|001110010011|00101010010101|010 0xE072654AA
0c 1101101|001110010100|00101011111100|100 0xDA72857E4
0d 0011111|010000010000|00101001000010|101 0x3E8205215
0e 1111101|010000011001|00110101000111|001 0xFA8326A39
0f 0001101|010011001111|00101111010001|001 0x1A99E5E89
10 0000011|010110110001|00100101000001|101 0x06B624A0D
11 1111010|010110110011|00101101110011|000 0xF4B665B98
12 1100001|010110111010|00101110001101|001 0xC2B745C69
13 0011000|011111100000|00110100111010|001 0x30FC069D1
14 1100000|011111101111|01000000011101|100 0xC0FDE80EC
BX = 000 Event : 9
00 0001001|000111001010|00111011010101|101 0x1239476AD
01 1110001|000111100000|00111010110100|000 0xE23C075A0
02 0010011|001000010011|00111100010110|010 0x2642678B2
03 1111101|001000100011|00101100000110|101 0xFA4465835
04 1111011|010000011001|00110000101010|010 0xF68326152
05 1100000|010011011011|00111111100101|000 0xC09B67F28
06 1110111|010110110011|00111001111010|000 0xEEB6673D0
07 1101100|011010111101|00101010110111|000 0xD8D7A55B8
08 1101100|011010111101|00101001110100|000 0xD8D7A53A0
09 1100101|011010111111|00100111000010|001 0xCAD7E4E11
0a 0101010|011111011011|00101101010100|001 0x54FB65AA1
0b 0101100|011111011011|00101000100010|000 0x58FB65110
0c 0000000|011111101000|00101000000000|001 0x00FD05001
BX = 001 Event : 10
00 1111000|000100111000|00110100001111|101 0xF0270687D
01 1111111|000111010011|00111110010011|100 0xFE3A67C9C
02 1110101|000111011111|00110000111101|101 0xEA3BE61ED
03 1111001|001011111110|00111101010000|001 0xF25FC7A81
04 1101111|001110010011|00101110101101|001 0xDE7265D69
05 0101001|010000001100|00110000110010|001 0x528186191
06 0011100|010000010000|00110100100010|100 0x388206914
07 0011010|010000010000|00110110011010|000 0x348206CD0
08 0010111|010000010001|00110110000111|101 0x2E8226C3D
09 0011101|011111011111|00110011010110|001 0x3AFBE66B1
0a 1110110|011111101010|00101000111001|000 0xECFD451C8
BX = 010 Event : 11
00 0010010|000100100000|00110011001010|110 0x242406656
01 1110111|000110000110|00110000101100|001 0xEE30C6161
02 0010000|001000010110|00110110010111|011 0x2042C6CBB
03 1111101|001000100000|00111111010001|110 0xFA4407E8E
04 1110011|001010001100|00101110000100|100 0xE65185C24
05 1101011|001110010100|00110101100110|000 0xD67286B30
06 0100000|010000001110|00111000011101|000 0x4081C70E8
07 1110001|010000011100|00110100110110|001 0xE283869B1
08 0011110|011111011110|00111010110100|001 0x3CFBC75A1
09 0011000|011111011111|00111101110110|100 0x30FBE7BB4
0a 1110110|011111101010|00110001011000|001 0xECFD462C1
0b 1110111|011111101010|00100110001011|001 0xEEFD44C59
0c 1101100|011111101110|00100000101100|100 0xD8FDC4164
BX = 011 Event : 12
00 0010010|000100100000|00110100100000|001 0x242406901
01 0100011|000101011101|00110001110110|000 0x462BA63B0
02 0010000|001001111100|00101011101000|001 0x204F85741
03 0001001|001010000001|00100111000000|010 0x125024E02
04 0000100|001010000010|00110010110001|101 0x08504658D
05 1111000|001010001000|00110100111001|010 0xF051069CA
06 0000110|001110000100|00111100110101|101 0x0C70879AD
07 1110000|001110010100|00100010100000|100 0xE07284504
08 0001111|010110101101|00100101111101|001 0x1EB5A4BE9
09 1111000|010110110011|00101011100010|101 0xF0B665715
BX = 100 Event : 13
00 0000001|000101111111|00100110010000|010 0x022FE4C82
01 1110110|000110000110|00110111010011|110 0xEC30C6E9E
02 1110001|000110001010|00111001101010|001 0xE23147351
03 0010110|000110111110|00111011111111|100 0x2C37C77FC
04 0010100|000111000000|00111011101100|100 0x283807764
05 0011000|001000010001|00111010011101|001 0x3042274E9
06 0010000|001001111101|00100110101100|000 0x204FA4D60
07 0001010|001011110100|00111101010111|101 0x145E87ABD
08 1111110|001011111110|00100101110111|100 0xFC5FC4BBC
09 1110110|001110001110|00110110110011|001 0xEC71C6D99
0a 1110100|001110010010|00100100101010|000 0xE87244950
0b 1110010|001110010011|00100100010100|100 0xE472648A4
0c 1100111|001110011001|00100011000010|100 0xCE7324614
0d 1110111|010110110011|00111000110001|000 0xEEB667188
0e 1110011|010110110100|00110101111010|101 0xE6B686BD5
0f 1110111|010110110100|00100100100011|100 0xEEB68491C
BX = 101 Event : 14
00 0100000|000100010100|00101111110000|110 0x402285F86
01 0000000|001000100000|00110000010100|001 0x0044060A1
02 1110111|001110001111|00100111011111|010 0xEE71E4EFA
03 1101111|001110010010|00110101110000|100 0xDE7246B84
04 0001001|010000010110|00101010000011|001 0x1282C5419
05 1111000|010000011010|00110101101100|010 0xF08346B62
06 1101000|010000100000|00100000000010|001 0xD08404011
07 1011111|010000100001|00111011111100|001 0xBE84277E1
08 1101010|010011011010|00100001100110|100 0xD49B44334
09 1100111|010011011011|00100001011101|000 0xCE9B642E8
0a 1100010|010011011011|00101010101000|001 0xC49B65541
0b 1100101|010011011011|00100001001101|001 0xCA9B64269
0c 0001101|010110101101|00111001100100|100 0x1AB5A7324
0d 1101111|010110110101|00111110111011|001 0xDEB6A7DD9
0e 1100000|011011000000|00110100100000|001 0xC0D806901
0f 0100010|011111011100|00111100010110|100 0x44FB878B4
10 0001111|011111100011|00101000010001|000 0x1EFC65088
BX = 110 Event : 15
00 0001100|000101110010|00110101010110|110 0x182E46AB6
01 0001000|001000011011|00110101100101|000 0x104366B28
02 1101010|001010010000|00111101100101|110 0xD45207B2E
03 0100001|001011100111|00111010101010|101 0x425CE7555
04 1111110|001011111101|00101111011011|010 0xFC5FA5EDA
05 1111100|001011111110|00101101111000|100 0xF85FC5BC4
06 0000100|001110000101|00111101111011|101 0x0870A7BDD
07 1100101|001110011000|00110010101111|100 0xCA730657C
08 0001110|010000010100|00101010010110|001 0x1C82854B1
09 0001100|010000010101|00101001111111|100 0x1882A53FC
0a 1111001|010000011010|00110001001011|100 0xF2834625C
0b 1111001|010000011010|00101111000001|001 0xF28345E09
0c 1110100|010000011011|00111110111101|101 0xE88367DED
0d 1110110|010000011011|00110001000001|100 0xEC836620C
0e 1101101|010000011101|00111100110010|000 0xDA83A7990
0f 1101101|010000011101|00110000010011|000 0xDA83A6098
10 1110001|010000011101|00100010101011|000 0xE283A4558
11 0100000|010011001001|00111011101010|101 0x409927755
12 0000101|010011010010|00100110011010|001 0x0A9A44CD1
13 1100011|010011011010|01000000011110|100 0xC69B480F4
14 0011111|010110100111|00111110010110|001 0x3EB4E7CB1
15 0000010|010110110001|00101010001111|101 0x04B62547D
16 1101001|011010111101|00110110001101|100 0xD2D7A6C6C
BX = 111 Event : 16
00 1110011|000100111011|00111100111010|001 0xE627679D1
01 0100000|000101011101|00111111001111|010 0x402BA7E7A
02 0011111|000101100001|00110011010001|010 0x3E2C2668A
03 0100011|001001101111|00110111101101|100 0x464DE6F6C
04 1100001|001100001100|00111110111100|101 0xC26187DE5
05 0011110|001101110110|00111011101000|001 0x3C6EC7741
06 0011000|001101111010|00111010111100|110 0x306F475E6
07 1110010|001110001111|00111110110001|000 0xE471E7D88
08 1101100|010000011101|00110011000110|001 0xD883A6631
09 1101000|010000011111|00110001101001|101 0xD083E634D
0a 0100101|010011001000|00101110000111|101 0x4A9905C3D
0b 1100110|010011011001|00111101110101|000 0xCC9B27BA8
0c 1111101|011010111000|00110110001111|001 0xFAD706C79
BX = 000 Event : 17
00 0010011|000100100000|00101101011000|110 0x262405AC6
01 0000101|000111010011|00100100001011|100 0x0A3A6485C
02 1110110|000111011101|00110110111000|110 0xEC3BA6DC6
03 0100011|001000001011|00111000000111|011 0x46416703B
04 0100011|001000001011|00110111101101|101 0x464166F6D
05 1111111|001000100001|00101011100110|100 0xFE4425734
06 0001011|001001111101|00111000111000|010 0x164FA71C2
07 0001001|001010000000|00110000010010|011 0x125006093
08 1110100|001010001100|00101010000110|110 0xE85185436
09 0100101|001011100101|00111010011110|000 0x4A5CA74F0
0a 0100011|001011100110|00111100000101|101 0x465CC782D
0b 0100000|001011100111|00111100000001|100 0x405CE780C
0c 0010000|001011110100|00100110000001|010 0x205E84C0A
0d 0001001|001011110101|00111010111110|001 0x125EA75F1
0e 1110010|001100000100|00101001100000|100 0xE46085304
0f 0010011|001101111110|00110001001100|000 0x266FC6260
10 1101001|001110011000|00100011000101|101 0xD2730462D
11 1110111|010000011011|00101111001000|101 0xEE8365E45
12 0000010|010011010001|00111110000011|000 0x049A27C18
13 0001000|010110101111|00101101101000|100 0x10B5E5B44
14 0000110|010110101111|00101011001100|001 0x0CB5E5661
15 1110100|010110110101|00100110101000|101 0xE8B6A4D45
16 1110000|011010111011|00111001000101|100 0xE0D76722C
17 1100110|011010111110|00111000100111|000 0xCCD7C7138
18 0101010|011111011011|00101111010100|000 0x54FB65EA0
19 0100100|011111011100|00111101110100|001 0x48FB87BA1
BX = 001 Event : 18
00 0000110|000100101100|00101110001110|010 0x0C2585C72
01 1110100|000100111011|00110100000100|010 0xE82766822
02 0000000|000101111100|00111010011101|100 0x002F874EC
03 1111011|000110000001|00111000011000|001 0xF630270C1
04 0100101|000110110001|00111010101001|010 0x4A362754A
05 0100010|000110110100|00110110000000|010 0x443686C02
06 0100000|000110110110|00110101111000|010 0x4036C6BC2
07 0000100|000111010011|00101010010111|101 0x083A654BD
08 1111110|001000100000|00111001101110|100 0xFC4407374
09 1111000|001000100110|00100100101100|101 0xF044C4965
0a 1110000|001000101011|00100011110011|100 0xE0456479C
0b 1111111|001010000011|00111110110100|010 0xFE5067DA2
0c 1110110|001010001100|00100101011011|101 0xEC5184ADD
0d 1101110|001010001101|01000000001001|100 0xDC51A804C
0e 1101100|001100000111|00110011100101|000 0xD860E6728
0f 1110101|010000011011|00111000011010|100 0xEA83670D4
10 0100000|010110100111|00111011101010|000 0x40B4E7750
11 1100011|010110111000|00111100100011|101 0xC6B70791D
12 0001110|011010110011|00110010001100|001 0x1CD666461
13 0000111|011010110101|00110001101000|001 0x0ED6A6341
14 1111011|011010111000|00110010000101|001 0xF6D706429
15 1101111|011010111100|00101111010100|100 0xDED785EA4
16 1101000|011010111110|00110000011110|001 0xD0D7C60F1
BX = 010 Event : 19
00 0001110|000101110010|00101100001110|100 0x1C2E45874
01 1111011|000110000001|00111010000001|001 0xF63027409
02 1111101|001000100100|00100010101101|001 0xFA4484569
03 1110011|001010001101|00100110110100|110 0xE651A4DA6
04 1101100|001010010010|00100001111111|000 0xD852443F8
05 1100101|001100001001|00111111000100|101 0xCA6127E25
06 1101001|001100001001|00101011100100|001 0xD26125721
07 0011100|001101111000|00111011111100|101 0x386F077E5
08 0011111|001101111000|00101111011001|010 0x3E6F05ECA
09 1101101|001110010011|00110101001000|101 0xDA7266A45
0a 0100010|010000001110|00110000111111|000 0x4481C61F8
0b 1111001|010000011001|00111011111010|101 0xF283277D5
0c 1101000|010110110111|00111011010101|001 0xD0B6E76A9
0d 1101101|011010111100|00111101110110|100 0xDAD787BB4
0e 1100100|011111101110|00110110110001|100 0xC8FDC6D8C
BX = 011 Event : 20
00 0000010|000101111110|00100111111111|001 0x042FC4FF9
01 0000010|001000100000|00101000100111|011 0x04440513B
02 1110110|001000100101|00110101110001|101 0xEC44A6B8D
03 1101011|001000101011|00110101000001|100 0xD64566A0C
04 0010010|001101111111|00101111101011|110 0x246FE5F5E
05 1111100|001110001010|00111001001011|001 0xF87147259
06 1101001|001110010110|00110111100100|101 0xD272C6F25
07 0011111|010011001001|00110010001101|001 0x3E9926469
08 0000101|010110110000|00101000000110|101 0x0AB605035
09 1111111|010110110001|00111000110010|001 0xFEB627191
0a 1101000|010110111000|00110000111001|100 0xD0B7061CC
0b 1100101|010110111000|00110000101100|100 0xCAB706164
BX = 100 Event : 21
00 0010000|000100100000|00111010110100|110 0x2024075A6
01 0010111|001000010010|00110011010011|110 0x2E424669E
02 1110111|001100000000|00110001001000|010 0xEE6006242
03 1101010|001110010111|00101000111011|100 0xD472E51DC
04 0101011|010000001100|00110110000000|000 0x568186C00
05 0011100|010000010000|00101011000011|100 0x38820561C
06 0010101|010000010010|00101011110101|001 0x2A82457A9
07 0010011|010000010011|00101010001011|100 0x26826545C
08 0001100|010000010100|00110011111110|001 0x1882867F1
09 0010100|010011001100|00111100001010|100 0x289987854
0a 0001111|010011001101|00111011111010|100 0x1E99A77D4
0b 1110100|010011010110|00101111100101|000 0xE89AC5F28
0c 1110100|010110110011|00111111101001|001 0xE8B667F49
0d 1110101|010110110011|00111010001000|000 0xEAB667440
0e 1110010|010110110100|00111100000001|100 0xE4B68780C
0f 1101100|010110110110|00110110100110|000 0xD8B6C6D30
10 1100010|010110111001|00110110001101|000 0xC4B726C68
11 0010111|011111100001|00101100111010|100 0x2EFC259D4
12 1110000|011111101100|00100101111001|001 0xE0FD84BC9
BX = 101 Event : 22
00 1111011|000100110100|00110111011110|110 0xF62686EF6
01 0100110|000101011010|00110100000111|110 0x4C2B4683E
02 0000010|000111010110|00100100100100|001 0x043AC4921
03 1110010|000111100100|00101000100101|001 0xE43C85129
04 0011001|001000010000|00111111000001|010 0x324207E0A
05 0011001|001000010010|00101011101111|011 0x32424577B
06 1111100|001000100001|00110111010011|001 0xF84426E99
07 1101011|001000101011|00110110001111|011 0xD64566C7B
08 0011100|001001110011|00111010001111|011 0x384E6747B
09 0010110|001001110111|00110111010001|000 0x2C4EE6E88
0a 0100100|001011100101|00111110100111|100 0x485CA7D3C
0b 0001101|001110000000|00111010111010|001 0x1A70075D1
0c 1100111|010110111000|00110100101001|001 0xCEB706949
0d 0101010|011010101010|00110111100011|100 0x54D546F1C
0e 0010111|011010110000|00110110001010|100 0x2ED606C54
0f 1100110|011010111110|00111001010000|000 0xCCD7C7280
10 1110001|011111101011|00110011001011|000 0xE2FD66658
BX = 110 Event : 23
00 1111010|000100110100|00111100110010|110 0xF42687996
