BX = 000 Event : 1
00 0010001|001001100011|00010010111000|100 0x224C625C4
01 1111010|001001111001|00110000111010|100 0xF44F261D4
02 0001001|001011000101|00110101101111|010 0x1258A6B7A
03 0000111|001011001001|00111100110001|000 0x0E5927988
04 0011110|001100010010|00111100011100|101 0x3C62478E5
05 0100100|001100100111|00111111001110|100 0x4864E7E74
06 0010100|001110000000|00101101100000|101 0x287005B05
07 0010010|001110000010|00101101011111|101 0x247045AFD
08 0001100|001110001001|00110100000011|011 0x18712681B
09 0001010|001110001011|00110100000011|010 0x14716681A
0a 0001110|010000010011|00111110100010|000 0x1C8267D10
0b 0000001|010000100000|00111111110110|010 0x028407FB2
0c 0000011|010011011011|00011101110010|010 0x069B63B92
0d 0010100|010101010110|00111010100101|110 0x28AAC752E
0e 1101111|010101101011|00111100000111|001 0xDEAD67839
0f 0000011|010111101110|00111101001010|011 0x06BDC7A53
10 0001100|010111111100|00111101101100|011 0x18BF87B63
11 0000101|011010011010|00001101101010|001 0x0AD341B51
12 0000011|011010011011|00001101110110|101 0x06D361BB5
13 0001010|011100111100|00001111101001|010 0x14E781F4A
14 0010110|011100100001|00011011111011|010 0x2CE4237DA
15 0000101|011111110001|00001100011000|001 0x0AFE218C1
16 0010010|011111010111|00111011000100|011 0x24FAE7623
BX = 001 Event : 2
00 0000111|001001101100|00110101000001|110 0x0E4D86A0E
01 0011011|001001110101|01000000100110|011 0x364EA8133
02 0011011|001010110011|00010110011110|100 0x365662CF4
03 0100010|001100001100|00010111001010|011 0x446182E53
04 1101111|001110100110|00100111110011|011 0xDE74C4F9B
05 0010011|001111101111|00110100110100|110 0x267DE69A6
06 0010000|001111110101|00111100011000|010 0x207EA78C2
07 0000010|010000000001|00111000110010|110 0x048027196
08 0000010|010001110101|00011010011111|100 0x048EA34FC
09 0001100|010101101101|00000111000000|110 0x18ADA0E06
0a 0011101|010101010000|00110010000100|010 0x3AAA06422
0b 1110111|011000001001|00111101010001|000 0xEEC127A88
0c 0010000|011010010010|00000000001010|101 0x20D240055
0d 0010000|011001111111|00110001000101|000 0x20CFE6228
0e 1110111|011010001110|00010101011000|101 0xEED1C2AC5
0f 1101010|011010010110|00010111110101|001 0xD4D2C2FA9
10 1100110|011010011000|00010101001010|001 0xCCD302A51
11 0101001|011100101010|00001001011000|100 0x52E5412C4
12 0010100|011100100010|00110001011010|011 0x28E4462D3
13 0010011|011100100011|00010111101111|100 0x26E462F7C
14 0000111|011111011100|00110001111111|000 0x0EFB863F8
15 0000111|011111011100|00110001111001|101 0x0EFB863CD
16 1101010|011111101101|00110110111110|110 0xD4FDA6DF6
BX = 010 Event : 3
00 0100111|001011000001|00000001100110|001 0x4E5820331
01 0010101|001010111000|00110110000000|011 0x2A5706C03
02 1101110|001101000001|00011111011111|100 0xDC6823EFC
03 0010111|001111101010|00101111100110|001 0x2E7D45F31
04 0001011|010011010110|00100100000110|010 0x169AC4832
05 1111000|010011100010|00011011001011|110 0xF09C4365E
06 1110110|010011100011|00011011001100|101 0xEC9C63665
07 1111001|010101100100|00100010110100|101 0xF2AC845A5
08 0101011|010111101001|00001001110101|101 0x56BD213AD
09 0100000|010111110000|00001001010000|001 0x40BE01281
0a 0011011|011010001101|00001111000110|110 0x36D1A1E36
0b 0011100|011001111001|00111000011000|001 0x38CF270C1
0c 0010100|011100110101|00000000001001|000 0x28E6A0048
0d 0010010|011100110110|00000000001010|000 0x24E6C0050
0e 0100000|011111100000|00001001000100|101 0x40FC01225
0f 1110111|011111100100|00011111110111|100 0xEEFC83FBC
10 1100100|011111110000|00011101101001|000 0xC8FE03B48
BX = 011 Event : 4
00 0010011|001100011011|00110110111100|101 0x266366DE5
01 0001110|001100100000|00110111100010|110 0x1C6406F16
02 0001001|001100100110|00110111101011|101 0x1264C6F5D
03 1101101|001101000010|00110110010111|100 0xDA6846CBC
04 0000000|001110110010|00000111010010|110 0x007640E96
