BX = 000 Event : 1
00 0011101|00101101|00000011111001101|0011 0x3A5A07CD3
01 0011110|00101101|00000111101010101|1011 0x3C5A0F55B
02 0011110|00110011|00001010011001001|1000 0x3C6614C98
03 0011010|01001100|00001011010001101|1001 0x3498168D9
04 0011101|01010111|00000001010101001|0000 0x3AAE02A90
05 0011101|01011101|00000100110011101|1010 0x3ABA099DA
06 1100111|00001000|00010001101011111|1011 0xCE10235FB
07 1100010|00101000|00100000010101010|0001 0xC45040AA1
08 1100100|00111101|00101011100010110|0011 0xC87A57163
09 1100100|00111101|00101011010111111|1001 0xC87A56BF9
0a 1101001|01000010|00101101010110110|1010 0xD2845AB6A
0b 1101000|01001000|00101000011111100|1010 0xD09050FCA
0c 1100010|01001100|00100000111000001|1001 0xC49841C19
0d 1100100|01001100|00001101000101000|1011 0xC8981A28B
0e 1100010|01010010|00011011110010100|1011 0xC4A43794B
0f 1100100|01010010|00001100111001000|0010 0xC8A419C82
10 1101000|01010111|00101011000000101|0010 0xD0AE56052
11 1100011|01100001|00101000111011100|0010 0xC6C251DC2
12 1100011|01100110|00010010001100111|0001 0xC6CC24671
13 1101000|01101100|00101010111001000|0011 0xD0D855C83
14 0011000|00001101|00111110111101000|0000 0x301A7DE80
15 0011101|00011000|00110100101010010|1010 0x3A306952A
16 0011001|01010010|00110010101101100|1011 0x32A4656CB
17 0011000|01100110|00110110001011110|0000 0x30CC6C5E0
18 0011000|01111011|00110110101110000|1000 0x30F66D708
BX = 001 Event : 2
00 0011110|01011101|00001001010000111|1100 0x3CBA1287C
01 0011110|01101100|00000111110011111|0011 0x3CD80F9F3
02 0011110|01101100|00000111111101001|1001 0x3CD80FE99
03 1101000|00000011|00001110111101101|1011 0xD0061DEDB
04 1101001|00001000|00001100101001101|1001 0xD210194D9
05 1100111|00001000|00100101110111101|0011 0xCE104BBD3
06 1101001|00001000|00101100111101111|0001 0xD21059EF1
07 1100100|00001101|00101011011110011|1010 0xC81A56F3A
08 1100100|00010011|00101011001010111|0000 0xC82656570
09 1100100|00010011|00001011100100100|0011 0xC82617243
0a 1100100|00010011|00001011100000001|0001 0xC82617011
0b 1100010|00101000|00011001000000000|0011 0xC45032003
0c 1100010|00101000|00010111110000101|0100 0xC4502F854
0d 1101001|00101101|00001011101100000|1010 0xD25A1760A
0e 1100110|00101101|00011110011000101|1010 0xCC5A3CC5A
0f 1101000|00101101|00101001011001111|1011 0xD05A52CFB
10 1101001|00110011|00001100100010000|0011 0xD26619103
11 1100010|00111000|00011110111010111|1010 0xC4703DD7A
12 1100010|00111000|00010011110110011|0001 0xC47027B31
13 1100011|00111000|00010010111000011|1001 0xC67025C39
14 1100100|00111000|00001100101110001|1000 0xC87019718
15 1100010|00111101|00100100110000001|1011 0xC47A4981B
16 1100010|00111101|00011111101001110|1010 0xC47A3F4EA
17 1100011|00111101|00010010001111000|0001 0xC67A24781
18 1100011|00111101|00010001101011010|0011 0xC67A235A3
19 1100100|00111101|00001101010111011|0000 0xC87A1ABB0
1a 1100110|01000010|00100000011001101|0010 0xCC8440CD2
1b 1100110|01001000|00100000111011010|0010 0xCC9041DA2
1c 1100011|01001100|00101010011111011|0001 0xC69854FB1
1d 1100010|01010010|00100100000000010|1011 0xC4A44802B
1e 1100010|01010010|00100011110001000|1000 0xC4A447888
1f 1100010|01010010|00100010100100111|0011 0xC4A445273
