BX = 000 Event : 1
00 1101000|10101110|01000001101001000|0001 0xD15C83481
01 1100011|10111111|01000010010111100|0001 0xC77E84BC1
02 1101000|11001001|01000011001011010|1011 0xD192865AB
03 1101000|11011000|01000011101000100|1100 0xD1B08744C
04 1100011|11111110|01000010101100010|1000 0xC7FC85628
05 0011001|11001110|01101001000100111|0000 0x339CD2270
06 1101000|10011010|01110101001111001|1000 0xD134EA798
07 1100011|11001110|01111010000000101|0101 0xC79CF4055
08 1101000|11011000|01110110011011110|0011 0xD1B0ECDE3
BX = 001 Event : 2
00 1100111|10011010|01001101001011111|1101 0xCF349A5FD
01 1101000|10011111|01000011001101110|1011 0xD13E866EB
02 1101000|10011111|01000100000001100|1001 0xD13E880C9
03 1101000|10011111|01000100001111010|0011 0xD13E887A3
04 1101000|10011111|01000100100011001|0001 0xD13E89191
05 1101000|10011111|01000100101100101|0000 0xD13E89650
06 1100111|10011111|01000100110100011|0000 0xCF3E89A30
07 1100111|10011111|01000100111001100|1010 0xCF3E89CCA
08 1100111|10011111|01000100111110101|0010 0xCF3E89F52
09 1100111|11001001|01000101001100100|1011 0xCF928A64B
0a 1100111|11001001|01000110001100010|1000 0xCF928C628
0b 1101000|11011000|01000011100111101|0010 0xD1B0873D2
0c 0011000|10010000|01100110000000111|1101 0x3120CC07D
0d 0011001|10010110|01011100111010001|0001 0x332CB9D11
0e 0011110|10011010|01011100011010101|0000 0x3D34B8D50
0f 0011110|10011010|01101110100111000|1011 0x3D34DD38B
10 0011110|10011111|01011011110110001|0001 0x3D3EB7B11
11 0011000|10100101|01100110011110111|1100 0x314ACCF7C
12 0011110|11001001|01101110110001110|1011 0x3D92DD8EB
13 0011001|11100011|01100000011111011|0011 0x33C6C0FB3
14 0011001|11100011|01100000010010111|1011 0x33C6C097B
15 0011010|11111000|01110000001100101|1010 0x35F0E065A
BX = 010 Event : 3
00 1101000|10011111|01000000110011101|0000 0xD13E819D0
01 1101000|10011111|01000100011010100|0011 0xD13E88D43
02 1100100|10100101|01000000011100110|0010 0xC94A80E62
03 1100100|10100101|00111111110101000|0001 0xC94A7FA81
04 1100111|10101110|01000111011010110|0010 0xCF5C8ED62
05 1100100|10111001|00111110111100000|0101 0xC9727DE05
06 1100111|11001001|01001000000110110|0001 0xCF9290361
07 1101000|11001001|01010101010001000|1010 0xD192AA88A
08 1100010|11101000|01001011111001010|1101 0xC5D097CAD
09 0011111|10000101|01110001001101000|0011 0x3F0AE2683
0a 0011111|10000101|01110001010110001|1010 0x3F0AE2B1A
0b 0011111|10000101|01110010100011010|1011 0x3F0AE51AB
0c 0011110|10001011|01011100001011101|0010 0x3D16B85D2
0d 0011001|10010110|01101010011110111|1011 0x332CD4F7B
0e 0011110|10011010|01011100100110010|0100 0x3D34B9324
0f 0011101|10011010|01100000101110100|1011 0x3B34C174B
10 0011111|10011111|01110001100010100|0100 0x3F3EE3144
11 0011111|10011111|01110010000110010|1000 0x3F3EE4328
12 0011110|11000011|01011011000001110|1001 0x3D86B60E9
13 0011101|11001001|01100000010010001|0101 0x3B92C0915
14 0011110|11011000|01101101100010111|1000 0x3DB0DB178
15 0011001|11111110|01100001110111110|1001 0x33FCC3BE9
16 1100111|10000101|01111110011010001|0011 0xCF0AFCD13
17 1100011|10010000|01111100111010101|1000 0xC720F9D58
18 1100011|11001110|01111101001111011|1000 0xC79CFA7B8
BX = 011 Event : 4
00 1100111|10000101|01010000110000011|0101 0xCF0AA1835
01 1100111|10101110|01010000101001100|1010 0xCF5CA14CA
02 0011110|11000011|01101101101100000|0001 0x3D86DB601
03 0011101|11001001|01101001001111000|1001 0x3B92D2789
04 0011000|11001110|01100111010101001|1010 0x319CCEA9A
05 0011000|11010011|01100110110001010|1000 0x31A6CD8A8
06 0011101|11101110|01100100100010000|1100 0x3BDCC910C
07 0011000|11111000|01100011110000101|0101 0x31F0C7855
08 1100111|10000101|01111001111000011|0010 0xCF0AF3C32
09 1100011|10010110|01111001101011111|0011 0xC72CF35F3
0a 1101000|10011010|01111001110100111|0101 0xD134F3A75
0b 1100100|11010011|01110100100011100|0001 0xC9A6E91C1
BX = 100 Event : 5
00 1101000|10001011|01010110001100011|0100 0xD116AC634
01 1101001|10001011|01010110101110000|0011 0xD316AD703
02 1101001|10001011|01010111000010101|1010 0xD316AE15A
03 1101001|10001011|01010111101011001|0001 0xD316AF591
04 1101001|10001011|01010111110010000|0000 0xD316AF900
05 1101001|10001011|01011000000011001|1101 0xD316B019D
06 1100011|11010011|01000010100111111|1011 0xC7A6853FB
07 1101000|11011000|01000010011101100|1011 0xD1B084ECB
08 1101001|11011110|00111111011101100|0100 0xD3BC7EEC4
09 1100101|11100011|01011000101001010|1001 0xCBC6B14A9
0a 1100011|11111110|01001110101010101|0100 0xC7FC9D554
0b 1100011|11111110|01000010110110101|0001 0xC7FC85B51
0c 0011110|11000011|01101110100111110|0101 0x3D86DD3E5
0d 0011001|11100011|01101110000001101|0100 0x33C6DC0D4
0e 0011010|11111000|01110010101011101|0101 0x35F0E55D5
0f 0011010|11111110|01110010001000101|0011 0x35FCE4453
10 0011010|11111110|01101111010000110|0101 0x35FCDE865
11 0011001|11111110|01101110110110111|1000 0x33FCDDB78
12 1100011|11101000|01111101110101011|0000 0xC7D0FBAB0
13 1101000|11101110|01110110101111101|0001 0xD1DCED7D1
14 1100111|11101110|01111010000110001|0001 0xCFDCF4311
15 1100011|11111000|01110111100000101|1011 0xC7F0EF05B
BX = 101 Event : 6
00 1101000|10000101|01010100100100010|1011 0xD10AA922B
01 1100111|10001011|01001000110000001|0101 0xCF1691815
02 1100011|10010000|01010011101110000|1001 0xC720A7709
03 1100011|10010110|01001000110100111|1001 0xC72C91A79
04 1100111|10011010|01001001110001101|1010 0xCF34938DA
05 1100111|10011010|01001010011100110|0011 0xCF3494E63
06 1100111|10011010|01001010110101000|1001 0xCF3495A89
07 1100111|10011010|01001100000110000|1000 0xCF3498308
08 1100111|10011111|01001000111101111|0100 0xCF3E91EF4
09 1100111|10011111|01001001000011001|0001 0xCF3E92191
0a 1100111|10011111|01001001010000111|1011 0xCF3E9287B
