BX = 000 Event : 1
0x00 0111000|0101111 0x1C2F
0x01 0111000|0110000 0x1C30
BX = 001 Event : 2
BX = 010 Event : 3
BX = 011 Event : 4
0x00 0000010|0010111 0x0117
BX = 100 Event : 5
0x00 0001100|0001000 0x0608
BX = 101 Event : 6
0x00 0010000|0000001 0x0801
0x01 0011011|0000001 0x0D81
0x02 0100001|0000101 0x1085
0x03 0100010|0000101 0x1105
0x04 0101000|0011010 0x141A
0x05 0101001|0011111 0x149F
BX = 110 Event : 7
0x00 0111011|1000010 0x1DC2
0x01 0111011|1000011 0x1DC3
0x02 0111110|1000010 0x1F42
0x03 0111110|1000011 0x1F43
BX = 111 Event : 8
BX = 000 Event : 9
BX = 001 Event : 10
BX = 010 Event : 11
0x00 0011101|0100110 0x0EA6
BX = 011 Event : 12
0x00 0011100|0000010 0x0E02
0x01 0101101|0001100 0x168C
0x02 0101101|0001101 0x168D
0x03 0101101|0001110 0x168E
0x04 0101101|0010101 0x1695
0x05 0101101|0010110 0x1696
BX = 100 Event : 13
BX = 101 Event : 14
0x00 0001011|0000101 0x0585
0x01 0010111|0010000 0x0B90
0x02 0011000|0010000 0x0C10
BX = 110 Event : 15
0x00 0100001|0110101 0x10B5
BX = 111 Event : 16
0x00 0000111|0000101 0x0385
BX = 000 Event : 17
0x00 0000000|0100101 0x0025
0x01 0000000|0101010 0x002A
0x02 0001111|0100101 0x07A5
0x03 0001111|0101010 0x07AA
0x04 0010100|0100101 0x0A25
0x05 0010100|0101010 0x0A2A
0x06 0011100|0100101 0x0E25
0x07 0011100|0101010 0x0E2A
BX = 001 Event : 18
BX = 010 Event : 19
0x00 0011000|0000010 0x0C02
0x01 0011000|0000011 0x0C03
BX = 011 Event : 20
BX = 100 Event : 21
BX = 101 Event : 22
0x00 0101100|0000101 0x1605
0x01 0110111|0000100 0x1B84
0x02 0110111|0000101 0x1B85
BX = 110 Event : 23
BX = 111 Event : 24
0x00 0011100|0101101 0x0E2D
0x01 0011100|0101111 0x0E2F
BX = 000 Event : 25
0x00 0011011|0001101 0x0D8D
0x01 0011100|0001101 0x0E0D
BX = 001 Event : 26
0x00 0001101|0000011 0x0683
BX = 010 Event : 27
BX = 011 Event : 28
0x00 0010110|0001100 0x0B0C
0x01 0010110|0010001 0x0B11
0x02 0010110|0010010 0x0B12
BX = 100 Event : 29
0x00 0000101|0111101 0x02BD
0x01 0000110|0111101 0x033D
0x02 0000111|0111101 0x03BD
0x03 0001000|0111101 0x043D
BX = 101 Event : 30
0x00 0011001|0100010 0x0CA2
0x01 0011101|0000101 0x0E85
0x02 0011101|0000111 0x0E87
BX = 110 Event : 31
BX = 111 Event : 32
0x00 0100110|0000111 0x1307
0x01 0100110|0001101 0x130D
0x02 0100110|0001111 0x130F
BX = 000 Event : 33
BX = 001 Event : 34
BX = 010 Event : 35
0x00 0011000|0100001 0x0C21
BX = 011 Event : 36
BX = 100 Event : 37
0x00 0010001|0000011 0x0883
0x01 0011111|0110111 0x0FB7
0x02 0100000|0110111 0x1037
0x03 0100010|0000001 0x1101
0x04 0101010|0110111 0x1537
0x05 0111100|0000011 0x1E03
0x06 0111101|0000011 0x1E83
0x07 0111111|0000011 0x1F83
0x08 1000001|0000011 0x2083
0x09 1000010|0000011 0x2103
0x0a 1001010|0110111 0x2537
0x0b 1001111|0110111 0x27B7
BX = 101 Event : 38
0x00 0011010|0001000 0x0D08
BX = 110 Event : 39
0x00 0011111|0001110 0x0F8E
BX = 111 Event : 40
BX = 000 Event : 41
0x00 0001011|0111001 0x05B9
0x01 0001100|0111001 0x0639
BX = 001 Event : 42
BX = 010 Event : 43
BX = 011 Event : 44
BX = 100 Event : 45
0x00 0000110|0100101 0x0325
0x01 0000111|0100101 0x03A5
0x02 0010001|0100101 0x08A5
BX = 101 Event : 46
0x00 0101001|0010101 0x1495
0x01 0101010|0010101 0x1515
BX = 110 Event : 47
BX = 111 Event : 48
0x00 0000110|0100101 0x0325
0x01 0000110|0101000 0x0328
BX = 000 Event : 49
0x00 0000110|0000010 0x0302
0x01 0011100|0001111 0x0E0F
0x02 0011100|0010001 0x0E11
BX = 001 Event : 50
BX = 010 Event : 51
BX = 011 Event : 52
0x00 0001110|0111011 0x073B
0x01 0001110|0111100 0x073C
0x02 0001111|0111011 0x07BB
0x03 0001111|0111100 0x07BC
BX = 100 Event : 53
BX = 101 Event : 54
0x00 0001110|0001100 0x070C
0x01 0001110|0001101 0x070D
0x02 0001111|0001100 0x078C
0x03 0001111|0001101 0x078D
0x04 0010000|0001100 0x080C
0x05 0010000|0001101 0x080D
0x06 0010001|0001100 0x088C
0x07 0010001|0001101 0x088D
BX = 110 Event : 55
0x00 0001100|0001110 0x060E
0x01 0001101|0001110 0x068E
0x02 0001111|0001001 0x0789
0x03 0001111|0001010 0x078A
0x04 0010000|0001001 0x0809
0x05 0010000|0001010 0x080A
0x06 0011110|0001001 0x0F09
0x07 0011110|0001010 0x0F0A
0x08 0011111|0001110 0x0F8E
BX = 111 Event : 56
0x00 0010101|0000001 0x0A81
0x01 0010101|0000010 0x0A82
BX = 000 Event : 57
BX = 001 Event : 58
0x00 0001100|0011101 0x061D
BX = 010 Event : 59
BX = 011 Event : 60
BX = 100 Event : 61
0x00 0000001|0000010 0x0082
0x01 0001110|0011100 0x071C
0x02 0001110|0011010 0x071A
0x03 0001110|0011101 0x071D
0x04 0011101|0011100 0x0E9C
0x05 0011101|0011010 0x0E9A
0x06 0011101|0011101 0x0E9D
0x07 0011110|0011100 0x0F1C
0x08 0011110|0011010 0x0F1A
0x09 0011110|0011101 0x0F1D
0x0a 0100001|0000010 0x1082
0x0b 0100010|0000010 0x1102
BX = 101 Event : 62
0x00 0010100|0000101 0x0A05
0x01 0010101|0011111 0x0A9F
BX = 110 Event : 63
BX = 111 Event : 64
0x00 0010000|0110000 0x0830
BX = 000 Event : 65
BX = 001 Event : 66
BX = 010 Event : 67
0x00 0011110|0110100 0x0F34
BX = 011 Event : 68
BX = 100 Event : 69
0x00 0001111|0111011 0x07BB
BX = 101 Event : 70
BX = 110 Event : 71
0x00 0001110|0010010 0x0712
BX = 111 Event : 72
BX = 000 Event : 73
0x00 0011001|0000010 0x0C82
BX = 001 Event : 74
BX = 010 Event : 75
BX = 011 Event : 76
0x00 0011111|0100111 0x0FA7
0x01 0110000|0100111 0x1827
0x02 0110001|0100111 0x18A7
BX = 100 Event : 77
0x00 0000110|1000010 0x0342
BX = 101 Event : 78
0x00 0000011|0100001 0x01A1
0x01 0000011|0100010 0x01A2
0x02 0000110|0000001 0x0301
0x03 0000111|0000001 0x0381
BX = 110 Event : 79
BX = 111 Event : 80
BX = 000 Event : 81
0x00 0111010|0000010 0x1D02
BX = 001 Event : 82
0x00 0010000|0011010 0x081A
0x01 0010001|0011010 0x089A
0x02 0010111|0011010 0x0B9A
0x03 0011001|0011010 0x0C9A
BX = 010 Event : 83
0x00 0010100|0001100 0x0A0C
0x01 0010111|0101000 0x0BA8
0x02 0011000|0101000 0x0C28
0x03 0011001|0101000 0x0CA8
BX = 011 Event : 84
BX = 100 Event : 85
0x00 0001101|0110010 0x06B2
0x01 0010110|0111110 0x0B3E
0x02 0010111|0111110 0x0BBE
0x03 0011000|0010000 0x0C10
BX = 101 Event : 86
BX = 110 Event : 87
BX = 111 Event : 88
BX = 000 Event : 89
0x00 0000101|0101111 0x02AF
0x01 0000110|0101111 0x032F
BX = 001 Event : 90
BX = 010 Event : 91
0x00 0001001|0000110 0x0486
0x01 0001100|0101101 0x062D
0x02 0001100|0101110 0x062E
0x03 0001101|0101101 0x06AD
0x04 0001101|0101110 0x06AE
0x05 0001110|0101101 0x072D
0x06 0001110|0101110 0x072E
0x07 0001111|0101101 0x07AD
0x08 0001111|0101110 0x07AE
BX = 011 Event : 92
BX = 100 Event : 93
0x00 0011011|0110111 0x0DB7
0x01 0101010|0110111 0x1537
0x02 0111000|0110111 0x1C37
0x03 0111010|0111111 0x1D3F
0x04 0111010|1000001 0x1D41
