BX = 000 Event : 1
0x00 0010010|0011101 0x091D
0x01 0011110|0000110 0x0F06
BX = 001 Event : 2
BX = 010 Event : 3
0x00 0000100|0100111 0x0227
0x01 0010001|0100111 0x08A7
0x02 0010101|0110011 0x0AB3
0x03 0010101|0110101 0x0AB5
0x04 0010110|0110011 0x0B33
0x05 0010110|0110101 0x0B35
0x06 0011010|0110011 0x0D33
0x07 0011010|0110101 0x0D35
0x08 0011101|0110011 0x0EB3
0x09 0011101|0110101 0x0EB5
0x0a 0011110|0110011 0x0F33
0x0b 0011110|0110101 0x0F35
BX = 011 Event : 4
0x00 0000010|0000111 0x0107
0x01 0001000|0011110 0x041E
BX = 100 Event : 5
0x00 0001000|0110001 0x0431
0x01 0001000|0110010 0x0432
0x02 0010100|0011010 0x0A1A
0x03 0010100|0011100 0x0A1C
0x04 0010110|0000010 0x0B02
BX = 101 Event : 6
0x00 0001110|0101000 0x0728
0x01 0010001|0000110 0x0886
0x02 0010110|0101000 0x0B28
0x03 0010111|0101000 0x0BA8
BX = 110 Event : 7
0x00 0000100|0001010 0x020A
0x01 0000101|0001010 0x028A
0x02 0001000|0110001 0x0431
0x03 0010101|0001010 0x0A8A
0x04 0010110|0001010 0x0B0A
0x05 0011100|0010100 0x0E14
0x06 0111011|0001010 0x1D8A
0x07 0111100|0001010 0x1E0A
0x08 0111101|0101101 0x1EAD
0x09 0111101|0110001 0x1EB1
0x0a 0111110|0101101 0x1F2D
0x0b 0111110|0110001 0x1F31
BX = 111 Event : 8
BX = 000 Event : 9
0x00 0001010|0010001 0x0511
0x01 0001010|0010101 0x0515
0x02 0001010|0010111 0x0517
0x03 0010110|0010001 0x0B11
0x04 0010110|0010101 0x0B15
0x05 0010110|0010111 0x0B17
0x06 0011000|0000011 0x0C03
BX = 001 Event : 10
BX = 010 Event : 11
0x00 0000001|0010110 0x0096
0x01 0001100|0101011 0x062B
0x02 0001100|0101100 0x062C
0x03 0001100|0101111 0x062F
0x04 0001100|0110000 0x0630
BX = 011 Event : 12
0x00 0001010|0100111 0x0527
0x01 0100000|0010111 0x1017
0x02 0100001|0010111 0x1097
0x03 0100010|0010111 0x1117
0x04 0110010|0010111 0x1917
BX = 100 Event : 13
0x00 0000011|0100000 0x01A0
BX = 101 Event : 14
0x00 0000011|0011100 0x019C
0x01 0001010|0010000 0x0510
0x02 0001100|0111101 0x063D
0x03 0001100|0111111 0x063F
0x04 0001100|0011100 0x061C
0x05 0001101|0100111 0x06A7
0x06 0001101|0101001 0x06A9
0x07 0001101|0101100 0x06AC
0x08 0001101|0110010 0x06B2
0x09 0001110|0100111 0x0727
0x0a 0001110|0101001 0x0729
0x0b 0001110|0101100 0x072C
0x0c 0001110|0110010 0x0732
0x0d 0010110|0100111 0x0B27
0x0e 0010110|0101001 0x0B29
0x0f 0010110|0101100 0x0B2C
0x10 0010110|0110010 0x0B32
BX = 110 Event : 15
