BX = 000 Event : 1
0x00 0000111|0010111 0x0397
0x01 0000111|0011001 0x0399
0x02 0000111|0011011 0x039B
0x03 0000111|0011101 0x039D
0x04 0010001|0010111 0x0897
0x05 0010001|0011001 0x0899
0x06 0010001|0011011 0x089B
0x07 0010001|0011101 0x089D
BX = 001 Event : 2
0x00 0000000|0111101 0x003D
0x01 0000001|0111101 0x00BD
0x02 0000010|0111101 0x013D
0x03 0000011|0111101 0x01BD
0x04 0000111|0101001 0x03A9
0x05 0001000|0101001 0x0429
0x06 0001101|0111101 0x06BD
0x07 0001110|0111101 0x073D
0x08 0010100|0111101 0x0A3D
0x09 0010101|0111101 0x0ABD
0x0a 0010110|0111101 0x0B3D
0x0b 0010111|0111101 0x0BBD
0x0c 0011000|0111101 0x0C3D
0x0d 0011001|0111101 0x0CBD
BX = 010 Event : 3
0x00 0001001|0110001 0x04B1
0x01 0001001|0110111 0x04B7
BX = 011 Event : 4
0x00 0001101|0110100 0x06B4
0x01 0010100|0001101 0x0A0D
0x02 0010100|0001110 0x0A0E
0x03 0010110|0110100 0x0B34
0x04 0010111|0110100 0x0BB4
BX = 100 Event : 5
BX = 101 Event : 6
0x00 0000001|0001111 0x008F
BX = 110 Event : 7
0x00 0000100|0000001 0x0201
0x01 0000100|0000010 0x0202
BX = 111 Event : 8
0x00 0000001|0000100 0x0084
0x01 0000010|0000100 0x0104
0x02 0000100|0000100 0x0204
0x03 0001000|0000100 0x0404
0x04 0010100|0000100 0x0A04
0x05 0010101|0000100 0x0A84
BX = 000 Event : 9
BX = 001 Event : 10
0x00 0000110|0100101 0x0325
0x01 0000110|0100110 0x0326
BX = 010 Event : 11
0x00 0001000|0111010 0x043A
0x01 0001000|0111011 0x043B
0x02 0001010|0100110 0x0526
0x03 0001010|0101010 0x052A
0x04 0001010|0101011 0x052B
0x05 0001010|1001001 0x0549
BX = 011 Event : 12
0x00 0000000|0000010 0x0002
0x01 0000000|0000101 0x0005
0x02 0010000|0001110 0x080E
BX = 100 Event : 13
BX = 101 Event : 14
0x00 0000101|0100101 0x02A5
BX = 110 Event : 15
BX = 111 Event : 16
BX = 000 Event : 17
BX = 001 Event : 18
BX = 010 Event : 19
0x00 0010000|0010011 0x0813
0x01 0010001|0010011 0x0893
BX = 011 Event : 20
0x00 0000000|0000110 0x0006
0x01 0000001|0000110 0x0086
0x02 0000100|0000110 0x0206
BX = 100 Event : 21
BX = 101 Event : 22
BX = 110 Event : 23
0x00 0000011|0000101 0x0185
0x01 0000011|0000110 0x0186
0x02 0000100|0000100 0x0204
0x03 0000101|0000101 0x0285
0x04 0000101|0000110 0x0286
0x05 0000110|0000101 0x0305
0x06 0000110|0000110 0x0306
0x07 0001000|0000101 0x0405
0x08 0001000|0000110 0x0406
0x09 0001001|0000101 0x0485
0x0a 0001001|0000110 0x0486
BX = 111 Event : 24
BX = 000 Event : 25
0x00 0000011|0000001 0x0181
0x01 0000011|0000010 0x0182
BX = 001 Event : 26
0x00 0000010|0001011 0x010B
0x01 0000011|0001011 0x018B
0x02 0000101|0011000 0x0298
0x03 0000110|0011000 0x0318
0x04 0000111|0011000 0x0398
BX = 010 Event : 27
0x00 0000000|0100000 0x0020
0x01 0000011|0100000 0x01A0
0x02 0001000|0101010 0x042A
0x03 0001001|0101010 0x04AA
0x04 0001010|0101010 0x052A
0x05 0001011|0110101 0x05B5
BX = 011 Event : 28
BX = 100 Event : 29
0x00 0000000|0000100 0x0004
0x01 0000011|0000100 0x0184
0x02 0001101|0010110 0x0696
BX = 101 Event : 30
0x00 0000000|0101010 0x002A
0x01 0000001|0100001 0x00A1
0x02 0000001|0000000 0x0080
0x03 0001001|0101010 0x04AA
0x04 0001010|0100001 0x0521
0x05 0001010|0000000 0x0500
0x06 0001011|0100001 0x05A1
0x07 0001011|0000000 0x0580
0x08 0001100|0100001 0x0621
0x09 0001100|0000000 0x0600
0x0a 0001101|0011101 0x069D
0x0b 0001111|0100001 0x07A1
0x0c 0001111|0000000 0x0780
0x0d 0010000|0011101 0x081D
0x0e 0010001|0101010 0x08AA
0x0f 0010010|0100001 0x0921
0x10 0010010|0000000 0x0900
0x11 0010011|0100001 0x09A1
0x12 0010011|0000000 0x0980
0x13 0010100|0100001 0x0A21
0x14 0010100|0000000 0x0A00
BX = 110 Event : 31
0x00 0000001|0001010 0x008A
