BX = 000 Event : 1
0x00 0000000|0010111 0x0017
0x01 0000000|0011000 0x0018
0x02 0000000|0011001 0x0019
BX = 001 Event : 2
0x00 0000001|0000000 0x0080
0x01 0000001|0000010 0x0082
0x02 0000001|0111010 0x00BA
0x03 0000010|0111010 0x013A
0x04 0000010|0000100 0x0104
0x05 0000100|0111010 0x023A
0x06 0000101|0000000 0x0280
0x07 0000101|0000010 0x0282
0x08 0001100|0100100 0x0624
0x09 0001100|0100101 0x0625
0x0a 0001101|0100100 0x06A4
0x0b 0001101|0100101 0x06A5
0x0c 0001110|0010100 0x0714
0x0d 0001110|0010101 0x0715
0x0e 0001110|0010110 0x0716
0x0f 0001110|0010111 0x0717
0x10 0001111|0100100 0x07A4
0x11 0001111|0100101 0x07A5
0x12 0010000|0100100 0x0824
0x13 0010000|0100101 0x0825
0x14 0010010|0010100 0x0914
0x15 0010010|0010101 0x0915
0x16 0010010|0010110 0x0916
0x17 0010010|0010111 0x0917
BX = 010 Event : 3
0x00 0001001|0001010 0x048A
0x01 0001001|0001011 0x048B
0x02 0001001|0010011 0x0493
0x03 0001001|0010101 0x0495
0x04 0001011|0000010 0x0582
0x05 0001011|1000101 0x05C5
0x06 0001011|1000110 0x05C6
BX = 011 Event : 4
BX = 100 Event : 5
BX = 101 Event : 6
0x00 0000001|1000101 0x00C5
0x01 0000001|1000110 0x00C6
0x02 0000011|0000000 0x0180
0x03 0000011|0000001 0x0181
0x04 0000011|0000010 0x0182
0x05 0000011|0000011 0x0183
0x06 0000011|0000100 0x0184
0x07 0000011|0000101 0x0185
0x08 0000011|1001011 0x01CB
0x09 0000011|1001100 0x01CC
0x0a 0000100|0000000 0x0200
0x0b 0000100|0000001 0x0201
0x0c 0000100|0000010 0x0202
0x0d 0000100|0000011 0x0203
0x0e 0000100|0000100 0x0204
0x0f 0000100|0000101 0x0205
0x10 0000100|1001011 0x024B
0x11 0000100|1001100 0x024C
0x12 0001001|0000000 0x0480
0x13 0001001|0000001 0x0481
0x14 0001001|0000010 0x0482
0x15 0001001|0000011 0x0483
0x16 0001001|0000100 0x0484
0x17 0001001|0000101 0x0485
0x18 0001001|1001011 0x04CB
0x19 0001001|1001100 0x04CC
0x1a 0001010|0000000 0x0500
0x1b 0001010|0000001 0x0501
0x1c 0001010|0000010 0x0502
0x1d 0001010|0000011 0x0503
0x1e 0001010|0000100 0x0504
0x1f 0001010|0000101 0x0505
0x20 0001010|1001011 0x054B
0x21 0001010|1001100 0x054C
BX = 110 Event : 7
0x00 0001110|0001101 0x070D
0x01 0001110|0010011 0x0713
0x02 0001110|0010100 0x0714
0x03 0010010|0000101 0x0905
0x04 0010010|0001101 0x090D
0x05 0010011|0001101 0x098D
0x06 0010011|0010011 0x0993
0x07 0010011|0010100 0x0994
0x08 0010011|0010111 0x0997
0x09 0010111|0010011 0x0B93
0x0a 0010111|0010100 0x0B94
0x0b 0010111|0010111 0x0B97
0x0c 0010111|0011010 0x0B9A
0x0d 0010111|0011100 0x0B9C
0x0e 0101001|0011100 0x149C
