BX = 000 Event : 1
0x00 0000100|0000010 0x0202
0x01 0000100|0000101 0x0205
0x02 0000100|0101001 0x0229
0x03 0000100|0101010 0x022A
0x04 0000110|0000101 0x0305
0x05 0000110|0000110 0x0306
0x06 0000110|0101010 0x032A
0x07 0000110|0001100 0x030C
0x08 0000111|0000010 0x0382
0x09 0000111|0000101 0x0385
0x0a 0000111|0101001 0x03A9
0x0b 0000111|0101010 0x03AA
0x0c 0000111|0001010 0x038A
0x0d 0000111|0001011 0x038B
0x0e 0001000|0111111 0x043F
0x0f 0001000|1000010 0x0442
0x10 0001000|1000011 0x0443
0x11 0001010|0000101 0x0505
0x12 0001010|0000110 0x0506
0x13 0001010|0101010 0x052A
0x14 0001101|0101011 0x06AB
0x15 0010010|0110110 0x0936
0x16 0010010|0111000 0x0938
BX = 001 Event : 2
0x00 0001000|0101010 0x042A
0x01 0001000|0101101 0x042D
0x02 0001000|0110100 0x0434
0x03 0001000|1001111 0x044F
0x04 0001000|1010001 0x0451
0x05 0001000|0111110 0x043E
0x06 0001001|0101010 0x04AA
0x07 0001001|0101101 0x04AD
0x08 0001001|0110100 0x04B4
0x09 0001001|1001111 0x04CF
0x0a 0001001|1010001 0x04D1
0x0b 0001001|0111110 0x04BE
0x0c 0010001|0101010 0x08AA
0x0d 0010001|1010001 0x08D1
0x0e 0010001|0111110 0x08BE
0x0f 0010001|0111111 0x08BF
0x10 0010010|1001101 0x094D
0x11 0010010|0101010 0x092A
0x12 0010010|1010001 0x0951
0x13 0010110|0011010 0x0B1A
BX = 010 Event : 3
0x00 0000110|0000011 0x0303
0x01 0010111|0100011 0x0BA3
0x02 0011000|0100011 0x0C23
0x03 0011001|0100011 0x0CA3
0x04 0011101|0100001 0x0EA1
0x05 0011101|0100011 0x0EA3
BX = 011 Event : 4
0x00 0000010|0101101 0x012D
0x01 0000010|0101110 0x012E
0x02 0000101|0111100 0x02BC
0x03 0000110|0111100 0x033C
0x04 0000111|0111101 0x03BD
0x05 0000111|0101101 0x03AD
0x06 0000111|0101110 0x03AE
0x07 0001101|0010111 0x0697
0x08 0001101|0011000 0x0698
0x09 0001101|0011100 0x069C
BX = 100 Event : 5
0x00 0000000|0000101 0x0005
0x01 0001001|0101001 0x04A9
0x02 0001001|0110011 0x04B3
0x03 0001001|0110101 0x04B5
0x04 0001100|0010001 0x0611
0x05 0001100|0010010 0x0612
0x06 0001100|0010111 0x0617
0x07 0001101|0001011 0x068B
0x08 0001111|0010111 0x0797
0x09 0010000|0010111 0x0817
0x0a 0010011|0001001 0x0989
0x0b 0010011|0001011 0x098B
BX = 101 Event : 6
0x00 0000101|0101001 0x02A9
0x01 0000101|0001110 0x028E
0x02 0000101|0001111 0x028F
0x03 0000110|0100111 0x0327
0x04 0000110|0101001 0x0329
0x05 0000110|0001110 0x030E
0x06 0000110|0001111 0x030F
BX = 110 Event : 7
0x00 0000010|0110110 0x0136
0x01 0000010|0001001 0x0109
0x02 0000010|0001011 0x010B
0x03 0000010|0111000 0x0138
0x04 0000010|0111001 0x0139
0x05 0000010|0111101 0x013D
0x06 0000010|0111110 0x013E
0x07 0000010|1000000 0x0140
0x08 0000111|0001001 0x0389
0x09 0000111|0001011 0x038B
0x0a 0000111|0111000 0x03B8
0x0b 0000111|0111001 0x03B9
0x0c 0000111|0111101 0x03BD
0x0d 0000111|0111110 0x03BE
0x0e 0000111|1000000 0x03C0
0x0f 0001000|0110110 0x0436
0x10 0001000|0001001 0x0409
0x11 0001000|0001011 0x040B
0x12 0001000|0111000 0x0438
0x13 0001000|0111001 0x0439
0x14 0001000|0111101 0x043D
0x15 0001000|0111110 0x043E
0x16 0001000|1000000 0x0440
BX = 111 Event : 8
0x00 0001110|0000100 0x0704
0x01 0001110|0000110 0x0706
0x02 0001110|0001000 0x0708
0x03 0001110|0001001 0x0709
0x04 0001110|0001110 0x070E
0x05 0010001|0110100 0x08B4
0x06 0010001|0110111 0x08B7
0x07 0010001|0111010 0x08BA
0x08 0010001|1000000 0x08C0
0x09 0010010|0000010 0x0902
0x0a 0010010|0000110 0x0906
0x0b 0010010|0001000 0x0908
0x0c 0010010|0001001 0x0909
0x0d 0010010|0001110 0x090E
0x0e 0010010|0100101 0x0925
0x0f 0010011|0110100 0x09B4
0x10 0010011|0110111 0x09B7
0x11 0010011|0111010 0x09BA
0x12 0010011|1000000 0x09C0
0x13 0010100|0110111 0x0A37
0x14 0010100|0111010 0x0A3A
0x15 0010100|1000000 0x0A40
BX = 000 Event : 9
0x00 0001001|1000010 0x04C2
0x01 0001101|0001000 0x0688
0x02 0001101|0100111 0x06A7
0x03 0001101|0101010 0x06AA
0x04 0010110|0010011 0x0B13
BX = 001 Event : 10
0x00 0000010|0011010 0x011A
0x01 0000010|0011100 0x011C
0x02 0000010|0111010 0x013A
0x03 0000010|0111011 0x013B
0x04 0000010|0100000 0x0120
0x05 0000111|0011010 0x039A
0x06 0000111|0011100 0x039C
0x07 0000111|0111010 0x03BA
0x08 0000111|0011101 0x039D
0x09 0000111|0011110 0x039E
0x0a 0000111|0011111 0x039F
0x0b 0000111|0100000 0x03A0
0x0c 0000111|0100001 0x03A1
0x0d 0000111|0100010 0x03A2
0x0e 0000111|0100100 0x03A4
0x0f 0001011|0011010 0x059A
0x10 0001011|0011100 0x059C
0x11 0001011|0111010 0x05BA
0x12 0001011|0111011 0x05BB
0x13 0001100|0011010 0x061A
0x14 0001100|0011100 0x061C
0x15 0001100|0111010 0x063A
0x16 0001100|0111011 0x063B
0x17 0001100|0100000 0x0620
0x18 0001100|0100001 0x0621
0x19 0001100|0100010 0x0622
BX = 010 Event : 11
0x00 0000010|0100000 0x0120
0x01 0000010|0100001 0x0121
0x02 0000010|0100010 0x0122
0x03 0000010|0100011 0x0123
0x04 0001010|0000000 0x0500
0x05 0001010|0000010 0x0502
0x06 0001010|0000011 0x0503
0x07 0001010|0010010 0x0512
0x08 0001101|0010000 0x0690
0x09 0001101|0010010 0x0692
BX = 011 Event : 12
0x00 0000100|0111101 0x023D
0x01 0000100|0111110 0x023E
0x02 0000100|0011101 0x021D
0x03 0000100|0011111 0x021F
0x04 0000100|1000000 0x0240
0x05 0000101|0111101 0x02BD
0x06 0000101|0111110 0x02BE
0x07 0000101|0011101 0x029D
0x08 0000101|0011111 0x029F
0x09 0000101|1000000 0x02C0
0x0a 0000110|0011101 0x031D
0x0b 0000110|0100101 0x0325
0x0c 0000110|0100111 0x0327
0x0d 0000111|0011101 0x039D
0x0e 0000111|0100101 0x03A5
0x0f 0000111|0100111 0x03A7
0x10 0001010|0111101 0x053D
0x11 0001010|0111110 0x053E
0x12 0001010|0011101 0x051D
0x13 0001010|1000000 0x0540
0x14 0001101|0111101 0x06BD
