BX = 000 Event : 1
0x00 0001100|0100110 0x0626
0x01 0001100|0101000 0x0628
0x02 0001100|0010010 0x0612
BX = 001 Event : 2
0x00 0000110|0010101 0x0315
0x01 0000110|0101011 0x032B
0x02 0000110|0101100 0x032C
0x03 0001000|0010101 0x0415
0x04 0001000|0011100 0x041C
0x05 0001010|0010110 0x0516
0x06 0001010|0011001 0x0519
0x07 0001010|0011010 0x051A
0x08 0001010|0011100 0x051C
0x09 0001011|0010110 0x0596
0x0a 0001011|0011001 0x0599
0x0b 0001011|0011010 0x059A
0x0c 0001011|0011100 0x059C
0x0d 0001100|0100010 0x0622
0x0e 0001100|0100011 0x0623
BX = 010 Event : 3
0x00 0000010|0000001 0x0101
0x01 0000010|0011111 0x011F
0x02 0000011|0000001 0x0181
0x03 0000011|0011111 0x019F
0x04 0001000|0010100 0x0414
0x05 0001000|0011010 0x041A
0x06 0001000|0011111 0x041F
0x07 0001000|0100001 0x0421
0x08 0001011|0100001 0x05A1
0x09 0001110|0000001 0x0701
0x0a 0001110|0011111 0x071F
0x0b 0001111|0000001 0x0781
0x0c 0001111|0011111 0x079F
0x0d 0010000|0000001 0x0801
0x0e 0010000|0011111 0x081F
0x0f 0010010|0011000 0x0918
0x10 0010010|0011001 0x0919
0x11 0010010|0011010 0x091A
0x12 0010010|0011111 0x091F
0x13 0010101|0000001 0x0A81
0x14 0010101|0011111 0x0A9F
0x15 0011010|0001001 0x0D09
0x16 0011011|0100011 0x0DA3
0x17 0011011|0100100 0x0DA4
0x18 0011011|0100101 0x0DA5
BX = 011 Event : 4
0x00 0000001|0010101 0x0095
0x01 0000001|0011000 0x0098
0x02 0000001|0000001 0x0081
BX = 100 Event : 5
0x00 0000000|0000001 0x0001
0x01 0000000|0010001 0x0011
0x02 0000001|0000001 0x0081
0x03 0000001|0010000 0x0090
0x04 0000001|0010001 0x0091
0x05 0000101|0100000 0x02A0
BX = 101 Event : 6
0x00 0001010|0000100 0x0504
0x01 0001010|0000101 0x0505
0x02 0001010|0000110 0x0506
0x03 0001010|0001010 0x050A
0x04 0001010|0001011 0x050B
0x05 0001010|0010110 0x0516
0x06 0001010|0010111 0x0517
0x07 0001010|0011000 0x0518
0x08 0001011|0000100 0x0584
0x09 0001011|0000101 0x0585
0x0a 0001011|0000110 0x0586
0x0b 0001011|0001010 0x058A
0x0c 0001011|0001011 0x058B
0x0d 0001011|0010110 0x0596
0x0e 0001011|0010111 0x0597
0x0f 0001011|0011000 0x0598
0x10 0010111|0100001 0x0BA1
0x11 0011001|0101100 0x0CAC
BX = 110 Event : 7
0x00 0000000|0000101 0x0005
0x01 0000000|0000110 0x0006
0x02 0000000|0000111 0x0007
0x03 0000000|0001000 0x0008
0x04 0000101|0101001 0x02A9
0x05 0000101|0101010 0x02AA
0x06 0000101|0000101 0x0285
BX = 111 Event : 8
0x00 0000011|0000001 0x0181
0x01 0000011|0000010 0x0182
0x02 0000011|0001000 0x0188
0x03 0000011|0001011 0x018B
0x04 0000100|0000001 0x0201
0x05 0000100|0000010 0x0202
0x06 0000100|0001000 0x0208
0x07 0000100|0001011 0x020B
0x08 0000101|0010110 0x0296
0x09 0000101|0010111 0x0297
0x0a 0000101|0101110 0x02AE
0x0b 0000101|0011010 0x029A
0x0c 0000101|0011101 0x029D
0x0d 0000101|0011110 0x029E
0x0e 0000110|0010110 0x0316
0x0f 0000110|0101110 0x032E
0x10 0000111|0100001 0x03A1
BX = 000 Event : 9
0x00 0000100|0001111 0x020F
0x01 0000100|0010000 0x0210
0x02 0000100|0010001 0x0211
0x03 0000101|0001100 0x028C
0x04 0000101|0001101 0x028D
0x05 0000110|0001100 0x030C
0x06 0000110|0001101 0x030D
0x07 0001111|0001100 0x078C
0x08 0001111|0001101 0x078D
BX = 001 Event : 10
0x00 0000010|0100001 0x0121
0x01 0000010|0100100 0x0124
0x02 0000010|0100110 0x0126
0x03 0000010|0101000 0x0128
0x04 0000010|0101001 0x0129
0x05 0000010|0101010 0x012A
0x06 0000010|0101011 0x012B
0x07 0000010|0101101 0x012D
0x08 0000010|0110000 0x0130
0x09 0000010|0110001 0x0131
0x0a 0000010|0110010 0x0132
0x0b 0000010|0110011 0x0133
0x0c 0000011|0101000 0x01A8
0x0d 0000011|0101001 0x01A9
0x0e 0000011|0101010 0x01AA
0x0f 0000011|0101011 0x01AB
0x10 0000011|0101101 0x01AD
0x11 0000011|0110000 0x01B0
0x12 0000011|0110001 0x01B1
0x13 0000011|0110010 0x01B2
0x14 0000011|0110011 0x01B3
0x15 0000101|0101011 0x02AB
0x16 0000101|0101101 0x02AD
0x17 0000101|0110000 0x02B0
0x18 0000101|0110001 0x02B1
0x19 0000101|0110010 0x02B2
0x1a 0000101|0110011 0x02B3
0x1b 0000110|0100001 0x0321
0x1c 0000110|0100100 0x0324
0x1d 0000110|0100110 0x0326
0x1e 0000110|0101000 0x0328
0x1f 0000110|0101001 0x0329
0x20 0000110|0101010 0x032A
0x21 0000110|0101011 0x032B
0x22 0000110|0101101 0x032D
0x23 0000110|0110000 0x0330
0x24 0000110|0110001 0x0331
0x25 0000110|0110010 0x0332
0x26 0000110|0110011 0x0333
0x27 0000111|0100100 0x03A4
0x28 0000111|0101000 0x03A8
0x29 0000111|0101001 0x03A9
0x2a 0000111|0101010 0x03AA
0x2b 0000111|0101011 0x03AB
0x2c 0000111|0101101 0x03AD
0x2d 0000111|0110000 0x03B0
0x2e 0000111|0110001 0x03B1
0x2f 0000111|0110010 0x03B2
0x30 0000111|0110011 0x03B3
0x31 0001001|0100100 0x04A4
0x32 0001001|0101000 0x04A8
0x33 0001001|0101001 0x04A9
0x34 0001001|0101010 0x04AA
0x35 0001001|0101011 0x04AB
0x36 0001001|0101101 0x04AD
0x37 0001001|0110000 0x04B0
0x38 0001001|0110001 0x04B1
0x39 0001001|0110010 0x04B2
0x3a 0001001|0110011 0x04B3
0x3b 0001010|0000000 0x0500
BX = 010 Event : 11
0x00 0000001|0101010 0x00AA
0x01 0000001|0101011 0x00AB
0x02 0000001|0101100 0x00AC
0x03 0000001|0101101 0x00AD
0x04 0000001|0101110 0x00AE
0x05 0000001|0110000 0x00B0
0x06 0000101|0101010 0x02AA
0x07 0000101|0101011 0x02AB
0x08 0000101|0101100 0x02AC
0x09 0000101|0101101 0x02AD
0x0a 0000101|0101110 0x02AE
0x0b 0000101|0110000 0x02B0
0x0c 0001101|0000010 0x0682
0x0d 0001101|0011101 0x069D
0x0e 0001101|0000100 0x0684
0x0f 0001101|0000101 0x0685
0x10 0001101|0000110 0x0686
BX = 011 Event : 12
0x00 0000010|0101010 0x012A
0x01 0000010|0101011 0x012B
0x02 0000010|0101100 0x012C
0x03 0001011|0001010 0x058A
0x04 0001011|0001011 0x058B
0x05 0010000|0001010 0x080A
0x06 0010000|0001011 0x080B
BX = 100 Event : 13
0x00 0000000|0000110 0x0006
0x01 0000000|0001000 0x0008
0x02 0000000|0001010 0x000A
0x03 0000001|0000101 0x0085
0x04 0000001|0000110 0x0086
0x05 0000001|0001000 0x0088
0x06 0000001|0001010 0x008A
0x07 0000010|0011001 0x0119
0x08 0000011|0011001 0x0199
0x09 0000110|0010001 0x0311
0x0a 0000110|0010100 0x0314
0x0b 0000110|0010101 0x0315
BX = 101 Event : 14
0x00 0000010|0110011 0x0133
0x01 0000010|0110100 0x0134
0x02 0000010|0110101 0x0135
0x03 0000011|0110011 0x01B3
0x04 0000011|0110100 0x01B4
0x05 0000011|0110101 0x01B5
0x06 0000111|0011010 0x039A
0x07 0000111|0011011 0x039B
0x08 0000111|0011100 0x039C
0x09 0001010|0011010 0x051A
0x0a 0001010|0011011 0x051B
0x0b 0001010|0011100 0x051C
0x0c 0001011|0011010 0x059A
0x0d 0001011|0011011 0x059B
0x0e 0001011|0011100 0x059C
BX = 110 Event : 15
0x00 0000000|0001110 0x000E
0x01 0000001|0001110 0x008E
0x02 0000010|0101100 0x012C
0x03 0000011|0101100 0x01AC
0x04 0000111|0100110 0x03A6
0x05 0000111|0101100 0x03AC
0x06 0001000|0101100 0x042C
BX = 111 Event : 16
BX = 000 Event : 17
0x00 0000000|0000111 0x0007
0x01 0000010|0001101 0x010D
0x02 0000010|0000001 0x0101
BX = 001 Event : 18
0x00 0001001|0001100 0x048C
0x01 0001001|0001101 0x048D
BX = 010 Event : 19
0x00 0000011|0010001 0x0191
BX = 011 Event : 20
0x00 0000011|0011101 0x019D
0x01 0000011|0000100 0x0184
0x02 0000011|0000101 0x0185
0x03 0000011|0100001 0x01A1
BX = 100 Event : 21
0x00 0000011|0000010 0x0182
0x01 0000011|0000100 0x0184
0x02 0000011|0000101 0x0185
0x03 0000011|0000110 0x0186
0x04 0000011|0000111 0x0187
0x05 0000011|0001000 0x0188
0x06 0000111|0010000 0x0390
0x07 0000111|0010001 0x0391
0x08 0000111|0101011 0x03AB
0x09 0000111|0101101 0x03AD
0x0a 0000111|0101111 0x03AF
0x0b 0000111|0011001 0x0399
0x0c 0000111|0011010 0x039A
0x0d 0001000|0010000 0x0410
0x0e 0001000|0010001 0x0411
0x0f 0001000|0101011 0x042B
