BX = 000 Event : 1
BX = 001 Event : 2
0x00 0000110|0000011 0x0303
0x01 0000111|0001010 0x038A
0x02 0000111|0001100 0x038C
0x03 0011100|0000100 0x0E04
0x04 0011100|0101100 0x0E2C
0x05 0011111|0000100 0x0F84
0x06 0011111|0101100 0x0FAC
0x07 0100111|0000100 0x1384
0x08 0100111|0101100 0x13AC
0x09 0101000|1000010 0x1442
0x0a 0101010|0010100 0x1514
0x0b 0101010|0010101 0x1515
0x0c 0101011|1000010 0x15C2
0x0d 0101111|0110001 0x17B1
0x0e 0110000|0110001 0x1831
0x0f 1001011|0010100 0x2594
0x10 1001011|0010101 0x2595
0x11 1001011|0011010 0x259A
BX = 010 Event : 3
0x00 0110101|0001110 0x1A8E
BX = 011 Event : 4
0x00 0010000|0011100 0x081C
0x01 0010010|1001101 0x094D
0x02 0010011|1001101 0x09CD
BX = 100 Event : 5
0x00 0101101|0001010 0x168A
0x01 0101111|0000011 0x1783
BX = 101 Event : 6
0x00 0100110|0101011 0x132B
0x01 0100110|0101100 0x132C
0x02 0110001|0001100 0x188C
0x03 0111010|0001100 0x1D0C
BX = 110 Event : 7
0x00 0110100|0000111 0x1A07
0x01 0110111|0111110 0x1BBE
0x02 0111110|0101111 0x1F2F
0x03 0111110|0110001 0x1F31
0x04 0111111|0101111 0x1FAF
0x05 0111111|0110001 0x1FB1
BX = 111 Event : 8
0x00 0011100|0100001 0x0E21
0x01 0011100|0100011 0x0E23
0x02 0011100|0100100 0x0E24
0x03 0011100|0100101 0x0E25
0x04 0011111|0100001 0x0FA1
0x05 0011111|0100011 0x0FA3
0x06 0011111|0100100 0x0FA4
0x07 0011111|0100101 0x0FA5
0x08 0100001|0011101 0x109D
0x09 0100001|0100001 0x10A1
0x0a 0100001|0100011 0x10A3
0x0b 0100001|0100100 0x10A4
0x0c 0100001|0100101 0x10A5
0x0d 0100111|0011101 0x139D
0x0e 0100111|0100001 0x13A1
0x0f 0100111|0100011 0x13A3
0x10 0100111|0100100 0x13A4
0x11 0100111|0100101 0x13A5
0x12 0101000|0100001 0x1421
0x13 0101000|0100011 0x1423
0x14 0101000|0100100 0x1424
0x15 0101000|0100101 0x1425
0x16 0101000|0101010 0x142A
0x17 0101001|0011101 0x149D
0x18 0101001|0100001 0x14A1
0x19 0101001|0100011 0x14A3
0x1a 0101001|0100100 0x14A4
0x1b 0101001|0100101 0x14A5
0x1c 0101010|0100001 0x1521
0x1d 0101010|0100011 0x1523
0x1e 0101010|0100100 0x1524
0x1f 0101010|0100101 0x1525
0x20 0101010|0101010 0x152A
0x21 0101100|0011101 0x161D
0x22 0101100|0100001 0x1621
0x23 0101100|0100011 0x1623
0x24 0101100|0100100 0x1624
0x25 0101100|0100101 0x1625
0x26 0101101|0100001 0x16A1
0x27 0101101|0100011 0x16A3
BX = 000 Event : 9
0x00 0001110|0100000 0x0720
0x01 0001111|0100000 0x07A0
BX = 001 Event : 10
0x00 0001110|0001101 0x070D
0x01 0101001|0001101 0x148D
0x02 0101010|0001101 0x150D
BX = 010 Event : 11
0x00 0010101|0001110 0x0A8E
0x01 0011001|0001110 0x0C8E
BX = 011 Event : 12
BX = 100 Event : 13
0x00 0001100|0001100 0x060C
0x01 0001100|0001101 0x060D
0x02 0001110|0010110 0x0716
0x03 0010000|0010110 0x0816
0x04 0010100|0000111 0x0A07
0x05 0010100|0001000 0x0A08
0x06 0110000|0010110 0x1816
BX = 101 Event : 14
0x00 0100100|0111100 0x123C
BX = 110 Event : 15
0x00 0010100|0001111 0x0A0F
0x01 0010100|0100100 0x0A24
0x02 0011001|0000010 0x0C82
0x03 0011001|0001001 0x0C89
0x04 0101100|0001111 0x160F
0x05 0101100|0100100 0x1624
0x06 0101100|0100111 0x1627
