BX = 000 Event : 1
0x00 0010110|0000011 0x0B03
0x01 0011001|0011110 0x0C9E
0x02 0100001|0000011 0x1083
0x03 0100101|0000101 0x1285
BX = 001 Event : 2
0x00 0001110|0001100 0x070C
BX = 010 Event : 3
BX = 011 Event : 4
0x00 0000101|0001111 0x028F
0x01 0000110|0001111 0x030F
0x02 0000111|0001111 0x038F
0x03 0001000|0001111 0x040F
0x04 0001001|0001111 0x048F
BX = 100 Event : 5
BX = 101 Event : 6
0x00 0001010|1000111 0x0547
0x01 0001010|1001000 0x0548
0x02 0101000|0100011 0x1423
BX = 110 Event : 7
0x00 0001010|0100101 0x0525
0x01 0001101|0100011 0x06A3
0x02 0001111|0100101 0x07A5
0x03 0010000|0100011 0x0823
0x04 0011101|0100011 0x0EA3
0x05 0011111|0100011 0x0FA3
0x06 0100100|0001010 0x120A
0x07 0100101|0011110 0x129E
0x08 0111111|0001000 0x1F88
0x09 1000000|0001000 0x2008
0x0a 1010010|0001000 0x2908
BX = 111 Event : 8
0x00 0001100|0011011 0x061B
0x01 0001100|0011100 0x061C
0x02 0100110|0011011 0x131B
0x03 0100110|0011100 0x131C
BX = 000 Event : 9
BX = 001 Event : 10
BX = 010 Event : 11
BX = 011 Event : 12
0x00 0100010|0110001 0x1131
0x01 0100010|0110100 0x1134
0x02 0100011|0110001 0x11B1
0x03 0100011|0110100 0x11B4
0x04 0101000|0100110 0x1426
0x05 1000111|0110100 0x23B4
0x06 1001000|0110001 0x2431
0x07 1001000|0110100 0x2434
0x08 1001001|0110001 0x24B1
0x09 1001001|0110100 0x24B4
BX = 100 Event : 13
BX = 101 Event : 14
BX = 110 Event : 15
0x00 0010011|0100001 0x09A1
BX = 111 Event : 16
0x00 0001100|0001110 0x060E
BX = 000 Event : 17
0x00 0000101|0001110 0x028E
0x01 0000101|0001111 0x028F
0x02 0000101|0010000 0x0290
0x03 0001001|0001111 0x048F
0x04 0001011|0001110 0x058E
0x05 0001011|0001111 0x058F
0x06 0011011|0001110 0x0D8E
0x07 0011011|0001111 0x0D8F
0x08 0011011|0010000 0x0D90
0x09 0011100|0001110 0x0E0E
0x0a 0011100|0001111 0x0E0F
0x0b 0011110|0001110 0x0F0E
0x0c 0011110|0001111 0x0F0F
0x0d 0011110|0010000 0x0F10
0x0e 0011111|0001110 0x0F8E
0x0f 0011111|0001111 0x0F8F
BX = 001 Event : 18
BX = 010 Event : 19
0x00 0000110|0100010 0x0322
BX = 011 Event : 20
BX = 100 Event : 21
0x00 0100111|0110011 0x13B3
0x01 0110011|0110011 0x19B3
0x02 0110011|0110111 0x19B7
0x03 0110100|0110011 0x1A33
0x04 0110100|0110111 0x1A37
0x05 0110101|0110011 0x1AB3
0x06 0110101|0110111 0x1AB7
0x07 0110110|0110011 0x1B33
0x08 0110110|0110111 0x1B37
0x09 0110110|0111000 0x1B38
0x0a 0110111|0110011 0x1BB3
0x0b 0110111|0110111 0x1BB7
0x0c 0110111|0111000 0x1BB8
0x0d 0111000|0110011 0x1C33
0x0e 0111000|0110111 0x1C37
0x0f 0111000|0111000 0x1C38
0x10 0111001|0110011 0x1CB3
0x11 0111001|0110111 0x1CB7
0x12 0111001|0111000 0x1CB8
0x13 0111010|0110011 0x1D33
0x14 0111010|0110111 0x1D37
0x15 0111010|0111000 0x1D38
0x16 0111011|0110011 0x1DB3
0x17 0111011|0110111 0x1DB7
0x18 0111011|0111000 0x1DB8
0x19 0111011|0111010 0x1DBA
0x1a 0111100|0110011 0x1E33
0x1b 0111100|0110111 0x1E37
0x1c 0111100|0111000 0x1E38
BX = 101 Event : 22
BX = 110 Event : 23
0x00 0101100|0001010 0x160A
0x01 0101100|0001011 0x160B
0x02 0110000|0001011 0x180B
0x03 0110001|0001011 0x188B
0x04 0110010|0011101 0x191D
0x05 0110101|0001010 0x1A8A
0x06 0110101|0001011 0x1A8B
BX = 111 Event : 24
0x00 0001100|0110010 0x0632
0x01 0001101|0110010 0x06B2
0x02 0001110|0110010 0x0732
0x03 0001111|0110010 0x07B2
0x04 0101010|0101110 0x152E
0x05 0101011|0101110 0x15AE
0x06 0101100|0101110 0x162E
0x07 0101101|0101110 0x16AE
0x08 0101110|0101110 0x172E
0x09 0101111|0101110 0x17AE
0x0a 0110000|0101110 0x182E
0x0b 0111011|0101110 0x1DAE
BX = 000 Event : 25
0x00 0000101|0011001 0x0299
0x01 0001000|0011001 0x0419
0x02 0010110|0011101 0x0B1D
0x03 0100110|0011001 0x1319
0x04 0100111|0011001 0x1399
BX = 001 Event : 26
BX = 010 Event : 27
BX = 011 Event : 28
BX = 100 Event : 29
0x00 0000111|1000111 0x03C7
0x01 0001000|1000111 0x0447
BX = 101 Event : 30
BX = 110 Event : 31
0x00 0001010|0101010 0x052A
0x01 0001100|0101010 0x062A
0x02 0101000|0101010 0x142A
BX = 111 Event : 32
0x00 0001000|1100100 0x0464
0x01 0001111|0100100 0x07A4
0x02 0001111|0100101 0x07A5
0x03 0001111|0100111 0x07A7
0x04 0010000|0110010 0x0832
0x05 0010000|0110011 0x0833
0x06 0010000|0110100 0x0834
0x07 0010000|0110101 0x0835
0x08 0010001|0100100 0x08A4
0x09 0010001|0100101 0x08A5
0x0a 0010001|0100111 0x08A7
0x0b 0010010|0110010 0x0932
0x0c 0010010|0110011 0x0933
0x0d 0010010|0110100 0x0934
0x0e 0010010|0110101 0x0935
0x0f 0010011|0100100 0x09A4
0x10 0010011|0100101 0x09A5
BX = 000 Event : 33
0x00 0001001|0000110 0x0486
0x01 0010111|0101100 0x0BAC
0x02 0010111|0101101 0x0BAD
0x03 0011000|0101101 0x0C2D
0x04 0011110|0000101 0x0F05
0x05 0011110|0000111 0x0F07
0x06 0011110|0001000 0x0F08
0x07 0011110|0001001 0x0F09
0x08 0011110|0001010 0x0F0A
0x09 0011110|0001011 0x0F0B
0x0a 0011110|0001100 0x0F0C
0x0b 0100000|0000101 0x1005
0x0c 0100000|0000111 0x1007
0x0d 0100000|0001000 0x1008
0x0e 0100000|0001001 0x1009
0x0f 0100000|0001010 0x100A
0x10 0100000|0001011 0x100B
0x11 0100000|0001100 0x100C
0x12 0100101|0000101 0x1285
0x13 0100101|0000111 0x1287
0x14 0100101|0001000 0x1288
0x15 0100101|0001001 0x1289
0x16 0100101|0001010 0x128A
0x17 0100101|0001011 0x128B
0x18 0100101|0001100 0x128C
0x19 0101001|0000101 0x1485
0x1a 0101001|0000111 0x1487
0x1b 0101001|0001000 0x1488
0x1c 0101001|0001001 0x1489
0x1d 0101001|0001010 0x148A
0x1e 0101001|0001011 0x148B
0x1f 0101001|0001100 0x148C
0x20 0101100|0000101 0x1605
0x21 0101100|0000111 0x1607
0x22 0101100|0001000 0x1608
0x23 0101100|0001001 0x1609
0x24 0101100|0001010 0x160A
0x25 0101100|0001011 0x160B
0x26 0101100|0001100 0x160C
0x27 0101110|0000101 0x1705
0x28 0101110|0000111 0x1707
0x29 0101110|0001000 0x1708
0x2a 0101110|0001001 0x1709
0x2b 0101110|0001010 0x170A
0x2c 0101110|0001011 0x170B
0x2d 0101110|0001100 0x170C
0x2e 0110010|0000101 0x1905
0x2f 0110010|0000111 0x1907
0x30 0110010|0001000 0x1908
0x31 0110010|0001001 0x1909
0x32 0110010|0001010 0x190A
0x33 0110010|0001011 0x190B
0x34 0110010|0001100 0x190C
0x35 0110110|0000101 0x1B05
0x36 0110110|0000111 0x1B07
0x37 0110110|0001000 0x1B08
0x38 0110110|0001001 0x1B09
0x39 0110110|0001010 0x1B0A
0x3a 0110110|0001011 0x1B0B
0x3b 0110110|0001100 0x1B0C
0x3c 0111110|0000101 0x1F05
0x3d 0111110|0000111 0x1F07
0x3e 0111110|0001000 0x1F08
0x3f 0111110|0001001 0x1F09
0x40 0111110|0001010 0x1F0A
0x41 0111110|0001011 0x1F0B
0x42 0111110|0001100 0x1F0C
0x43 0111111|0000101 0x1F85
0x44 0111111|0000111 0x1F87
0x45 0111111|0001000 0x1F88
