BX = 000 Event : 1
BX = 001 Event : 2
0x00 0101011|0000000 0x1580
BX = 010 Event : 3
BX = 011 Event : 4
BX = 100 Event : 5
BX = 101 Event : 6
0x00 0010111|0000100 0x0B84
0x01 0010111|0100111 0x0BA7
BX = 110 Event : 7
BX = 111 Event : 8
0x00 0000100|0000000 0x0200
0x01 0000101|0000000 0x0280
0x02 0000111|0000001 0x0381
0x03 0001000|0000000 0x0400
0x04 0100011|0000000 0x1180
0x05 0100100|0000000 0x1200
BX = 000 Event : 9
BX = 001 Event : 10
0x00 0011111|0011110 0x0F9E
0x01 0100000|0011110 0x101E
0x02 0100001|0011110 0x109E
0x03 0100010|0011110 0x111E
0x04 0110000|0011111 0x181F
0x05 1000010|0011110 0x211E
0x06 1000100|0011110 0x221E
0x07 1000101|0011101 0x229D
0x08 1000110|0011110 0x231E
0x09 1001000|0011110 0x241E
BX = 010 Event : 11
0x00 0001110|0001000 0x0708
0x01 0010110|0100101 0x0B25
0x02 0101000|0001000 0x1408
0x03 0101011|0100101 0x15A5
BX = 011 Event : 12
0x00 0100111|0100101 0x13A5
BX = 100 Event : 13
BX = 101 Event : 14
0x00 0000010|0000100 0x0104
0x01 0000011|0000100 0x0184
0x02 0000101|0100011 0x02A3
0x03 0000101|0101010 0x02AA
0x04 0000101|0110001 0x02B1
BX = 110 Event : 15
0x00 0010101|0000111 0x0A87
BX = 111 Event : 16
0x00 0000000|0010111 0x0017
0x01 0000000|0100001 0x0021
0x02 0010110|0010110 0x0B16
0x03 0010110|0010111 0x0B17
0x04 0010110|0100001 0x0B21
BX = 000 Event : 17
BX = 001 Event : 18
BX = 010 Event : 19
0x00 0000001|0000101 0x0085
0x01 0000001|0000001 0x0081
0x02 0011011|0000101 0x0D85
0x03 0011011|0000001 0x0D81
0x04 0011100|0100001 0x0E21
0x05 0011100|0100101 0x0E25
0x06 0011100|0100111 0x0E27
0x07 0011110|0100001 0x0F21
0x08 0011110|0100101 0x0F25
0x09 0011110|0100110 0x0F26
0x0a 0011110|0100111 0x0F27
BX = 011 Event : 20
BX = 100 Event : 21
0x00 0100010|0010000 0x1110
BX = 101 Event : 22
BX = 110 Event : 23
BX = 111 Event : 24
0x00 0000010|0011110 0x011E
0x01 0001010|0000001 0x0501
0x02 0001010|0000010 0x0502
0x03 0010101|0000001 0x0A81
0x04 0101100|0011010 0x161A
0x05 0101101|0011010 0x169A
BX = 000 Event : 25
BX = 001 Event : 26
BX = 010 Event : 27
0x00 0001000|0000000 0x0400
0x01 0110110|0000000 0x1B00
0x02 0110111|0000000 0x1B80
0x03 0111000|0000000 0x1C00
0x04 0111001|0000000 0x1C80
0x05 0111010|0000000 0x1D00
0x06 0111100|0000000 0x1E00
