BX = 000 Event : 1
0x00 0011000|0101100 0x0C2C
0x01 0011000|0100010 0x0C22
0x02 0100000|0110101 0x1035
0x03 0100000|0000100 0x1004
BX = 001 Event : 2
0x00 0101100|0011001 0x1619
BX = 010 Event : 3
0x00 0000111|0001100 0x038C
0x01 0001010|0001011 0x050B
0x02 0001010|0010100 0x0514
0x03 0001010|0010101 0x0515
0x04 0010000|0001001 0x0809
0x05 0010000|0010100 0x0814
0x06 0010000|0010101 0x0815
0x07 0010001|0001001 0x0889
0x08 0010001|0001011 0x088B
0x09 0010001|0010100 0x0894
0x0a 0010001|0010101 0x0895
0x0b 0010001|0010111 0x0897
BX = 011 Event : 4
BX = 100 Event : 5
0x00 0000111|0010001 0x0391
0x01 0001000|0010001 0x0411
0x02 0010100|0010001 0x0A11
BX = 101 Event : 6
0x00 0100001|0100100 0x10A4
BX = 110 Event : 7
BX = 111 Event : 8
0x00 0011100|0011010 0x0E1A
BX = 000 Event : 9
0x00 0000010|0000111 0x0107
0x01 0001101|0010001 0x0691
0x02 0001101|0010111 0x0697
0x03 0011000|0000111 0x0C07
0x04 0100101|0010001 0x1291
0x05 0100101|0010111 0x1297
BX = 001 Event : 10
0x00 0010001|0100010 0x08A2
0x01 0010010|0100010 0x0922
0x02 0010011|0000000 0x0980
0x03 0010011|0000010 0x0982
BX = 010 Event : 11
0x00 0010111|0001110 0x0B8E
0x01 0011000|0001110 0x0C0E
0x02 0101110|0001110 0x170E
0x03 0101111|0001101 0x178D
0x04 0101111|0001110 0x178E
BX = 011 Event : 12
0x00 0000010|0110000 0x0130
0x01 0001111|0110000 0x07B0
BX = 100 Event : 13
BX = 101 Event : 14
BX = 110 Event : 15
0x00 0001001|0010101 0x0495
0x01 0001010|0010101 0x0515
0x02 0100011|0010101 0x1195
BX = 111 Event : 16
BX = 000 Event : 17
0x00 0010110|0001101 0x0B0D
BX = 001 Event : 18
0x00 0100010|0000100 0x1104
0x01 0100010|0001110 0x110E
0x02 0100011|0000100 0x1184
0x03 0111100|0000100 0x1E04
0x04 0111100|0001110 0x1E0E
0x05 0111101|0000100 0x1E84
0x06 0111101|0001110 0x1E8E
BX = 010 Event : 19
BX = 011 Event : 20
0x00 0001100|0001011 0x060B
BX = 100 Event : 21
0x00 0101100|0100101 0x1625
0x01 0110101|0110101 0x1AB5
0x02 0111000|0011001 0x1C19
0x03 0111000|0011011 0x1C1B
0x04 0111000|0011110 0x1C1E
0x05 0111000|0011111 0x1C1F
0x06 0111000|0100001 0x1C21
0x07 1000111|0011001 0x2399
0x08 1000111|0011011 0x239B
0x09 1000111|0011110 0x239E
0x0a 1000111|0011111 0x239F
0x0b 1000111|0100001 0x23A1
0x0c 1001001|0100100 0x24A4
BX = 101 Event : 22
0x00 0010100|0010101 0x0A15
0x01 0011010|0010101 0x0D15
0x02 0011100|0001001 0x0E09
BX = 110 Event : 23
0x00 0110000|0000010 0x1802
BX = 111 Event : 24
0x00 0100000|0011000 0x1018
0x01 0100000|0100100 0x1024
0x02 0101011|0010100 0x1594
0x03 0111001|0010001 0x1C91
BX = 000 Event : 25
0x00 0000001|0001011 0x008B
0x01 0100011|0001011 0x118B
BX = 001 Event : 26
BX = 010 Event : 27
0x00 0010011|0010000 0x0990
0x01 0010101|0010000 0x0A90
0x02 0011101|0010000 0x0E90
0x03 0101000|0100001 0x1421
0x04 0101001|0100001 0x14A1
0x05 0101110|0001110 0x170E
0x06 0110001|0001110 0x188E
0x07 0110010|0001110 0x190E
0x08 1000101|0100001 0x22A1
0x09 1000110|0001110 0x230E
0x0a 1000111|0001110 0x238E
BX = 011 Event : 28
BX = 100 Event : 29
0x00 0000110|0000101 0x0305
0x01 0011100|0000101 0x0E05
BX = 101 Event : 30
0x00 0010000|0011110 0x081E
0x01 0101111|0011110 0x179E
BX = 110 Event : 31
BX = 111 Event : 32
0x00 0001001|0100100 0x04A4
0x01 0001001|1100001 0x04E1
0x02 0110000|0100100 0x1824
0x03 0110110|1100001 0x1B61
BX = 000 Event : 33
0x00 0011011|0010000 0x0D90
0x01 0011111|0001011 0x0F8B
0x02 0011111|0001100 0x0F8C
0x03 0011111|0010000 0x0F90
0x04 0011111|0011000 0x0F98
0x05 0100010|0001011 0x110B
0x06 0100010|0001100 0x110C
0x07 0100010|0010000 0x1110
0x08 0100010|0011000 0x1118
0x09 0101011|0001011 0x158B
0x0a 0101011|0001100 0x158C
0x0b 0101011|0010000 0x1590
0x0c 0101011|0011000 0x1598
0x0d 0101111|0001011 0x178B
0x0e 0101111|0001100 0x178C
0x0f 0101111|0010000 0x1790
0x10 0101111|0011000 0x1798
0x11 0111000|0001011 0x1C0B
0x12 0111000|0001100 0x1C0C
0x13 0111000|0010000 0x1C10
0x14 0111000|0011000 0x1C18
0x15 1000101|0001011 0x228B
0x16 1000101|0001100 0x228C
0x17 1000101|0010000 0x2290
0x18 1000101|0011000 0x2298
0x19 1001001|0001011 0x248B
0x1a 1001001|0001100 0x248C
0x1b 1001001|0010000 0x2490
0x1c 1001001|0011000 0x2498
0x1d 1011010|0001011 0x2D0B
0x1e 1011010|0001100 0x2D0C
0x1f 1011010|0010000 0x2D10
0x20 1011010|0011000 0x2D18
0x21 1011011|0001011 0x2D8B
0x22 1011011|0001100 0x2D8C
0x23 1011011|0010000 0x2D90
0x24 1011011|0011000 0x2D98
0x25 1011100|0001011 0x2E0B
0x26 1011100|0001100 0x2E0C
0x27 1011100|0010000 0x2E10
0x28 1011100|0011000 0x2E18
0x29 1011101|0001011 0x2E8B
0x2a 1011101|0001100 0x2E8C
0x2b 1011101|0010000 0x2E90
0x2c 1011101|0011000 0x2E98
0x2d 1011110|0001011 0x2F0B
0x2e 1011110|0001100 0x2F0C
0x2f 1011110|0011000 0x2F18
0x30 1011111|0001011 0x2F8B
0x31 1011111|0001100 0x2F8C
0x32 1011111|0010000 0x2F90
0x33 1011111|0011000 0x2F98
BX = 001 Event : 34
0x00 0101000|0000011 0x1403
0x01 0101011|0000011 0x1583
0x02 1001011|0000011 0x2583
0x03 1001011|0001011 0x258B
BX = 010 Event : 35
0x00 0010000|0001000 0x0808
0x01 0010101|0101011 0x0AAB
BX = 011 Event : 36
BX = 100 Event : 37
0x00 0000111|0001110 0x038E
0x01 0001000|0001110 0x040E
0x02 0100000|0010011 0x1013
0x03 0100101|0001011 0x128B
0x04 0100101|0001101 0x128D
0x05 0100101|0010011 0x1293
0x06 0101110|0001110 0x170E
0x07 0101111|0001110 0x178E
0x08 0111001|0001011 0x1C8B
0x09 0111001|0001101 0x1C8D
0x0a 0111001|0010011 0x1C93
BX = 101 Event : 38
0x00 0000110|0000110 0x0306
0x01 0000110|0001001 0x0309
0x02 0010000|0100000 0x0820
0x03 0010001|0000111 0x0887
0x04 0010001|0001000 0x0888
0x05 0010010|0000111 0x0907
0x06 0010010|0001000 0x0908
0x07 0101000|0100000 0x1420
0x08 0101001|0000111 0x1487
0x09 0101001|0001000 0x1488
BX = 110 Event : 39
0x00 0001001|0011111 0x049F
0x01 0010100|0011111 0x0A1F
BX = 111 Event : 40
BX = 000 Event : 41
0x00 0001000|0010111 0x0417
0x01 0001000|0011001 0x0419
0x02 0001010|0011001 0x0519
0x03 0100000|0100000 0x1020
0x04 0100011|0100000 0x11A0
0x05 0110000|0011000 0x1818
0x06 0110010|0011000 0x1918
0x07 0110010|0011010 0x191A
BX = 001 Event : 42
0x00 0110101|0100010 0x1AA2
0x01 0110101|0100101 0x1AA5
BX = 010 Event : 43
BX = 011 Event : 44
BX = 100 Event : 45
BX = 101 Event : 46
0x00 0001101|0000101 0x0685
0x01 0001101|0000110 0x0686
0x02 0001101|0000111 0x0687
BX = 110 Event : 47
0x00 0000100|0001100 0x020C
0x01 0001010|0001001 0x0509
0x02 0001010|0001010 0x050A
0x03 0001100|0001001 0x0609
0x04 0001100|0001010 0x060A
0x05 0010101|0001100 0x0A8C
0x06 0010111|0001001 0x0B89
0x07 0010111|0001010 0x0B8A
0x08 0011000|0001001 0x0C09
0x09 0011000|0001010 0x0C0A
BX = 111 Event : 48
0x00 0101111|0001011 0x178B
