BX = 000 Event : 1
BX = 001 Event : 2
BX = 010 Event : 3
BX = 011 Event : 4
0x00 0001101|0000000 0x0680
0x01 0001110|0000000 0x0700
BX = 100 Event : 5
0x00 0000110|0100010 0x0322
0x01 0100011|0000011 0x1183
0x02 0101100|0100010 0x1622
BX = 101 Event : 6
0x00 0001011|0001011 0x058B
BX = 110 Event : 7
0x00 0000010|0010100 0x0114
0x01 0110110|0010100 0x1B14
BX = 111 Event : 8
BX = 000 Event : 9
BX = 001 Event : 10
0x00 0010001|0010001 0x0891
BX = 010 Event : 11
BX = 011 Event : 12
0x00 0000000|0100000 0x0020
0x01 0000010|0100000 0x0120
0x02 0000011|0100000 0x01A0
0x03 0010001|0100010 0x08A2
0x04 0010100|0001010 0x0A0A
0x05 0010100|0001100 0x0A0C
0x06 0100110|0000001 0x1301
0x07 0110110|0011111 0x1B1F
0x08 0110110|0100010 0x1B22
0x09 1000000|0000001 0x2001
BX = 100 Event : 13
BX = 101 Event : 14
0x00 0000010|0010011 0x0113
0x01 0001001|0000110 0x0486
BX = 110 Event : 15
BX = 111 Event : 16
0x00 0001111|0011111 0x079F
0x01 0010110|0011010 0x0B1A
0x02 0011010|0011111 0x0D1F
0x03 0011011|0011111 0x0D9F
BX = 000 Event : 17
0x00 0000000|0000010 0x0002
0x01 0011010|0000010 0x0D02
BX = 001 Event : 18
0x00 0000100|0001001 0x0209
0x01 0000101|0001000 0x0288
0x02 0011111|0000010 0x0F82
0x03 0100010|0000010 0x1102
0x04 0100101|0000010 0x1282
0x05 0101100|0001000 0x1608
0x06 0110000|0001001 0x1809
0x07 0110001|0001000 0x1888
0x08 0111000|0000010 0x1C02
0x09 0111001|0000010 0x1C82
0x0a 0111010|0000010 0x1D02
BX = 010 Event : 19
BX = 011 Event : 20
BX = 100 Event : 21
BX = 101 Event : 22
0x00 0000000|0001101 0x000D
0x01 0011111|0000100 0x0F84
BX = 110 Event : 23
BX = 111 Event : 24
BX = 000 Event : 25
BX = 001 Event : 26
0x00 0000000|0001011 0x000B
0x01 0011010|0001100 0x0D0C
0x02 0011010|0011100 0x0D1C
0x03 0011011|0011100 0x0D9C
BX = 010 Event : 27
0x00 0001001|0000011 0x0483
BX = 011 Event : 28
0x00 0001110|0011001 0x0719
0x01 0101001|0011001 0x1499
BX = 100 Event : 29
0x00 0100001|0000000 0x1080
0x01 0100110|0000000 0x1300
BX = 101 Event : 30
BX = 110 Event : 31
0x00 0000111|0001000 0x0388
0x01 0001001|0001000 0x0488
0x02 0001010|0001000 0x0508
0x03 0001101|0001000 0x0688
0x04 0011000|0001000 0x0C08
0x05 0011110|0001000 0x0F08
0x06 0100000|0001000 0x1008
0x07 0101111|0000010 0x1782
0x08 0101111|0000011 0x1783
0x09 0111000|0001000 0x1C08
BX = 111 Event : 32
0x00 0100111|0010100 0x1394
BX = 000 Event : 33
BX = 001 Event : 34
BX = 010 Event : 35
BX = 011 Event : 36
BX = 100 Event : 37
0x00 0011011|0000001 0x0D81
0x01 0110111|0000001 0x1B81
BX = 101 Event : 38
BX = 110 Event : 39
BX = 111 Event : 40
BX = 000 Event : 41
BX = 001 Event : 42
BX = 010 Event : 43
BX = 011 Event : 44
BX = 100 Event : 45
BX = 101 Event : 46
BX = 110 Event : 47
0x00 0011100|0000000 0x0E00
BX = 111 Event : 48
BX = 000 Event : 49
0x00 0001001|0011001 0x0499
0x01 0001001|0011010 0x049A
0x02 0010110|0011110 0x0B1E
BX = 001 Event : 50
BX = 010 Event : 51
BX = 011 Event : 52
BX = 100 Event : 53
BX = 101 Event : 54
0x00 0000001|0000000 0x0080
BX = 110 Event : 55
BX = 111 Event : 56
0x00 0000000|0000001 0x0001
0x01 0000001|0000001 0x0081
0x02 0111101|0000001 0x1E81
0x03 1001001|0000000 0x2480
BX = 000 Event : 57
0x00 0111011|0000111 0x1D87
0x01 0111011|0001100 0x1D8C
BX = 001 Event : 58
BX = 010 Event : 59
0x00 0001000|0010110 0x0416
0x01 0001000|0010111 0x0417
0x02 0001000|0011000 0x0418
0x03 0001000|0011010 0x041A
0x04 0001000|0011100 0x041C
0x05 0001000|0011101 0x041D
0x06 0001100|0010111 0x0617
