BX = 000 Event : 1
BX = 001 Event : 2
BX = 010 Event : 3
0x00 0000111|0011001 0x0399
BX = 011 Event : 4
0x00 0000101|0000011 0x0283
0x01 0010011|0010011 0x0993
0x02 0011111|0010011 0x0F93
BX = 100 Event : 5
0x00 0101001|0100000 0x14A0
0x01 0101001|0100001 0x14A1
BX = 101 Event : 6
BX = 110 Event : 7
0x00 0011100|0000000 0x0E00
0x01 0111100|0000111 0x1E07
BX = 111 Event : 8
0x00 0010111|0000011 0x0B83
0x01 0011101|0000011 0x0E83
0x02 0111010|0001011 0x1D0B
0x03 1000010|0000001 0x2101
0x04 1000010|0000011 0x2103
0x05 1000100|0000001 0x2201
0x06 1000100|0000011 0x2203
0x07 1000101|0000011 0x2283
0x08 1000110|0000001 0x2301
0x09 1000110|0000011 0x2303
0x0a 1001001|0000001 0x2481
0x0b 1001001|0000011 0x2483
0x0c 1001101|0001010 0x268A
0x0d 1001110|0001010 0x270A
0x0e 1001111|0001010 0x278A
0x0f 1010000|0001010 0x280A
0x10 1010001|0001010 0x288A
BX = 000 Event : 9
0x00 0001100|0001101 0x060D
BX = 001 Event : 10
0x00 0000000|0010111 0x0017
0x01 0000001|0010111 0x0097
0x02 0100011|0010111 0x1197
BX = 010 Event : 11
0x00 0000000|0000000 0x0000
0x01 0000001|0000000 0x0080
0x02 0010100|0000000 0x0A00
BX = 011 Event : 12
0x00 0001001|0100000 0x04A0
0x01 0010011|0001001 0x0989
0x02 0010011|0001010 0x098A
0x03 0010011|0001011 0x098B
0x04 0011111|0100001 0x0FA1
0x05 0100000|0100001 0x1021
0x06 0110011|0100000 0x19A0
0x07 0110011|0100101 0x19A5
BX = 100 Event : 13
BX = 101 Event : 14
BX = 110 Event : 15
0x00 0010110|0001101 0x0B0D
0x01 0010111|0001101 0x0B8D
0x02 1000111|0001110 0x238E
BX = 111 Event : 16
BX = 000 Event : 17
BX = 001 Event : 18
0x00 0011000|0000011 0x0C03
0x01 0011000|0000101 0x0C05
0x02 0011000|0000111 0x0C07
0x03 0011010|0000011 0x0D03
0x04 0011010|0000101 0x0D05
0x05 0011010|0000111 0x0D07
0x06 0110110|0000011 0x1B03
0x07 0110110|0000101 0x1B05
0x08 0110110|0000111 0x1B07
BX = 010 Event : 19
0x00 0101111|0010000 0x1790
0x01 1001000|0010000 0x2410
BX = 011 Event : 20
0x00 0011000|0001001 0x0C09
0x01 0011001|0001001 0x0C89
BX = 100 Event : 21
BX = 101 Event : 22
0x00 0000001|0001101 0x008D
0x01 0000010|0001101 0x010D
BX = 110 Event : 23
BX = 111 Event : 24
BX = 000 Event : 25
BX = 001 Event : 26
0x00 0001001|0010101 0x0495
0x01 0001001|0011010 0x049A
0x02 0001001|0011110 0x049E
BX = 010 Event : 27
BX = 011 Event : 28
0x00 0001010|0010001 0x0511
0x01 0001010|0010011 0x0513
0x02 0001010|0010101 0x0515
0x03 0001010|0010110 0x0516
0x04 0001010|0010111 0x0517
BX = 100 Event : 29
BX = 101 Event : 30
0x00 0000001|0011010 0x009A
0x01 0000001|0011011 0x009B
0x02 0000001|0011100 0x009C
0x03 0001010|0110001 0x0531
0x04 0001011|0110001 0x05B1
0x05 0001111|0011000 0x0798
0x06 0010000|0011000 0x0818
BX = 110 Event : 31
0x00 0011101|0001000 0x0E88
0x01 0110100|0001000 0x1A08
0x02 0110110|0001000 0x1B08
0x03 0110111|0001000 0x1B88
BX = 111 Event : 32
BX = 000 Event : 33
BX = 001 Event : 34
BX = 010 Event : 35
0x00 0010010|0100000 0x0920
0x01 0010011|0100000 0x09A0
0x02 0100111|0100000 0x13A0
0x03 0101000|0100000 0x1420
BX = 011 Event : 36
BX = 100 Event : 37
0x00 0000001|0100010 0x00A2
0x01 0000100|0011100 0x021C
0x02 0110011|0100000 0x19A0
0x03 0110011|0100010 0x19A2
0x04 0110100|0100010 0x1A22
0x05 0111100|0011011 0x1E1B
