BX = 000 Event : 1
0x00 0011001|0010000 0x0C90
0x01 0011011|0010000 0x0D90
0x02 0100011|0010000 0x1190
BX = 001 Event : 2
0x00 0000100|0101101 0x022D
0x01 0000100|0110010 0x0232
0x02 0000100|0110011 0x0233
0x03 0110110|0101110 0x1B2E
0x04 0110110|0101111 0x1B2F
0x05 0110110|0110000 0x1B30
0x06 0110110|0110001 0x1B31
0x07 0110111|0101110 0x1BAE
0x08 0110111|0110001 0x1BB1
0x09 0111011|0101111 0x1DAF
0x0a 0111011|0110000 0x1DB0
0x0b 0111011|0110001 0x1DB1
BX = 010 Event : 3
0x00 0100110|0000110 0x1306
0x01 0100110|0000111 0x1307
0x02 0110001|0000110 0x1886
0x03 0110001|0000111 0x1887
0x04 0110010|0000110 0x1906
0x05 0110010|0000111 0x1907
0x06 0110011|0000101 0x1985
BX = 011 Event : 4
BX = 100 Event : 5
0x00 0001110|0100011 0x0723
0x01 0010001|0100011 0x08A3
0x02 0110010|0100101 0x1925
BX = 101 Event : 6
BX = 110 Event : 7
BX = 111 Event : 8
BX = 000 Event : 9
BX = 001 Event : 10
0x00 0011111|0011001 0x0F99
0x01 0100000|0011010 0x101A
0x02 0101001|0011001 0x1499
0x03 0101011|0011001 0x1599
0x04 0101100|0011001 0x1619
0x05 0101110|0011001 0x1719
BX = 010 Event : 11
0x00 0010011|0100001 0x09A1
0x01 0011011|0100001 0x0DA1
BX = 011 Event : 12
0x00 0111100|0110011 0x1E33
0x01 0111100|0010011 0x1E13
BX = 100 Event : 13
0x00 0000111|0001110 0x038E
0x01 0001001|0001110 0x048E
0x02 0100011|0001110 0x118E
BX = 101 Event : 14
BX = 110 Event : 15
0x00 0001110|0000011 0x0703
0x01 0001110|0000100 0x0704
0x02 0001110|0000101 0x0705
0x03 0001110|0000111 0x0707
0x04 1001000|0011011 0x241B
BX = 111 Event : 16
BX = 000 Event : 17
0x00 0001100|0010000 0x0610
0x01 0001101|0010000 0x0690
0x02 0011101|0010000 0x0E90
0x03 0011110|0010000 0x0F10
BX = 001 Event : 18
BX = 010 Event : 19
BX = 011 Event : 20
BX = 100 Event : 21
BX = 101 Event : 22
0x00 0011011|0000110 0x0D86
0x01 0100001|0000111 0x1087
0x02 0100001|0001001 0x1089
BX = 110 Event : 23
0x00 0000011|0010110 0x0196
0x01 0010000|0010110 0x0816
BX = 111 Event : 24
BX = 000 Event : 25
BX = 001 Event : 26
0x00 0000101|0100110 0x02A6
0x01 0000110|0100110 0x0326
0x02 0011100|0100110 0x0E26
BX = 010 Event : 27
0x00 0000101|0010101 0x0295
0x01 0001000|0010101 0x0415
0x02 0100001|0010101 0x1095
0x03 0100110|0001101 0x130D
BX = 011 Event : 28
BX = 100 Event : 29
BX = 101 Event : 30
0x00 0000100|0100001 0x0221
0x01 0010001|0110100 0x08B4
0x02 0011100|0100001 0x0E21
BX = 110 Event : 31
0x00 0101100|0010000 0x1610
0x01 0101110|0010000 0x1710
0x02 1000001|0001111 0x208F
0x03 1000001|0010000 0x2090
0x04 1000010|0001111 0x210F
0x05 1000010|0010000 0x2110
BX = 111 Event : 32
0x00 0110010|0001011 0x190B
BX = 000 Event : 33
0x00 0110100|0001100 0x1A0C
BX = 001 Event : 34
0x00 0011110|0010011 0x0F13
BX = 010 Event : 35
BX = 011 Event : 36
BX = 100 Event : 37
0x00 0101100|0010011 0x1613
0x01 0111110|0010001 0x1F11
0x02 1000000|0010011 0x2013
BX = 101 Event : 38
0x00 0011111|0010011 0x0F93
BX = 110 Event : 39
BX = 111 Event : 40
BX = 000 Event : 41
BX = 001 Event : 42
BX = 010 Event : 43
0x00 0001100|0010001 0x0611
0x01 0001100|0010011 0x0613
0x02 0001100|0010101 0x0615
BX = 011 Event : 44
BX = 100 Event : 45
BX = 101 Event : 46
0x00 1000000|0101011 0x202B
BX = 110 Event : 47
BX = 111 Event : 48
BX = 000 Event : 49
BX = 001 Event : 50
BX = 010 Event : 51
BX = 011 Event : 52
BX = 100 Event : 53
BX = 101 Event : 54
BX = 110 Event : 55
BX = 111 Event : 56
0x00 0111011|0000010 0x1D82
0x01 1000011|0000011 0x2183
0x02 1000100|0000011 0x2203
0x03 1001100|0000010 0x2602
BX = 000 Event : 57
0x00 0110110|0110100 0x1B34
0x01 1010011|0110100 0x29B4
0x02 1010100|0110100 0x2A34
0x03 1010101|0110100 0x2AB4
0x04 1010110|0110100 0x2B34
0x05 1011001|0101011 0x2CAB
0x06 1011010|0101011 0x2D2B
BX = 001 Event : 58
0x00 0001001|0001100 0x048C
0x01 0100000|0001100 0x100C
BX = 010 Event : 59
BX = 011 Event : 60
0x00 0011011|0001000 0x0D88
BX = 100 Event : 61
0x00 0000001|0000001 0x0081
0x01 0101100|0001100 0x160C
0x02 0110110|0000001 0x1B01
0x03 1001100|0001100 0x260C
BX = 101 Event : 62
BX = 110 Event : 63
0x00 0001100|0100010 0x0622
0x01 0010000|0100010 0x0822
BX = 111 Event : 64
BX = 000 Event : 65
BX = 001 Event : 66
BX = 010 Event : 67
BX = 011 Event : 68
BX = 100 Event : 69
0x00 1000100|0011100 0x221C
0x01 1000100|0011101 0x221D
BX = 101 Event : 70
BX = 110 Event : 71
BX = 111 Event : 72
0x00 0010001|0100101 0x08A5
0x01 0010011|0100101 0x09A5
0x02 0010100|0101110 0x0A2E
0x03 0010110|0011101 0x0B1D
BX = 000 Event : 73
0x00 0110001|0010001 0x1891
0x01 0110001|0010011 0x1893
BX = 001 Event : 74
BX = 010 Event : 75
BX = 011 Event : 76
BX = 100 Event : 77
0x00 0010100|0001100 0x0A0C
BX = 101 Event : 78
BX = 110 Event : 79
BX = 111 Event : 80
0x00 0001111|0010110 0x0796
BX = 000 Event : 81
BX = 001 Event : 82
0x00 0000100|0000011 0x0203
0x01 0000101|0000011 0x0283
0x02 0010010|0000011 0x0903
0x03 0010011|0000011 0x0983
BX = 010 Event : 83
BX = 011 Event : 84
0x00 0100101|0011101 0x129D
0x01 0100111|0011101 0x139D
0x02 1001000|0011101 0x241D
0x03 1001100|0010101 0x2615
BX = 100 Event : 85
BX = 101 Event : 86
BX = 110 Event : 87
0x00 0111000|0100011 0x1C23
BX = 111 Event : 88
0x00 0001011|0100001 0x05A1
BX = 000 Event : 89
0x00 0001001|0100001 0x04A1
0x01 0001011|0000110 0x0586
0x02 0110100|0100001 0x1A21
BX = 001 Event : 90
BX = 010 Event : 91
BX = 011 Event : 92
0x00 0010111|0100000 0x0BA0
BX = 100 Event : 93
BX = 101 Event : 94
BX = 110 Event : 95
BX = 111 Event : 96
0x00 0010101|0000100 0x0A84
0x01 0010110|0000100 0x0B04
0x02 0100000|0000100 0x1004
BX = 000 Event : 97
BX = 001 Event : 98
0x00 0110100|0001011 0x1A0B
0x01 0110101|0011000 0x1A98
BX = 010 Event : 99
BX = 011 Event : 100
