BX = 000 Event : 1
0x00 0100010|0011100 0x111C
0x01 0111011|0111110 0x1DBE
BX = 001 Event : 2
0x00 0000111|0010010 0x0392
0x01 0001111|0010111 0x0797
0x02 0110111|0111111 0x1BBF
0x03 0110111|1000000 0x1BC0
0x04 0111000|0111111 0x1C3F
0x05 0111000|1000000 0x1C40
0x06 0111000|1000011 0x1C43
0x07 1000011|1000110 0x21C6
0x08 1000011|1001100 0x21CC
0x09 1000110|1001101 0x234D
0x0a 1000110|1001111 0x234F
0x0b 1001001|1001101 0x24CD
0x0c 1001001|1001111 0x24CF
BX = 010 Event : 3
BX = 011 Event : 4
0x00 0101000|0100110 0x1426
0x01 0101000|0100111 0x1427
0x02 0101011|0101000 0x15A8
0x03 0110000|0100110 0x1826
0x04 0110000|0100111 0x1827
BX = 100 Event : 5
0x00 0000111|0001010 0x038A
0x01 0011111|0100011 0x0FA3
0x02 0011111|0101000 0x0FA8
0x03 0011111|0101110 0x0FAE
0x04 0011111|0110001 0x0FB1
BX = 101 Event : 6
0x00 0010001|0001111 0x088F
0x01 0010001|0010101 0x0895
0x02 0010100|0010101 0x0A15
BX = 110 Event : 7
0x00 0011000|0100010 0x0C22
BX = 111 Event : 8
BX = 000 Event : 9
0x00 0001001|0001101 0x048D
BX = 001 Event : 10
0x00 0001111|0011101 0x079D
0x01 0010000|0011101 0x081D
0x02 0010001|0011110 0x089E
0x03 0100110|0101111 0x132F
0x04 0100110|0110001 0x1331
BX = 010 Event : 11
0x00 0001010|0010100 0x0514
0x01 0001010|0010011 0x0513
0x02 0101000|0111000 0x1438
BX = 011 Event : 12
0x00 0001000|0001010 0x040A
0x01 0001001|0001100 0x048C
0x02 0001010|0001010 0x050A
0x03 0001011|0001010 0x058A
0x04 0001011|0001100 0x058C
0x05 0001100|0001100 0x060C
0x06 0001101|0001100 0x068C
0x07 0010000|0010001 0x0811
0x08 0010000|0010110 0x0816
0x09 0010000|0010111 0x0817
0x0a 0010010|0010001 0x0911
0x0b 0010010|0010110 0x0916
