BX = 000 Event : 1
BX = 001 Event : 2
0x00 0110001|0111101 0x18BD
0x01 0110111|0111101 0x1BBD
BX = 010 Event : 3
0x00 0101000|0110010 0x1432
0x01 0101000|0111111 0x143F
0x02 0101001|0110010 0x14B2
0x03 0101001|1000000 0x14C0
0x04 0101101|1000001 0x16C1
0x05 0101101|1001000 0x16C8
0x06 0110101|1001001 0x1AC9
0x07 0110101|1001100 0x1ACC
BX = 011 Event : 4
BX = 100 Event : 5
BX = 101 Event : 6
BX = 110 Event : 7
0x00 0111000|1010100 0x1C54
0x01 0111000|1010101 0x1C55
BX = 111 Event : 8
0x00 0101110|1000100 0x1744
0x01 0110100|1010011 0x1A53
0x02 0111001|1011100 0x1CDC
BX = 000 Event : 9
BX = 001 Event : 10
BX = 010 Event : 11
BX = 011 Event : 12
0x00 0000111|0001111 0x038F
0x01 0000111|0010110 0x0396
0x02 0000111|0011001 0x0399
0x03 0001101|0011111 0x069F
0x04 0010100|0011111 0x0A1F
0x05 0101100|0110101 0x1635
BX = 100 Event : 13
BX = 101 Event : 14
0x00 0001110|0011110 0x071E
0x01 0101011|1000111 0x15C7
0x02 0101100|1000111 0x1647
BX = 110 Event : 15
BX = 111 Event : 16
0x00 0000111|0001000 0x0388
0x01 0001011|0001110 0x058E
0x02 0001011|0001111 0x058F
0x03 0011001|0101000 0x0CA8
BX = 000 Event : 17
0x00 0110011|0110000 0x19B0
BX = 001 Event : 18
0x00 0011101|0100100 0x0EA4
BX = 010 Event : 19
0x00 0001100|0010101 0x0615
0x01 0010001|0010110 0x0896
0x02 0010001|0011001 0x0899
0x03 0010101|0010110 0x0A96
0x04 0010101|0011001 0x0A99
BX = 011 Event : 20
BX = 100 Event : 21
0x00 0001101|0010000 0x0690
0x01 0101110|0101010 0x172A
0x02 0110010|0101010 0x192A
0x03 0110010|0101011 0x192B
BX = 101 Event : 22
0x00 0101010|0101011 0x152B
BX = 110 Event : 23
0x00 0010101|0100100 0x0AA4
0x01 0010101|0100101 0x0AA5
0x02 0010111|0100100 0x0BA4
0x03 0010111|0100101 0x0BA5
0x04 0011001|0100100 0x0CA4
0x05 0011001|0100101 0x0CA5
0x06 0011011|0100100 0x0DA4
0x07 0011011|0100101 0x0DA5
0x08 0011100|0101001 0x0E29
BX = 111 Event : 24
0x00 0010010|0011010 0x091A
0x01 0010010|0011110 0x091E
BX = 000 Event : 25
BX = 001 Event : 26
0x00 0000100|0010011 0x0213
BX = 010 Event : 27
BX = 011 Event : 28
0x00 0001100|0001110 0x060E
0x01 0001100|0010101 0x0615
0x02 0010000|0010111 0x0817
0x03 0100111|0110111 0x13B7
0x04 0101001|0110111 0x14B7
0x05 0101110|0111001 0x1739
0x06 0101111|0111001 0x17B9
0x07 0110000|0111001 0x1839
0x08 0110010|0111001 0x1939
BX = 100 Event : 29
0x00 0100101|0110010 0x12B2
0x01 0100101|0110101 0x12B5
0x02 0100111|0110010 0x13B2
0x03 0100111|0110101 0x13B5
0x04 0101000|0110101 0x1435
0x05 0101011|0110010 0x15B2
