BX = 000 Event : 1
0x00 0110101|0111110 0x1ABE
0x01 0111000|0111111 0x1C3F
0x02 0111000|1000000 0x1C40
BX = 001 Event : 2
0x00 0100110|1000011 0x1343
0x01 0101101|1000101 0x16C5
0x02 0101101|1000110 0x16C6
0x03 0101101|1000111 0x16C7
BX = 010 Event : 3
0x00 0101111|0111011 0x17BB
0x01 0110000|0111011 0x183B
0x02 0110011|1000100 0x19C4
BX = 011 Event : 4
BX = 100 Event : 5
0x00 0001100|0011011 0x061B
0x01 0010110|0100011 0x0B23
0x02 0010110|0100111 0x0B27
0x03 0011000|0100011 0x0C23
0x04 0011000|0100111 0x0C27
BX = 101 Event : 6
0x00 0010011|0011110 0x099E
BX = 110 Event : 7
0x00 1000001|1001111 0x20CF
0x01 1000110|1001111 0x234F
BX = 111 Event : 8
BX = 000 Event : 9
BX = 001 Event : 10
BX = 010 Event : 11
0x00 0001001|0010000 0x0490
0x01 0001101|0010000 0x0690
0x02 0010010|0011000 0x0918
0x03 0101011|1000011 0x15C3
0x04 0101111|1000011 0x17C3
0x05 0110000|1000011 0x1843
0x06 0110000|1000100 0x1844
BX = 011 Event : 12
0x00 0001100|0010000 0x0610
0x01 0001100|0011011 0x061B
0x02 0001101|0010000 0x0690
0x03 0001101|0011011 0x069B
0x04 0001110|0010000 0x0710
0x05 0001110|0011011 0x071B
BX = 100 Event : 13
0x00 0010101|0010010 0x0A92
BX = 101 Event : 14
0x00 0100111|0110100 0x13B4
0x01 0101100|0110100 0x1634
0x02 0110010|0110100 0x1934
BX = 110 Event : 15
0x00 0111100|0101101 0x1E2D
0x01 0111100|0110001 0x1E31
0x02 0111101|0101110 0x1EAE
0x03 0111110|0110010 0x1F32
0x04 0111110|0110110 0x1F36
0x05 1000000|0110001 0x2031
0x06 1000100|0110010 0x2232
0x07 1000100|0110110 0x2236
BX = 111 Event : 16
BX = 000 Event : 17
0x00 0011111|0100110 0x0FA6
0x01 0100000|0100110 0x1026
BX = 001 Event : 18
0x00 0001101|0011001 0x0699
0x01 0001101|0011010 0x069A
0x02 0001101|0011011 0x069B
0x03 0110100|0110101 0x1A35
BX = 010 Event : 19
0x00 0001110|0011001 0x0719
0x01 0001110|0011010 0x071A
BX = 011 Event : 20
0x00 0001010|0001101 0x050D
0x01 0001010|0001111 0x050F
0x02 0001010|0010000 0x0510
0x03 0001100|0001111 0x060F
BX = 100 Event : 21
0x00 0001001|0010111 0x0497
BX = 101 Event : 22
0x00 0000111|0010001 0x0391
0x01 0000111|0010010 0x0392
0x02 0000111|0010101 0x0395
BX = 110 Event : 23
0x00 0001100|0010010 0x0612
BX = 111 Event : 24
BX = 000 Event : 25
0x00 0100010|0111100 0x113C
0x01 0100011|0111100 0x11BC
BX = 001 Event : 26
BX = 010 Event : 27
BX = 011 Event : 28
BX = 100 Event : 29
BX = 101 Event : 30
0x00 0011000|0100001 0x0C21
0x01 0111011|0111111 0x1DBF
BX = 110 Event : 31
BX = 111 Event : 32
0x00 0011011|0100011 0x0DA3
0x01 0011011|0101011 0x0DAB
0x02 0111111|1011010 0x1FDA
0x03 1000000|1010111 0x2057
BX = 000 Event : 33
0x00 0001100|0011011 0x061B
0x01 0010011|0011101 0x099D
0x02 0010011|0011110 0x099E
BX = 001 Event : 34
0x00 0011110|0110001 0x0F31
BX = 010 Event : 35
0x00 0001110|0100000 0x0720
0x01 0101010|1010100 0x1554
0x02 0101010|1010111 0x1557
0x03 0101111|1010100 0x17D4
0x04 0101111|1010111 0x17D7
BX = 011 Event : 36
0x00 0011000|0100010 0x0C22
0x01 0101000|0111000 0x1438
BX = 100 Event : 37
0x00 0111000|1001010 0x1C4A
0x01 0111110|1001010 0x1F4A
BX = 101 Event : 38
0x00 0011110|0011111 0x0F1F
0x01 0011110|0100111 0x0F27
BX = 110 Event : 39
BX = 111 Event : 40
BX = 000 Event : 41
0x00 0110010|0110011 0x1933
BX = 001 Event : 42
0x00 0001101|0011000 0x0698
0x01 0001110|0011000 0x0718
0x02 0100001|0100010 0x10A2
0x03 0100001|0100011 0x10A3
0x04 0100001|0100100 0x10A4
0x05 0100001|0100101 0x10A5
0x06 0100001|0101100 0x10AC
0x07 0100011|0101010 0x11AA
0x08 0100100|0100010 0x1222
0x09 0100100|0100011 0x1223
0x0a 0100100|0100100 0x1224
0x0b 0100100|0100101 0x1225
0x0c 0100100|0101100 0x122C
BX = 010 Event : 43
0x00 0001111|0010111 0x0797
0x01 0010011|0010111 0x0997
0x02 0100101|0101000 0x12A8
0x03 0100101|0101110 0x12AE
0x04 0100110|0101000 0x1328
0x05 0100110|0101110 0x132E
BX = 011 Event : 44
BX = 100 Event : 45
BX = 101 Event : 46
0x00 0001110|0011101 0x071D
0x01 0001110|0100000 0x0720
0x02 0010100|0100010 0x0A22
0x03 0010100|0100011 0x0A23
0x04 0010100|0100100 0x0A24
0x05 0010100|0101000 0x0A28
BX = 110 Event : 47
0x00 0100110|0110110 0x1336
0x01 0100110|0111000 0x1338
0x02 0100110|0111010 0x133A
BX = 111 Event : 48
0x00 0100001|0110000 0x10B0
