BX = 000 Event : 1
0x00 0000010|0000101 0x0105
0x01 0010010|0001110 0x090E
0x02 0110000|0000000 0x1800
0x03 0110001|0000000 0x1880
0x04 0110010|0000000 0x1900
0x05 0110011|0000000 0x1980
0x06 0110100|0000101 0x1A05
BX = 001 Event : 2
0x00 0001101|0101100 0x06AC
0x01 0011100|0101100 0x0E2C
BX = 010 Event : 3
0x00 0000000|1001010 0x004A
0x01 0001001|0001001 0x0489
0x02 1000001|0001001 0x2089
BX = 011 Event : 4
0x00 0001111|0010100 0x0794
BX = 100 Event : 5
0x00 1000011|0101110 0x21AE
0x01 1000100|0101110 0x222E
BX = 101 Event : 6
0x00 0010011|0101110 0x09AE
0x01 0010101|0111001 0x0AB9
BX = 110 Event : 7
0x00 0000100|0001001 0x0209
0x01 0000110|0010000 0x0310
0x02 0000110|0010010 0x0312
0x03 0000110|0010110 0x0316
0x04 0000111|0010110 0x0396
0x05 0001010|0010110 0x0516
0x06 0001010|0010111 0x0517
0x07 0010010|0010110 0x0916
0x08 0010010|0010111 0x0917
0x09 0110110|0111111 0x1B3F
0x0a 1000011|0001001 0x2189
0x0b 1000011|0001101 0x218D
BX = 111 Event : 8
0x00 0000001|0000101 0x0085
BX = 000 Event : 9
0x00 0000000|0000010 0x0002
0x01 0000001|0000010 0x0082
0x02 0100111|0000010 0x1382
BX = 001 Event : 10
BX = 010 Event : 11
0x00 0000100|0000101 0x0205
0x01 0101000|0000101 0x1405
0x02 0101100|0101100 0x162C
BX = 011 Event : 12
0x00 0000000|0000011 0x0003
0x01 0000000|0001011 0x000B
0x02 0000001|0000011 0x0083
0x03 0000001|0001011 0x008B
0x04 0000011|0000011 0x0183
0x05 0000011|0001011 0x018B
0x06 0000011|0010001 0x0191
0x07 0000011|0010100 0x0194
0x08 0001100|0010001 0x0611
0x09 0001100|0010100 0x0614
0x0a 0110100|1100010 0x1A62
0x0b 0110100|1100100 0x1A64
0x0c 0110101|1100100 0x1AE4
0x0d 0110110|1100010 0x1B62
