BX = 000 Event : 1
0x00 0011010|0110101 0x0D35
BX = 001 Event : 2
0x00 0000010|0010111 0x0117
0x01 0000010|0011000 0x0118
0x02 0000011|0010111 0x0197
0x03 0000011|0011000 0x0198
0x04 0000101|0010111 0x0297
0x05 0001111|0101111 0x07AF
BX = 010 Event : 3
0x00 0000110|0010101 0x0315
0x01 0010110|0000000 0x0B00
0x02 0011111|0000110 0x0F86
0x03 0100000|0000110 0x1006
BX = 011 Event : 4
BX = 100 Event : 5
BX = 101 Event : 6
0x00 0011101|0111101 0x0EBD
BX = 110 Event : 7
BX = 111 Event : 8
0x00 0001000|0100010 0x0422
0x01 0100111|0111100 0x13BC
BX = 000 Event : 9
0x00 0100101|0110011 0x12B3
BX = 001 Event : 10
0x00 0100001|1000101 0x10C5
0x01 0100100|1000101 0x1245
0x02 0100110|1000101 0x1345
0x03 0100110|1001011 0x134B
0x04 0100110|1001100 0x134C
0x05 0100110|1001101 0x134D
0x06 0100110|1001110 0x134E
BX = 010 Event : 11
0x00 0001000|0010111 0x0417
0x01 0001000|0011000 0x0418
0x02 0001001|0010110 0x0496
0x03 0001001|0010111 0x0497
0x04 0001001|0011000 0x0498
0x05 0010001|0011111 0x089F
0x06 0011101|0001000 0x0E88
BX = 011 Event : 12
0x00 0101010|1000000 0x1540
BX = 100 Event : 13
0x00 0001101|0111000 0x06B8
0x01 0001110|0111000 0x0738
BX = 101 Event : 14
0x00 0001100|0100011 0x0623
0x01 0110001|0101101 0x18AD
BX = 110 Event : 15
0x00 0001110|0101010 0x072A
0x01 0101110|0111110 0x173E
BX = 111 Event : 16
0x00 0010100|0010001 0x0A11
0x01 0010100|0010010 0x0A12
0x02 0100001|1000101 0x10C5
BX = 000 Event : 17
0x00 0000100|0001101 0x020D
BX = 001 Event : 18
0x00 0001001|0011110 0x049E
BX = 010 Event : 19
0x00 0010000|0010111 0x0817
BX = 011 Event : 20
0x00 0110011|0000001 0x1981
BX = 100 Event : 21
0x00 0000111|0100101 0x03A5
0x01 0001001|0101000 0x04A8
0x02 0010000|0000010 0x0802
0x03 0010011|0001100 0x098C
0x04 0101101|0000010 0x1682
BX = 101 Event : 22
BX = 110 Event : 23
0x00 0110100|1000110 0x1A46
0x01 0111000|1000110 0x1C46
BX = 111 Event : 24
0x00 0010100|0001110 0x0A0E
BX = 000 Event : 25
0x00 0011011|0101111 0x0DAF
0x01 0011111|0110110 0x0FB6
BX = 001 Event : 26
0x00 0000001|0010001 0x0091
0x01 0000001|0010101 0x0095
0x02 0000001|0010110 0x0096
0x03 0000010|0010001 0x0111
0x04 0000010|0010101 0x0115
0x05 0000010|0010110 0x0116
0x06 0000011|0010001 0x0191
0x07 0000011|0010101 0x0195
0x08 0000011|0010110 0x0196
0x09 0000111|0011011 0x039B
0x0a 0010001|0100100 0x08A4
0x0b 0101011|0110100 0x15B4
BX = 010 Event : 27
0x00 0001101|0110011 0x06B3
0x01 0101110|1001001 0x1749
0x02 0101111|1001001 0x17C9
BX = 011 Event : 28
0x00 0010001|0000101 0x0885
0x01 0010011|0000101 0x0985
0x02 0011001|0000101 0x0C85
BX = 100 Event : 29
BX = 101 Event : 30
BX = 110 Event : 31
0x00 0001011|0000000 0x0580
0x01 0001100|0000000 0x0600
BX = 111 Event : 32
BX = 000 Event : 33
0x00 0001001|0110111 0x04B7
0x01 0001001|0111000 0x04B8
0x02 0001001|0111010 0x04BA
0x03 0010110|0001000 0x0B08
0x04 0010110|0011010 0x0B1A
0x05 0010110|0011011 0x0B1B
0x06 0010111|0001000 0x0B88
0x07 0010111|0011010 0x0B9A
0x08 0010111|0011011 0x0B9B
0x09 0011001|0100001 0x0CA1
0x0a 0011001|0100011 0x0CA3
0x0b 0011001|0100100 0x0CA4
0x0c 0011001|0100110 0x0CA6
0x0d 0011001|0100111 0x0CA7
0x0e 0011001|0101000 0x0CA8
0x0f 0011001|0101011 0x0CAB
0x10 0011001|0101110 0x0CAE
