BX = 000 Event : 1
0x00 0010010|0000110 0x0906
0x01 0101001|1000110 0x14C6
BX = 001 Event : 2
0x00 0010110|0001010 0x0B0A
0x01 0010110|0001011 0x0B0B
0x02 0010110|0001101 0x0B0D
0x03 0101010|1000000 0x1540
BX = 010 Event : 3
0x00 0100000|0000111 0x1007
0x01 0100000|0001000 0x1008
BX = 011 Event : 4
BX = 100 Event : 5
BX = 101 Event : 6
0x00 0001101|0101100 0x06AC
0x01 0010100|0110011 0x0A33
0x02 0010101|0110011 0x0AB3
0x03 0111111|1100101 0x1FE5
BX = 110 Event : 7
BX = 111 Event : 8
0x00 0001100|0101000 0x0628
0x01 0011000|0000010 0x0C02
BX = 000 Event : 9
0x00 0101000|0111000 0x1438
0x01 0101111|0111010 0x17BA
0x02 0101111|0111011 0x17BB
BX = 001 Event : 10
0x00 0010011|0010110 0x0996
0x01 0100101|1000110 0x12C6
BX = 010 Event : 11
0x00 0010111|0000001 0x0B81
0x01 0011000|0000001 0x0C01
0x02 0011000|0000100 0x0C04
BX = 011 Event : 12
BX = 100 Event : 13
BX = 101 Event : 14
0x00 0110010|0101111 0x192F
BX = 110 Event : 15
0x00 0101110|0111111 0x173F
BX = 111 Event : 16
BX = 000 Event : 17
0x00 0001110|0000000 0x0700
BX = 001 Event : 18
0x00 0001111|0000000 0x0780
0x01 0001111|0000101 0x0785
0x02 0001111|0001010 0x078A
0x03 0001111|0001101 0x078D
0x04 0010010|0000000 0x0900
0x05 0010010|0000101 0x0905
0x06 0010010|0001010 0x090A
0x07 0010010|0001101 0x090D
BX = 010 Event : 19
0x00 0010000|0010010 0x0812
BX = 011 Event : 20
0x00 0001010|0010110 0x0516
0x01 0001010|0011011 0x051B
0x02 0001011|0011011 0x059B
BX = 100 Event : 21
0x00 0010000|0000011 0x0803
0x01 0101111|0000011 0x1783
BX = 101 Event : 22
0x00 0010101|0011110 0x0A9E
0x01 0010101|0011111 0x0A9F
0x02 0010101|0100001 0x0AA1
0x03 0011100|0110101 0x0E35
BX = 110 Event : 23
0x00 0101001|0111010 0x14BA
BX = 111 Event : 24
0x00 0100101|1000111 0x12C7
BX = 000 Event : 25
0x00 0000101|0100110 0x02A6
0x01 0010001|0010000 0x0890
BX = 001 Event : 26
0x00 0000000|0010000 0x0010
0x01 0000001|0010000 0x0090
0x02 0000010|0010000 0x0110
0x03 0000011|0010000 0x0190
0x04 0001100|0100001 0x0621
BX = 010 Event : 27
0x00 0010111|0000000 0x0B80
0x01 0010111|0000001 0x0B81
BX = 011 Event : 28
0x00 0010111|0001001 0x0B89
0x01 0011001|0001001 0x0C89
0x02 0101001|1000100 0x14C4
0x03 0101010|1000100 0x1544
BX = 100 Event : 29
BX = 101 Event : 30
0x00 0000111|0100000 0x03A0
0x01 0001000|0100000 0x0420
0x02 0001010|0100000 0x0520
BX = 110 Event : 31
BX = 111 Event : 32
BX = 000 Event : 33
0x00 0000011|0101010 0x01AA
0x01 0000011|0101100 0x01AC
0x02 0001011|0111011 0x05BB
0x03 0010110|0001110 0x0B0E
0x04 0010111|0001011 0x0B8B
0x05 0010111|0001110 0x0B8E
0x06 0011001|0011111 0x0C9F
0x07 0011001|0100010 0x0CA2
0x08 0011001|0101010 0x0CAA
0x09 0011001|0101100 0x0CAC
0x0a 0011010|0011111 0x0D1F
0x0b 0011010|0100010 0x0D22
0x0c 0011101|0011111 0x0E9F
0x0d 0011101|0100010 0x0EA2
0x0e 0011101|0101010 0x0EAA
0x0f 0011101|0101100 0x0EAC
BX = 001 Event : 34
0x00 0011000|0010001 0x0C11
0x01 0011111|0100001 0x0FA1
0x02 0100000|0100001 0x1021
BX = 010 Event : 35
0x00 0001000|0010110 0x0416
0x01 0010000|0100101 0x0825
