BX = 000 Event : 1
BX = 001 Event : 2
0x00 0011110|0100111 0x0F27
0x01 0100110|0111110 0x133E
BX = 010 Event : 3
0x00 0000010|1100000 0x0160
0x01 0000011|1100001 0x01E1
0x02 0100000|1100001 0x1061
0x03 0110001|1000100 0x18C4
0x04 0110100|1000100 0x1A44
0x05 1001101|1000100 0x26C4
BX = 011 Event : 4
BX = 100 Event : 5
0x00 0010010|0010010 0x0912
BX = 101 Event : 6
0x00 0000011|1011100 0x01DC
0x01 0000011|0010101 0x0195
0x02 0001011|0100000 0x05A0
0x03 0011110|0010101 0x0F15
0x04 0011111|0010101 0x0F95
0x05 0100000|0010101 0x1015
BX = 110 Event : 7
0x00 0000000|0111001 0x0039
0x01 0000000|0111011 0x003B
0x02 0011100|0101010 0x0E2A
0x03 0100000|0111001 0x1039
0x04 0100001|0111001 0x10B9
0x05 0100001|0111011 0x10BB
0x06 0100011|1000111 0x11C7
BX = 111 Event : 8
0x00 0100011|0110000 0x11B0
0x01 0100111|0110101 0x13B5
0x02 0100111|0110111 0x13B7
0x03 0101001|0110101 0x14B5
0x04 0101001|0110111 0x14B7
0x05 0101001|0111100 0x14BC
0x06 0101010|0110101 0x1535
0x07 0101010|0110111 0x1537
0x08 0101010|0111100 0x153C
0x09 1000101|0110101 0x22B5
0x0a 1000101|0110111 0x22B7
0x0b 1000101|0111100 0x22BC
0x0c 1000111|0110101 0x23B5
0x0d 1000111|0110111 0x23B7
BX = 000 Event : 9
0x00 0100100|0101101 0x122D
BX = 001 Event : 10
0x00 0000000|0101111 0x002F
BX = 010 Event : 11
0x00 0000010|1000011 0x0143
0x01 0000011|1000011 0x01C3
0x02 0011110|0000110 0x0F06
BX = 011 Event : 12
0x00 0000001|1000111 0x00C7
0x01 0100011|1000111 0x11C7
0x02 0100100|1000111 0x1247
0x03 0101000|1010101 0x1455
BX = 100 Event : 13
0x00 0010101|0010000 0x0A90
BX = 101 Event : 14
0x00 0000001|1000000 0x00C0
0x01 0000011|1000000 0x01C0
0x02 0100010|0101000 0x1128
0x03 0100010|0101100 0x112C
0x04 0110101|0011010 0x1A9A
0x05 0110101|0011100 0x1A9C
BX = 110 Event : 15
0x00 0000001|1000110 0x00C6
0x01 0001000|1001111 0x044F
0x02 0001010|1001111 0x054F
0x03 0001010|0001111 0x050F
0x04 0011001|1001111 0x0CCF
0x05 0011010|1001111 0x0D4F
0x06 0011010|0001101 0x0D0D
0x07 0011011|1001111 0x0DCF
0x08 0011011|0001101 0x0D8D
BX = 111 Event : 16
0x00 0000000|1000111 0x0047
0x01 0001111|0011111 0x079F
0x02 0011110|0010100 0x0F14
BX = 000 Event : 17
0x00 0000010|1001010 0x014A
0x01 0000010|1001101 0x014D
0x02 0000010|1001111 0x014F
0x03 0011001|0001110 0x0C8E
0x04 0100001|0111011 0x10BB
0x05 0101000|1001010 0x144A
0x06 0101000|1010000 0x1450
0x07 0101000|1010100 0x1454
0x08 0101010|1010000 0x1550
0x09 0101010|1010100 0x1554
0x0a 0101100|1010111 0x1657
BX = 001 Event : 18
0x00 0000101|0001100 0x028C
0x01 0000110|0001100 0x030C
0x02 0000111|0111111 0x03BF
0x03 0000111|1000000 0x03C0
0x04 0000111|1000001 0x03C1
0x05 0011000|0001100 0x0C0C
0x06 0011001|0001100 0x0C8C
0x07 0011001|0111111 0x0CBF
0x08 0011001|1000000 0x0CC0
0x09 0011001|1000001 0x0CC1
BX = 010 Event : 19
0x00 0000001|1010000 0x00D0
0x01 0000010|1010000 0x0150
0x02 0000101|0000011 0x0283
0x03 0000101|0000101 0x0285
0x04 0000101|0000111 0x0287
0x05 0000101|0001000 0x0288
0x06 0001001|0001010 0x048A
0x07 0010110|0001010 0x0B0A
0x08 0011001|0010011 0x0C93
0x09 0011010|0011011 0x0D1B
0x0a 0100111|0110111 0x13B7
BX = 011 Event : 20
BX = 100 Event : 21
0x00 0000000|0110100 0x0034
0x01 0101010|0111100 0x153C
0x02 0101010|0111101 0x153D
BX = 101 Event : 22
BX = 110 Event : 23
0x00 0000000|0110101 0x0035
0x01 0000111|1000101 0x03C5
0x02 0001000|1001010 0x044A
0x03 0001000|1001100 0x044C
0x04 0010111|0001110 0x0B8E
0x05 0011000|0011000 0x0C18
0x06 0100111|0111110 0x13BE
0x07 0100111|1000010 0x13C2
0x08 0101010|1000010 0x1542
0x09 0101010|1000101 0x1545
BX = 111 Event : 24
0x00 0000000|1001000 0x0048
0x01 0000000|1001001 0x0049
0x02 0000001|1001000 0x00C8
0x03 0000001|1001001 0x00C9
0x04 0100101|0110000 0x12B0
0x05 0101101|1001000 0x16C8
0x06 0101101|1001001 0x16C9
BX = 000 Event : 25
0x00 0000001|0100111 0x00A7
0x01 0011001|0001101 0x0C8D
0x02 0101000|0100000 0x1420
0x03 0101110|0100111 0x1727
BX = 001 Event : 26
0x00 0001100|0010000 0x0610
