BX = 000 Event : 1
BX = 001 Event : 2
0x00 0000101|1001011 0x02CB
0x01 0000101|1010011 0x02D3
0x02 0100101|0011111 0x129F
0x03 0100101|0100000 0x12A0
0x04 1000001|1001011 0x20CB
0x05 1000001|1010011 0x20D3
BX = 010 Event : 3
0x00 0000111|1001010 0x03CA
0x01 0001011|1011010 0x05DA
0x02 0010101|0010000 0x0A90
BX = 011 Event : 4
BX = 100 Event : 5
0x00 0000011|0111100 0x01BC
0x01 0000101|0111000 0x02B8
0x02 0000101|0111101 0x02BD
BX = 101 Event : 6
0x00 0000100|1001011 0x024B
0x01 0000110|1001011 0x034B
0x02 0001000|1001011 0x044B
0x03 0001000|1010011 0x0453
0x04 0001010|1010011 0x0553
0x05 0101111|0110001 0x17B1
0x06 1001001|1000010 0x24C2
BX = 110 Event : 7
0x00 0000111|0111111 0x03BF
0x01 0000111|1001001 0x03C9
0x02 0000111|1001100 0x03CC
BX = 111 Event : 8
BX = 000 Event : 9
BX = 001 Event : 10
0x00 0000011|0101100 0x01AC
0x01 0000100|0110100 0x0234
0x02 0011010|0100011 0x0D23
BX = 010 Event : 11
0x00 0001011|1001100 0x05CC
0x01 0001110|1001100 0x074C
BX = 011 Event : 12
0x00 0000010|1001101 0x014D
0x01 0111110|0111111 0x1F3F
BX = 100 Event : 13
0x00 0100010|0100110 0x1126
0x01 0100100|0100110 0x1226
BX = 101 Event : 14
BX = 110 Event : 15
0x00 0000011|1000011 0x01C3
BX = 111 Event : 16
BX = 000 Event : 17
BX = 001 Event : 18
BX = 010 Event : 19
0x00 0000010|1000111 0x0147
0x01 0000010|1001100 0x014C
BX = 011 Event : 20
0x00 0100101|0011010 0x129A
BX = 100 Event : 21
0x00 0000111|0001110 0x038E
0x01 0001100|0001110 0x060E
0x02 0001111|0010100 0x0794
0x03 0100100|0100010 0x1222
0x04 0100101|0100010 0x12A2
0x05 0111110|0110000 0x1F30
BX = 101 Event : 22
BX = 110 Event : 23
0x00 0000100|1000110 0x0246
0x01 0100100|0100011 0x1223
0x02 0100100|0100101 0x1225
BX = 111 Event : 24
0x00 0000001|1000000 0x00C0
0x01 0000111|1010011 0x03D3
BX = 000 Event : 25
0x00 0010111|0010010 0x0B92
0x01 0010111|0010011 0x0B93
BX = 001 Event : 26
0x00 0000000|1000110 0x0046
0x01 0101100|0101000 0x1628
0x02 0101111|0101000 0x17A8
0x03 1001101|1000011 0x26C3
0x04 1001110|1000110 0x2746
0x05 1010011|1000110 0x29C6
BX = 010 Event : 27
0x00 0000001|0111001 0x00B9
BX = 011 Event : 28
0x00 0011000|0010011 0x0C13
0x01 0110010|0111000 0x1938
BX = 100 Event : 29
BX = 101 Event : 30
0x00 0000010|1010110 0x0156
0x01 0000101|1101011 0x02EB
0x02 0000101|1101100 0x02EC
0x03 0001000|1101011 0x046B
0x04 0001000|1101100 0x046C
BX = 110 Event : 31
0x00 0001011|0110100 0x05B4
BX = 111 Event : 32
0x00 0001011|1001100 0x05CC
0x01 0001011|1001110 0x05CE
BX = 000 Event : 33
BX = 001 Event : 34
0x00 0000000|1001111 0x004F
0x01 0000100|1001111 0x024F
0x02 0001001|1101000 0x04E8
0x03 0010110|0101001 0x0B29
0x04 0100110|0101110 0x132E
BX = 010 Event : 35
0x00 0110100|0110111 0x1A37
0x01 0110101|0110111 0x1AB7
BX = 011 Event : 36
0x00 0000110|1010000 0x0350
BX = 100 Event : 37
0x00 0000110|1011001 0x0359
0x01 0001001|1011001 0x04D9
0x02 0001010|1010000 0x0550
0x03 0001010|1011001 0x0559
0x04 0110000|0111010 0x183A
BX = 101 Event : 38
0x00 0000011|0111000 0x01B8
0x01 0000011|0111010 0x01BA
0x02 0000011|0111011 0x01BB
BX = 110 Event : 39
0x00 0001010|0000101 0x0505
BX = 111 Event : 40
0x00 0001001|0010000 0x0490
0x01 0001011|0010000 0x0590
0x02 0001100|0010000 0x0610
BX = 000 Event : 41
0x00 0000001|0111100 0x00BC
0x01 0000001|0111111 0x00BF
0x02 0000011|0111100 0x01BC
0x03 0000011|0111111 0x01BF
0x04 0010111|0010001 0x0B91
BX = 001 Event : 42
0x00 0000010|0111110 0x013E
0x01 0000010|0111111 0x013F
0x02 0011011|0011101 0x0D9D
0x03 0011101|0011101 0x0E9D
BX = 010 Event : 43
BX = 011 Event : 44
BX = 100 Event : 45
0x00 0000001|0110001 0x00B1
0x01 0000001|0110011 0x00B3
0x02 0000001|0110100 0x00B4
0x03 0010100|0010010 0x0A12
0x04 0010110|0010010 0x0B12
BX = 101 Event : 46
0x00 0001101|1011111 0x06DF
0x01 0001111|1011111 0x07DF
0x02 0010000|1011111 0x085F
0x03 1001000|1010000 0x2450
BX = 110 Event : 47
BX = 111 Event : 48
0x00 0010101|0001000 0x0A88
0x01 0100111|0011001 0x1399
0x02 0100111|0011010 0x139A
BX = 000 Event : 49
0x00 0010000|1010000 0x0850
0x01 0110001|0110010 0x18B2
BX = 001 Event : 50
0x00 0000000|0111000 0x0038
BX = 010 Event : 51
0x00 0000110|0001111 0x030F
BX = 011 Event : 52
0x00 0111100|0110100 0x1E34
0x01 0111110|0110100 0x1F34
BX = 100 Event : 53
0x00 0000110|0000111 0x0307
0x01 0000110|0001100 0x030C
0x02 0001000|0001100 0x040C
0x03 0001001|0001100 0x048C
BX = 101 Event : 54
0x00 0000100|0101010 0x022A
0x01 0000111|0101010 0x03AA
BX = 110 Event : 55
BX = 111 Event : 56
0x00 0000000|0101101 0x002D
0x01 0000000|0101110 0x002E
0x02 0001000|0111001 0x0439
BX = 000 Event : 57
0x00 1001010|0110110 0x2536
0x01 1001010|0110111 0x2537
BX = 001 Event : 58
BX = 010 Event : 59
0x00 0001010|0001010 0x050A
0x01 0010001|0001010 0x088A
BX = 011 Event : 60
0x00 0001000|1000110 0x0446
0x01 0001000|1000111 0x0447
0x02 0001000|1001000 0x0448
0x03 0001010|1000111 0x0547
0x04 0001010|1001000 0x0548
0x05 0010110|0010100 0x0B14
0x06 0010111|0010100 0x0B94
0x07 0011010|0010100 0x0D14
BX = 100 Event : 61
0x00 0000100|1010000 0x0250
0x01 0000100|1011000 0x0258
0x02 0010101|0011010 0x0A9A
BX = 101 Event : 62
0x00 0010000|0010011 0x0813
0x01 0010110|0010011 0x0B13
0x02 0011010|0010011 0x0D13
0x03 0011011|0010011 0x0D93
0x04 0100101|0110000 0x12B0
BX = 110 Event : 63
0x00 0001000|0110100 0x0434
0x01 0001000|0110101 0x0435
0x02 0001010|0110100 0x0534
0x03 0001010|0110101 0x0535
0x04 0001111|0110100 0x07B4
0x05 0001111|0110101 0x07B5
BX = 111 Event : 64
0x00 0101010|0101111 0x152F
0x01 0101010|0110010 0x1532
BX = 000 Event : 65
0x00 0000101|1011100 0x02DC
BX = 001 Event : 66
0x00 0000100|1001111 0x024F
0x01 0000101|1001111 0x02CF
0x02 0001010|0001110 0x050E
BX = 010 Event : 67
0x00 0000011|1010101 0x01D5
0x01 0010000|0010010 0x0812
0x02 0010000|0010111 0x0817
0x03 0010111|0100010 0x0BA2
BX = 011 Event : 68
BX = 100 Event : 69
0x00 0010111|0011010 0x0B9A
0x01 0011000|0011010 0x0C1A
BX = 101 Event : 70
BX = 110 Event : 71
0x00 0000001|0110101 0x00B5
0x01 0000001|0110111 0x00B7
0x02 0000010|0110101 0x0135
0x03 0000010|0110111 0x0137
BX = 111 Event : 72
0x00 0000010|0111110 0x013E
BX = 000 Event : 73
0x00 0000100|1100000 0x0260
0x01 0000100|1100001 0x0261
0x02 0001011|1100000 0x05E0
0x03 0001011|1100001 0x05E1
0x04 0001100|1100000 0x0660
0x05 0001100|1100001 0x0661
0x06 0001110|0001111 0x070F
0x07 0001111|0001111 0x078F
0x08 0010010|0001111 0x090F
BX = 001 Event : 74
0x00 0000001|0100111 0x00A7
0x01 0000111|0101011 0x03AB
BX = 010 Event : 75
0x00 0010100|0001110 0x0A0E
0x01 0011101|0010111 0x0E97
0x02 0011101|0011011 0x0E9B
0x03 0011110|0010111 0x0F17
0x04 0011110|0011011 0x0F1B
0x05 0100000|0010111 0x1017
0x06 0100000|0011011 0x101B
0x07 0100001|0010111 0x1097
0x08 0100001|0011011 0x109B
BX = 011 Event : 76
BX = 100 Event : 77
0x00 0000000|0111110 0x003E
0x01 0000000|0111111 0x003F
0x02 0000111|1001010 0x03CA
0x03 0001100|0001011 0x060B
0x04 0011001|0101000 0x0CA8
0x05 0011010|0101000 0x0D28
BX = 101 Event : 78
0x00 0000000|0111111 0x003F
0x01 0001010|1000001 0x0541
0x02 0001010|1000010 0x0542
BX = 110 Event : 79
0x00 0001001|0000111 0x0487
0x01 0010100|0011000 0x0A18
0x02 0100011|0111000 0x11B8
0x03 0100011|0111001 0x11B9
BX = 111 Event : 80
0x00 0010100|0100100 0x0A24
0x01 0101001|0110100 0x14B4
BX = 000 Event : 81
0x00 0000010|0110001 0x0131
0x01 0101100|0100011 0x1623
BX = 001 Event : 82
0x00 0001110|0001101 0x070D
BX = 010 Event : 83
0x00 0000010|0101000 0x0128
BX = 011 Event : 84
0x00 0010011|0001110 0x098E
0x01 1000010|1001011 0x214B
BX = 100 Event : 85
0x00 0001110|0010111 0x0717
0x01 0001111|0010111 0x0797
0x02 0010101|0010111 0x0A97
0x03 0100110|0101010 0x132A
0x04 0101100|0101010 0x162A
0x05 0101100|0101100 0x162C
0x06 1000011|0111011 0x21BB
0x07 1011000|1001000 0x2C48
BX = 101 Event : 86
0x00 0010100|0010111 0x0A17
0x01 0011011|0011011 0x0D9B
BX = 110 Event : 87
0x00 0011000|0010110 0x0C16
BX = 111 Event : 88
0x00 0001110|0001111 0x070F
BX = 000 Event : 89
0x00 0000111|1000010 0x03C2
0x01 0010110|0011101 0x0B1D
0x02 0010110|0011110 0x0B1E
BX = 001 Event : 90
BX = 010 Event : 91
0x00 0001101|1001110 0x06CE
0x01 0001111|1001110 0x07CE
0x02 0011101|0100110 0x0EA6
BX = 011 Event : 92
0x00 0001100|0010000 0x0610
0x01 0001111|0010110 0x0796
BX = 100 Event : 93
