BX = 000 Event : 1
0x00 0100010|0011011 0x111B
0x01 0101101|0100100 0x16A4
BX = 001 Event : 2
0x00 0001111|0000110 0x0786
0x01 0001111|0001000 0x0788
0x02 0001111|0001001 0x0789
0x03 0010000|0000110 0x0806
0x04 0010000|0001000 0x0808
0x05 0010000|0001001 0x0809
0x06 0100011|0011001 0x1199
0x07 0100011|0011100 0x119C
0x08 0100011|0011101 0x119D
0x09 0100011|0011110 0x119E
BX = 010 Event : 3
0x00 0100000|0100001 0x1021
BX = 011 Event : 4
0x00 0000001|0111011 0x00BB
0x01 0100011|0101101 0x11AD
0x02 0101000|0110011 0x1433
BX = 100 Event : 5
BX = 101 Event : 6
0x00 0001100|1010110 0x0656
0x01 0011010|0011111 0x0D1F
BX = 110 Event : 7
0x00 0000011|1000101 0x01C5
0x01 0010011|0001011 0x098B
BX = 111 Event : 8
0x00 0000101|1000010 0x02C2
0x01 0000101|1001010 0x02CA
0x02 0100111|0100100 0x13A4
0x03 0100111|0101000 0x13A8
0x04 0101000|0100101 0x1425
0x05 0101001|0100101 0x14A5
BX = 000 Event : 9
0x00 0001001|1000100 0x04C4
BX = 001 Event : 10
0x00 0011101|0101000 0x0EA8
0x01 0100000|0101000 0x1028
BX = 010 Event : 11
0x00 0000011|1000001 0x01C1
0x01 0000011|1000100 0x01C4
0x02 0000101|1000001 0x02C1
0x03 0000101|1000100 0x02C4
0x04 0000110|1000001 0x0341
0x05 0000110|1000100 0x0344
0x06 0000111|1000001 0x03C1
0x07 0000111|1000100 0x03C4
0x08 0001101|1000001 0x06C1
0x09 0001101|1000100 0x06C4
BX = 011 Event : 12
0x00 0000011|1001000 0x01C8
0x01 0000100|1001000 0x0248
0x02 0001101|1011001 0x06D9
0x03 0001101|1011010 0x06DA
0x04 0001110|1011010 0x075A
0x05 0100110|0101111 0x132F
BX = 100 Event : 13
BX = 101 Event : 14
0x00 0000010|0110100 0x0134
0x01 0000011|0110100 0x01B4
0x02 0000100|0110100 0x0234
BX = 110 Event : 15
BX = 111 Event : 16
0x00 0101001|0111001 0x14B9
BX = 000 Event : 17
0x00 0011111|0100110 0x0FA6
0x01 0011111|0100111 0x0FA7
0x02 0100000|0100111 0x1027
BX = 001 Event : 18
BX = 010 Event : 19
BX = 011 Event : 20
BX = 100 Event : 21
0x00 0111011|0101110 0x1DAE
BX = 101 Event : 22
0x00 0000010|0110001 0x0131
0x01 0000010|0111000 0x0138
BX = 110 Event : 23
0x00 0000000|0110111 0x0037
0x01 0000000|0111111 0x003F
0x02 0010001|0010101 0x0895
0x03 0010001|0010111 0x0897
0x04 0010010|0010101 0x0915
0x05 0010010|0010111 0x0917
0x06 0100110|0100110 0x1326
0x07 0101100|0110111 0x1637
BX = 111 Event : 24
0x00 0000010|1000100 0x0144
0x01 0001010|1010110 0x0556
0x02 0001011|1010110 0x05D6
0x03 0010001|0011000 0x0898
BX = 000 Event : 25
BX = 001 Event : 26
0x00 0001001|1010000 0x04D0
0x01 0001010|1010000 0x0550
0x02 0001100|1010000 0x0650
0x03 0100011|0100011 0x11A3
0x04 0100011|0100101 0x11A5
0x05 0100100|0100011 0x1223
0x06 0100100|0100101 0x1225
0x07 1000111|0111111 0x23BF
BX = 010 Event : 27
0x00 0000100|0110111 0x0237
BX = 011 Event : 28
0x00 0000100|1000011 0x0243
0x01 0000100|1001000 0x0248
0x02 0110110|1000000 0x1B40
BX = 100 Event : 29
0x00 0001101|0010100 0x0694
0x01 0100101|0111001 0x12B9
BX = 101 Event : 30
0x00 0010011|0011101 0x099D
BX = 110 Event : 31
0x00 0011110|0011000 0x0F18
BX = 111 Event : 32
0x00 0000010|1000101 0x0145
0x01 0000101|1000101 0x02C5
0x02 0001101|1010011 0x06D3
0x03 0010100|1010011 0x0A53
0x04 0010111|0010010 0x0B92
0x05 0010111|1011010 0x0BDA
0x06 0011001|0010010 0x0C92
0x07 0110010|0101000 0x1928
0x08 0110010|0110000 0x1930
0x09 0111111|1000011 0x1FC3
0x0a 0111111|1000101 0x1FC5
BX = 000 Event : 33
0x00 0010010|0001100 0x090C
0x01 0100100|0011001 0x1219
BX = 001 Event : 34
0x00 0011000|0101011 0x0C2B
0x01 0011100|0101011 0x0E2B
BX = 010 Event : 35
0x00 0000000|0110101 0x0035
0x01 0000000|0111101 0x003D
0x02 0010000|0011101 0x081D
0x03 0010010|0011101 0x091D
0x04 0010010|0011111 0x091F
0x05 0111001|0111101 0x1CBD
BX = 011 Event : 36
0x00 0000100|1001011 0x024B
0x01 0000100|1001101 0x024D
0x02 0000100|1001111 0x024F
0x03 0000101|1001011 0x02CB
0x04 0000101|1001101 0x02CD
0x05 0000101|1001111 0x02CF
BX = 100 Event : 37
0x00 0110011|0111100 0x19BC
BX = 101 Event : 38
0x00 0001100|0111111 0x063F
0x01 0001100|0001100 0x060C
0x02 0101010|0101000 0x1528
BX = 110 Event : 39
