BX = 000 Event : 1
0x00 0110111|0111000 0x1BB8
BX = 001 Event : 2
0x00 0011100|0101010 0x0E2A
0x01 0111000|1001011 0x1C4B
0x02 0111000|1001100 0x1C4C
0x03 0111100|1010001 0x1E51
0x04 0111101|1010001 0x1ED1
BX = 010 Event : 3
BX = 011 Event : 4
BX = 100 Event : 5
BX = 101 Event : 6
0x00 1010110|1000101 0x2B45
BX = 110 Event : 7
BX = 111 Event : 8
0x00 0100000|0011011 0x101B
0x01 0100001|0011011 0x109B
BX = 000 Event : 9
BX = 001 Event : 10
0x00 1000100|0110100 0x2234
BX = 010 Event : 11
0x00 0101100|1000000 0x1640
0x01 0101101|1000000 0x16C0
BX = 011 Event : 12
0x00 0111111|0110011 0x1FB3
0x01 0111111|0110100 0x1FB4
0x02 0111111|0110101 0x1FB5
BX = 100 Event : 13
BX = 101 Event : 14
BX = 110 Event : 15
0x00 0100001|0010001 0x1091
0x01 0111000|0110110 0x1C36
BX = 111 Event : 16
0x00 0111110|0111110 0x1F3E
BX = 000 Event : 17
BX = 001 Event : 18
BX = 010 Event : 19
0x00 1001100|0111000 0x2638
BX = 011 Event : 20
BX = 100 Event : 21
0x00 0111011|0100011 0x1DA3
BX = 101 Event : 22
0x00 0111011|0101010 0x1DAA
0x01 0111011|0101011 0x1DAB
0x02 0111011|0101100 0x1DAC
0x03 0111100|0101001 0x1E29
0x04 0111100|0101010 0x1E2A
0x05 0111100|0101011 0x1E2B
0x06 0111100|0101100 0x1E2C
0x07 0111110|0101010 0x1F2A
0x08 0111110|0101011 0x1F2B
0x09 0111110|0101100 0x1F2C
0x0a 1000000|0101011 0x202B
0x0b 1000001|0101001 0x20A9
0x0c 1000001|0101010 0x20AA
0x0d 1000001|0101011 0x20AB
0x0e 1000001|0101100 0x20AC
BX = 110 Event : 23
0x00 1000011|0110110 0x21B6
0x01 1000100|0110110 0x2236
BX = 111 Event : 24
BX = 000 Event : 25
BX = 001 Event : 26
BX = 010 Event : 27
0x00 0100101|0100000 0x12A0
BX = 011 Event : 28
BX = 100 Event : 29
0x00 0010100|0001010 0x0A0A
0x01 0101001|0011011 0x149B
0x02 0101001|0100000 0x14A0
0x03 0101001|0100001 0x14A1
BX = 101 Event : 30
0x00 0100011|0100001 0x11A1
0x01 0100011|0100010 0x11A2
0x02 0100100|0100010 0x1222
0x03 0100111|0100010 0x13A2
BX = 110 Event : 31
0x00 0011111|0011010 0x0F9A
BX = 111 Event : 32
BX = 000 Event : 33
BX = 001 Event : 34
0x00 1010001|0111100 0x28BC
0x01 1010010|0111100 0x293C
BX = 010 Event : 35
0x00 0100000|0011000 0x1018
0x01 0100000|0011010 0x101A
0x02 0111011|0101011 0x1DAB
BX = 011 Event : 36
0x00 0011000|0011010 0x0C1A
0x01 0011001|0011010 0x0C9A
0x02 0011010|0011010 0x0D1A
0x03 0111000|0111010 0x1C3A
0x04 0111001|0111110 0x1CBE
0x05 0111010|0111101 0x1D3D
0x06 0111010|0111110 0x1D3E
0x07 0111010|1000000 0x1D40
BX = 100 Event : 37
0x00 1011010|0111000 0x2D38
0x01 1100010|0111110 0x313E
BX = 101 Event : 38
BX = 110 Event : 39
BX = 111 Event : 40
BX = 000 Event : 41
0x00 0110110|0100100 0x1B24
0x01 0110111|0100100 0x1BA4
0x02 0111010|0100100 0x1D24
0x03 0111101|0101111 0x1EAF
0x04 0111111|0101111 0x1FAF
BX = 001 Event : 42
BX = 010 Event : 43
0x00 0011010|0001111 0x0D0F
0x01 0011011|0001111 0x0D8F
0x02 0011011|0010000 0x0D90
0x03 0011100|0001111 0x0E0F
0x04 0011100|0010000 0x0E10
BX = 011 Event : 44
BX = 100 Event : 45
BX = 101 Event : 46
0x00 1010000|1000100 0x2844
0x01 1010001|1000100 0x28C4
0x02 1010010|1000100 0x2944
BX = 110 Event : 47
BX = 111 Event : 48
BX = 000 Event : 49
0x00 0110011|0010111 0x1997
0x01 0110100|0010111 0x1A17
0x02 0110110|0011000 0x1B18
0x03 0110110|0011011 0x1B1B
0x04 1000101|0101010 0x22AA
0x05 1000110|0101010 0x232A
BX = 001 Event : 50
0x00 0011100|0011101 0x0E1D
BX = 010 Event : 51
BX = 011 Event : 52
0x00 0101110|0110011 0x1733
0x01 1000000|1001010 0x204A
BX = 100 Event : 53
BX = 101 Event : 54
0x00 0011111|0011101 0x0F9D
0x01 0100000|0011101 0x101D
0x02 0100000|0011110 0x101E
0x03 0100110|0100100 0x1324
0x04 0101000|0100100 0x1424
BX = 110 Event : 55
0x00 0100100|0011010 0x121A
0x01 0100100|0011011 0x121B
0x02 0100101|0011001 0x1299
0x03 0101001|0100011 0x14A3
0x04 0111011|0101110 0x1DAE
BX = 111 Event : 56
BX = 000 Event : 57
0x00 0101110|0110000 0x1730
0x01 0101111|0110100 0x17B4
BX = 001 Event : 58
0x00 0011100|0011110 0x0E1E
0x01 0011110|0100000 0x0F20
BX = 010 Event : 59
BX = 011 Event : 60
0x00 0100001|0011111 0x109F
0x01 0110100|0110100 0x1A34
0x02 0111101|0110111 0x1EB7
BX = 100 Event : 61
0x00 0110101|1000000 0x1AC0
0x01 0110101|1000001 0x1AC1
0x02 0111000|1000001 0x1C41
0x03 0111000|1000010 0x1C42
0x04 0111001|1000010 0x1CC2
0x05 0111011|1000010 0x1DC2
BX = 101 Event : 62
BX = 110 Event : 63
0x00 0111001|1000000 0x1CC0
BX = 111 Event : 64
0x00 0110011|0100110 0x19A6
0x01 0110011|0100111 0x19A7
0x02 0111111|0101100 0x1FAC
BX = 000 Event : 65
0x00 0100111|0100100 0x13A4
0x01 0101000|0100100 0x1424
BX = 001 Event : 66
BX = 010 Event : 67
0x00 1001000|0101000 0x2428
BX = 011 Event : 68
0x00 0111001|0100010 0x1CA2
0x01 0111001|0100011 0x1CA3
BX = 100 Event : 69
0x00 0100000|0011110 0x101E
0x01 0100000|0011111 0x101F
0x02 0100000|0100000 0x1020
BX = 101 Event : 70
0x00 0110011|0100110 0x19A6
BX = 110 Event : 71
0x00 0100010|0111010 0x113A
BX = 111 Event : 72
BX = 000 Event : 73
BX = 001 Event : 74
0x00 0011110|0011001 0x0F19
BX = 010 Event : 75
0x00 0011001|0111000 0x0CB8
BX = 011 Event : 76
0x00 0011000|0011011 0x0C1B
0x01 0011001|0100110 0x0CA6
0x02 0011100|0100110 0x0E26
0x03 0011101|0100111 0x0EA7
0x04 0011101|0101001 0x0EA9
0x05 0011101|0101010 0x0EAA
BX = 100 Event : 77
BX = 101 Event : 78
BX = 110 Event : 79
BX = 111 Event : 80
0x00 0111111|0101001 0x1FA9
0x01 0111111|0101010 0x1FAA
BX = 000 Event : 81
0x00 0011100|0010111 0x0E17
0x01 0011100|0011001 0x0E19
BX = 001 Event : 82
BX = 010 Event : 83
BX = 011 Event : 84
BX = 100 Event : 85
BX = 101 Event : 86
BX = 110 Event : 87
0x00 0101110|0110000 0x1730
BX = 111 Event : 88
BX = 000 Event : 89
0x00 0011101|0010011 0x0E93
0x01 0011110|0010011 0x0F13
BX = 001 Event : 90
BX = 010 Event : 91
BX = 011 Event : 92
BX = 100 Event : 93
BX = 101 Event : 94
BX = 110 Event : 95
0x00 0100000|0100011 0x1023
BX = 111 Event : 96
BX = 000 Event : 97
BX = 001 Event : 98
0x00 1010100|0111010 0x2A3A
BX = 010 Event : 99
0x00 0011100|0011000 0x0E18
BX = 011 Event : 100
0x00 0100111|0010111 0x1397
0x01 0101010|0011001 0x1519
0x02 0101010|0011010 0x151A
