BX = 000 Event : 1
0x00 0010101|0011101 0x0A9D
0x01 0010101|0011111 0x0A9F
0x02 0010111|0011101 0x0B9D
0x03 0011111|0011000 0x0F98
0x04 0011111|0011100 0x0F9C
0x05 0100001|0011000 0x1098
0x06 0100001|0011100 0x109C
0x07 0100011|0011000 0x1198
0x08 0100011|0011100 0x119C
0x09 0100100|0011000 0x1218
0x0a 0100100|0011100 0x121C
BX = 001 Event : 2
BX = 010 Event : 3
0x00 0100000|0011010 0x101A
0x01 0100000|0100011 0x1023
BX = 011 Event : 4
0x00 0011000|0011011 0x0C1B
0x01 0011001|0011011 0x0C9B
0x02 0011101|0011011 0x0E9B
BX = 100 Event : 5
0x00 0100110|0011101 0x131D
0x01 0100111|0011101 0x139D
BX = 101 Event : 6
0x00 0111010|0100000 0x1D20
0x01 0111100|0011100 0x1E1C
0x02 1000101|0011010 0x229A
0x03 1000110|0011010 0x231A
0x04 1010100|1001110 0x2A4E
0x05 1010101|1001110 0x2ACE
BX = 110 Event : 7
BX = 111 Event : 8
0x00 0101101|0100110 0x16A6
BX = 000 Event : 9
BX = 001 Event : 10
0x00 0100101|0011110 0x129E
BX = 010 Event : 11
0x00 0100101|0110111 0x12B7
BX = 011 Event : 12
0x00 1000001|0101010 0x20AA
0x01 1000100|1010001 0x2251
BX = 100 Event : 13
0x00 0100111|0100110 0x13A6
0x01 0101000|0101010 0x142A
BX = 101 Event : 14
0x00 0101100|0100001 0x1621
0x01 0101100|0100010 0x1622
0x02 0101101|0100001 0x16A1
0x03 0101101|0100010 0x16A2
0x04 0110001|0010101 0x1895
0x05 0110001|0011101 0x189D
BX = 110 Event : 15
0x00 0011110|0011011 0x0F1B
0x01 0100011|0111000 0x11B8
0x02 0100100|0111000 0x1238
0x03 0100100|0111101 0x123D
BX = 111 Event : 16
0x00 0100100|0100011 0x1223
0x01 0100100|0101001 0x1229
BX = 000 Event : 17
0x00 0100010|0011010 0x111A
0x01 0101000|0010110 0x1416
0x02 0101001|0010110 0x1496
BX = 001 Event : 18
BX = 010 Event : 19
0x00 0110111|1001100 0x1BCC
0x01 0111000|1001100 0x1C4C
BX = 011 Event : 20
0x00 0100001|0010001 0x1091
0x01 0100001|0010101 0x1095
BX = 100 Event : 21
0x00 0101000|0010010 0x1412
0x01 0110101|0101011 0x1AAB
0x02 0110110|0110000 0x1B30
0x03 0111001|0110101 0x1CB5
0x04 0111011|0110111 0x1DB7
BX = 101 Event : 22
BX = 110 Event : 23
BX = 111 Event : 24
BX = 000 Event : 25
BX = 001 Event : 26
0x00 0110100|0110101 0x1A35
BX = 010 Event : 27
0x00 0100000|0100000 0x1020
0x01 0101000|0111010 0x143A
0x02 0101001|0111010 0x14BA
BX = 011 Event : 28
0x00 0111001|0011111 0x1C9F
BX = 100 Event : 29
BX = 101 Event : 30
0x00 0100010|0100000 0x1120
0x01 0100011|0100000 0x11A0
BX = 110 Event : 31
0x00 0101011|0110011 0x15B3
BX = 111 Event : 32
0x00 0110110|0011001 0x1B19
0x01 1000001|0110111 0x20B7
0x02 1000101|0110111 0x22B7
BX = 000 Event : 33
BX = 001 Event : 34
BX = 010 Event : 35
0x00 0100001|0011001 0x1099
BX = 011 Event : 36
0x00 0101011|0100111 0x15A7
0x01 0101100|0100111 0x1627
0x02 0101111|0100001 0x17A1
0x03 0101111|0100101 0x17A5
BX = 100 Event : 37
0x00 0111101|1010110 0x1ED6
0x01 0111110|1010110 0x1F56
