BX = 000 Event : 1
0x00 1000001|0010100 0x2094
BX = 001 Event : 2
0x00 1000111|0000001 0x2381
BX = 010 Event : 3
BX = 011 Event : 4
BX = 100 Event : 5
0x00 0001000|0000111 0x0407
BX = 101 Event : 6
BX = 110 Event : 7
BX = 111 Event : 8
BX = 000 Event : 9
0x00 0100010|0010100 0x1114
0x01 0100010|0011010 0x111A
0x02 0100010|0011011 0x111B
BX = 001 Event : 10
0x00 0100101|0000011 0x1283
0x01 0100110|0000011 0x1303
0x02 0101001|0101000 0x14A8
0x03 0101001|0101010 0x14AA
0x04 1001001|0101000 0x24A8
0x05 1001001|0101010 0x24AA
BX = 010 Event : 11
0x00 0100111|0000100 0x1384
0x01 0101000|0000100 0x1404
0x02 0111000|0000010 0x1C02
BX = 011 Event : 12
0x00 0100010|0100011 0x1123
0x01 1000000|0100011 0x2023
BX = 100 Event : 13
BX = 101 Event : 14
BX = 110 Event : 15
BX = 111 Event : 16
BX = 000 Event : 17
0x00 0010110|0000100 0x0B04
BX = 001 Event : 18
0x00 0010101|0011111 0x0A9F
BX = 010 Event : 19
BX = 011 Event : 20
BX = 100 Event : 21
0x00 0100000|0000000 0x1000
0x01 0100000|0000001 0x1001
BX = 101 Event : 22
0x00 0100110|0000000 0x1300
0x01 0100110|0000010 0x1302
BX = 110 Event : 23
0x00 0100000|0000010 0x1002
BX = 111 Event : 24
0x00 0101110|0101011 0x172B
0x01 0110000|0101011 0x182B
0x02 0110001|0101011 0x18AB
BX = 000 Event : 25
0x00 0010010|0000100 0x0904
0x01 0011101|0010101 0x0E95
BX = 001 Event : 26
0x00 0100101|0000010 0x1282
0x01 0101010|0000110 0x1506
BX = 010 Event : 27
0x00 0101111|0000000 0x1780
0x01 0110000|0000000 0x1800
0x02 0110001|0000000 0x1880
0x03 0110010|0000000 0x1900
0x04 1000110|0100111 0x2327
BX = 011 Event : 28
BX = 100 Event : 29
0x00 0010100|0000000 0x0A00
0x01 0010101|0000000 0x0A80
BX = 101 Event : 30
0x00 0101011|0000001 0x1581
0x01 0101111|0000110 0x1786
0x02 0111010|0101010 0x1D2A
0x03 0111100|0101010 0x1E2A
BX = 110 Event : 31
BX = 111 Event : 32
BX = 000 Event : 33
0x00 0011011|0000011 0x0D83
BX = 001 Event : 34
BX = 010 Event : 35
0x00 0100001|0100010 0x10A2
0x01 0100111|0000001 0x1381
BX = 011 Event : 36
0x00 0100111|0011000 0x1398
0x01 0101000|0011000 0x1418
0x02 0101001|0011000 0x1498
0x03 0101010|0011000 0x1518
0x04 0101011|0011000 0x1598
0x05 1000010|0010110 0x2116
0x06 1000011|0010110 0x2196
BX = 100 Event : 37
0x00 0011000|0000110 0x0C06
0x01 0011010|0000110 0x0D06
BX = 101 Event : 38
0x00 1000011|0100111 0x21A7
0x01 1000100|0100111 0x2227
0x02 1001000|0000000 0x2400
BX = 110 Event : 39
0x00 0011111|0000000 0x0F80
0x01 0100011|0000000 0x1180
BX = 111 Event : 40
BX = 000 Event : 41
BX = 001 Event : 42
0x00 0100011|0000001 0x1181
BX = 010 Event : 43
BX = 011 Event : 44
BX = 100 Event : 45
0x00 0100111|0000100 0x1384
0x01 0100111|0000101 0x1385
0x02 0110111|0010000 0x1B90
BX = 101 Event : 46
BX = 110 Event : 47
0x00 0011010|0001001 0x0D09
BX = 111 Event : 48
0x00 0101011|0010100 0x1594
BX = 000 Event : 49
BX = 001 Event : 50
BX = 010 Event : 51
BX = 011 Event : 52
BX = 100 Event : 53
0x00 0011100|0001000 0x0E08
BX = 101 Event : 54
BX = 110 Event : 55
0x00 0011010|0001110 0x0D0E
0x01 0011011|0001110 0x0D8E
0x02 0110000|0110010 0x1832
0x03 0110011|0110010 0x19B2
BX = 111 Event : 56
BX = 000 Event : 57
0x00 0100010|0100010 0x1122
0x01 0100010|0100011 0x1123
0x02 0100010|0100101 0x1125
0x03 0100011|0100010 0x11A2
0x04 0100011|0100011 0x11A3
0x05 0100011|0100101 0x11A5
0x06 0100100|0100001 0x1221
0x07 0100100|0100010 0x1222
0x08 0100100|0100100 0x1224
0x09 0100100|0100101 0x1225
0x0a 0100100|0100110 0x1226
0x0b 0100100|0100111 0x1227
0x0c 0100100|0101010 0x122A
0x0d 0100101|0100001 0x12A1
0x0e 0100101|0100010 0x12A2
0x0f 0100101|0100100 0x12A4
0x10 0100101|0100101 0x12A5
0x11 0100101|0100110 0x12A6
0x12 0100101|0100111 0x12A7
0x13 0100101|0101010 0x12AA
0x14 0101001|0000000 0x1480
0x15 0101010|0000000 0x1500
0x16 0110101|0011111 0x1A9F
0x17 0110110|0011111 0x1B1F
0x18 0110111|0100000 0x1BA0
0x19 0111001|0100000 0x1CA0
0x1a 0111010|0100000 0x1D20
BX = 001 Event : 58
0x00 0011110|0000010 0x0F02
0x01 0111010|0011011 0x1D1B
BX = 010 Event : 59
BX = 011 Event : 60
BX = 100 Event : 61
BX = 101 Event : 62
0x00 0001100|0001010 0x060A
0x01 0001110|0001011 0x070B
BX = 110 Event : 63
BX = 111 Event : 64
BX = 000 Event : 65
BX = 001 Event : 66
0x00 0011101|0100110 0x0EA6
BX = 010 Event : 67
BX = 011 Event : 68
BX = 100 Event : 69
0x00 0100111|0100010 0x13A2
0x01 0101011|0000000 0x1580
BX = 101 Event : 70
BX = 110 Event : 71
BX = 111 Event : 72
BX = 000 Event : 73
BX = 001 Event : 74
0x00 0100011|0000001 0x1181
0x01 0100110|0000001 0x1301
BX = 010 Event : 75
BX = 011 Event : 76
0x00 0010011|0000011 0x0983
0x01 0110110|0000010 0x1B02
0x02 0111000|0000010 0x1C02
BX = 100 Event : 77
BX = 101 Event : 78
BX = 110 Event : 79
BX = 111 Event : 80
0x00 0100011|0101001 0x11A9
BX = 000 Event : 81
