BX = 000 Event : 1
0 0 0010001|0001|010 0x088A
0 1 0010011|0001|001 0x0989
0 2 0010111|0010|011 0x0B93
3 0 0000001|1010|101 0x00D5
3 1 0000010|1000|101 0x0145
3 2 0000011|1010|101 0x01D5
8 0 0100101|0100|100 0x12A4
8 1 0101010|0001|100 0x150C
8 2 0101011|0110|101 0x15B5
8 3 0101110|0101|100 0x172C
8 4 0110001|0010|100 0x1894
a 0 1000000|0010|101 0x2015
a 1 1000100|0011|101 0x221D
BX = 001 Event : 2
0 0 0000111|0100|011 0x03A3
0 1 0001000|0000|010 0x0402
0 2 0001001|0000|010 0x0482
0 3 0001010|0001|010 0x050A
0 4 0001100|0000|001 0x0601
0 5 0001110|0001|110 0x070E
0 6 0011001|0001|110 0x0C8E
1 0 0011010|0110|011 0x0D33
1 1 0011101|0001|011 0x0E8B
4 0 0000010|0001|011 0x010B
4 1 0000011|1000|011 0x01C3
8 0 0110011|0010|110 0x1996
8 1 0110101|0010|101 0x1A95
8 2 0110111|0010|101 0x1B95
8 3 0111111|0010|110 0x1F96
9 0 1000000|0000|010 0x2002
9 1 1000001|0101|010 0x20AA
9 2 1000110|0101|101 0x232D
9 3 1001000|0000|111 0x2407
9 4 1001001|0101|110 0x24AE
a 0 1001011|0000|010 0x2582
BX = 010 Event : 3
0 0 0000111|0000|010 0x0382
5 0 0000100|1010|011 0x0253
5 1 0000110|0010|100 0x0314
8 0 0011010|0001|100 0x0D0C
8 1 0011011|0000|010 0x0D82
8 2 0011101|0010|011 0x0E93
9 0 0101000|0101|001 0x1429
BX = 011 Event : 4
0 0 0010100|0001|111 0x0A0F
1 0 0010011|0101|000 0x09A8
4 0 0000001|0100|110 0x00A6
4 1 0000111|0011|111 0x039F
4 2 0001000|1100|111 0x0467
5 0 0001001|1011|110 0x04DE
8 0 0101000|0101|110 0x142E
8 1 0110000|0101|110 0x182E
9 0 0110010|0100|001 0x1921
b 0 0010110|0010|111 0x0B17
b 1 0010111|0011|111 0x0B9F
BX = 100 Event : 5
0 0 0000110|0101|100 0x032C
0 1 0001001|0001|101 0x048D
1 0 0001100|0010|010 0x0612
1 1 0001110|0001|011 0x070B
2 0 0010011|0001|011 0x098B
5 0 0000011|1010|110 0x01D6
8 0 0011111|0100|011 0x0FA3
8 1 0101000|0000|111 0x1407
8 2 0101001|0110|111 0x14B7
9 0 0101011|0011|010 0x159A
b 0 0110001|0011|010 0x189A
c 0 0011011|1000|010 0x0DC2
e 0 0011110|0010|011 0x0F13
BX = 101 Event : 6
0 0 0001110|0001|011 0x070B
0 1 0010001|0100|010 0x08A2
0 2 0010100|0000|011 0x0A03
0 3 0011101|0001|100 0x0E8C
3 0 0000010|0010|101 0x0115
6 0 0001001|0000|001 0x0481
6 1 0001101|1010|010 0x06D2
8 0 1000110|0101|111 0x232F
9 0 1001000|0000|010 0x2402
c 0 0110100|0010|010 0x1A12
c 1 0110110|0100|111 0x1B27
c 2 0110111|0000|111 0x1B87
BX = 110 Event : 7
0 0 0001000|0100|101 0x0425
0 1 0001010|0010|101 0x0515
0 2 0001100|0110|100 0x0634
1 0 0011000|0001|100 0x0C0C
1 1 0011010|0110|111 0x0D37
8 0 0111011|0101|111 0x1DAF
9 0 0111100|0001|010 0x1E0A
c 0 0101001|0000|010 0x1482
c 1 0101111|0100|111 0x17A7
d 0 0101100|1011|000 0x1658
d 1 0101101|0011|000 0x1698
d 2 0101110|0010|010 0x1712
d 3 0110000|0100|101 0x1825
BX = 111 Event : 8
0 0 0010110|0000|101 0x0B05
0 1 0011010|0010|011 0x0D13
0 2 0011011|0101|011 0x0DAB
0 3 0011110|0001|110 0x0F0E
0 4 0011111|0001|110 0x0F8E
1 0 0100011|0010|001 0x1191
1 1 0100111|0000|011 0x1383
3 0 0000001|0000|101 0x0085
3 1 0101010|0001|001 0x1509
3 2 0101011|0011|010 0x159A
8 0 0111000|0101|110 0x1C2E
9 0 1000100|0010|101 0x2215
9 1 1000101|0000|101 0x2285
BX = 000 Event : 9
0 0 0001001|0000|011 0x0483
0 1 0001100|0001|101 0x060D
1 0 0010101|0011|001 0x0A99
4 0 0000000|0100|011 0x0023
5 0 0000010|0010|110 0x0116
8 0 0100100|0100|011 0x1223
8 1 0100101|0100|000 0x12A0
9 0 0110001|0001|100 0x188C
BX = 001 Event : 10
0 0 0000111|0100|001 0x03A1
1 0 0001111|0100|010 0x07A2
1 1 0010000|0000|010 0x0802
1 2 0010001|0010|010 0x0892
1 3 0010110|0110|100 0x0B34
3 0 0011101|0011|001 0x0E99
8 0 0100110|0001|001 0x1309
8 1 0101001|0010|100 0x1494
8 2 0101011|0010|110 0x1596
BX = 010 Event : 11
0 0 0001010|0100|011 0x0523
8 0 0100111|0101|100 0x13AC
8 1 0101000|0010|101 0x1415
8 2 0101001|0101|100 0x14AC
8 3 0110010|0100|111 0x1927
8 4 0110011|0110|111 0x19B7
9 0 0101110|0101|000 0x1728
a 0 0111110|0110|011 0x1F33
a 1 0111111|0111|011 0x1FBB
b 0 0010110|0000|111 0x0B07
BX = 011 Event : 12
1 0 0010011|0100|001 0x09A1
1 1 0010100|0101|001 0x0A29
1 2 0011101|0110|011 0x0EB3
1 3 0011111|0100|100 0x0FA4
3 0 0000001|1000|101 0x00C5
3 1 0000010|1010|101 0x0155
3 2 0101011|0101|011 0x15AB
4 0 0000000|0000|000 0x0000
8 0 0111010|0100|011 0x1D23
8 1 1000001|0001|001 0x2089
b 0 1011100|0011|010 0x2E1A
e 0 0110110|1011|110 0x1B5E
BX = 100 Event : 13
1 0 0010000|0001|001 0x0809
1 1 0010011|0001|001 0x0989
1 2 0010110|0010|011 0x0B13
2 0 0011010|0011|010 0x0D1A
6 0 0000111|0101|110 0x03AE
9 0 0110010|0001|101 0x190D
c 0 0011111|1000|101 0x0FC5
c 1 0100000|1001|101 0x104D
BX = 101 Event : 14
0 0 0000110|0100|001 0x0321
0 1 0001000|0010|100 0x0414
0 2 0001010|0010|101 0x0515
2 0 0011001|0101|100 0x0CAC
3 0 0000000|0011|101 0x001D
6 0 0000010|0001|001 0x0109
8 0 0100111|0000|101 0x1385
9 0 0101010|0010|001 0x1511
9 1 0101101|0101|011 0x16AB
9 2 0101110|0101|011 0x172B
9 3 0110000|0101|010 0x182A
9 4 0110001|0001|010 0x188A
9 5 0110100|0101|001 0x1A29
a 0 0111010|0010|010 0x1D12
BX = 110 Event : 15
2 0 0011011|0000|010 0x0D82
4 0 0000010|0011|000 0x0118
5 0 0000111|1011|011 0x03DB
8 0 0110110|0010|101 0x1B15
8 1 0110111|0010|100 0x1B94
8 2 0111000|0110|100 0x1C34
9 0 0111100|0110|100 0x1E34
BX = 111 Event : 16
0 0 0001011|0010|011 0x0593
0 1 0001100|0001|110 0x060E
2 0 0010100|0011|001 0x0A19
2 1 0011000|0011|001 0x0C19
8 0 0100011|0000|010 0x1182
8 1 0100100|0100|010 0x1222
8 2 0100110|0100|101 0x1325
9 0 0101101|0101|001 0x16A9
9 1 0101110|0110|001 0x1731
9 2 0101111|0011|001 0x1799
9 3 0110010|0001|100 0x190C
c 0 0100000|0000|111 0x1007
d 0 0011111|1001|000 0x0FC8
BX = 000 Event : 17
0 0 0001110|0010|100 0x0714
0 1 0010100|0001|101 0x0A0D
0 2 0011000|0101|110 0x0C2E
3 0 0000000|0010|101 0x0015
3 1 0000001|0001|101 0x008D
5 0 0001010|1001|110 0x054E
6 0 0001001|1100|001 0x04E1
8 0 0110001|0000|001 0x1881
8 1 0111010|0110|111 0x1D37
a 0 1000110|0010|111 0x2317
a 1 1000111|0100|111 0x23A7
b 0 0100110|0010|111 0x1317
c 0 0100111|0001|010 0x138A
BX = 001 Event : 18
1 0 0001101|0101|110 0x06AE
8 0 0011101|0100|010 0x0EA2
8 1 0011110|0100|010 0x0F22
a 0 0101101|0011|001 0x1699
a 1 0101110|0010|101 0x1715
a 2 0101111|0001|101 0x178D
c 0 0010101|1011|010 0x0ADA
d 0 0011001|1011|011 0x0CDB
BX = 010 Event : 19
0 0 0010010|0010|011 0x0913
1 0 0011111|0110|001 0x0FB1
2 0 0100110|0100|010 0x1322
6 0 0000011|0100|001 0x01A1
6 1 0000101|1001|110 0x02CE
6 2 0000111|0010|010 0x0392
6 3 0001000|1000|010 0x0442
8 0 0110010|0110|110 0x1936
8 1 0110011|0001|101 0x198D
8 2 0110110|0001|101 0x1B0D
8 3 0111000|0001|011 0x1C0B
a 0 1000011|0011|001 0x2199
a 1 1000100|0100|001 0x2221
BX = 011 Event : 20
0 0 0000110|0100|010 0x0322
0 1 0000111|0100|010 0x03A2
0 2 0001010|0001|101 0x050D
3 0 0000000|1001|101 0x004D
8 0 0101111|0000|110 0x1786
9 0 0111110|0101|110 0x1F2E
a 0 1000010|0010|011 0x2113
d 0 0101001|0001|010 0x148A
d 1 0101010|0011|010 0x151A
BX = 100 Event : 21
0 0 0001100|0010|111 0x0617
1 0 0001010|0100|000 0x0520
1 1 0010001|0110|111 0x08B7
2 0 0010100|0010|110 0x0A16
8 0 0100111|0100|100 0x13A4
8 1 0101010|0001|100 0x150C
9 0 0110001|0001|100 0x188C
d 0 0011110|1000|000 0x0F40
BX = 101 Event : 22
1 0 0001011|0010|000 0x0590
2 0 0010110|0011|100 0x0B1C
6 0 0000100|1101|110 0x026E
9 0 0101011|0101|011 0x15AB
b 0 0011010|1001|100 0x0D4C
d 0 0100000|1011|101 0x105D
BX = 110 Event : 23
0 0 0001011|0100|011 0x05A3
0 1 0010001|0000|100 0x0884
1 0 0010100|0001|000 0x0A08
1 1 0010101|0101|000 0x0AA8
2 0 0100000|0000|110 0x1006
2 1 0100001|0111|110 0x10BE
4 0 0000010|0011|110 0x011E
4 1 0000100|0011|111 0x021F
8 0 0101000|0000|001 0x1401
8 1 0101101|0100|001 0x16A1
a 0 1000000|0110|000 0x2030
c 0 0100110|1000|010 0x1342
BX = 111 Event : 24
0 0 0001100|0100|011 0x0623
0 1 0001111|0000|101 0x0785
2 0 0011100|0010|011 0x0E13
3 0 0000001|0011|101 0x009D
4 0 0000000|1001|000 0x0048
8 0 0101100|0000|000 0x1600
c 0 0100101|1000|010 0x12C2
BX = 000 Event : 25
5 0 0000101|0001|110 0x028E
8 0 0011011|0000|010 0x0D82
8 1 0100111|0100|100 0x13A4
a 0 0110001|0110|110 0x18B6
a 1 0110010|0010|101 0x1915
a 2 0110011|0101|101 0x19AD
c 0 0010110|1000|101 0x0B45
c 1 0011001|1000|111 0x0CC7
d 0 0011000|1000|000 0x0C40
BX = 001 Event : 26
9 0 0110100|0010|001 0x1A11
9 1 0111010|0010|110 0x1D16
c 0 0011100|1100|111 0x0E67
BX = 010 Event : 27
1 0 0011000|0000|010 0x0C02
1 1 0011001|0100|010 0x0CA2
8 0 0100110|0000|001 0x1301
9 0 0101101|0000|001 0x1681
9 1 0101111|0010|000 0x1790
9 2 0110001|0001|011 0x188B
BX = 011 Event : 28
1 0 0010011|0101|000 0x09A8
1 1 0011010|0000|110 0x0D06
8 0 0101111|0010|100 0x1794
8 1 0110011|0010|100 0x1994
b 0 0100001|0011|100 0x109C
BX = 100 Event : 29
1 0 0010101|0011|011 0x0A9B
1 1 0010110|0101|001 0x0B29
1 2 0011110|0011|111 0x0F1F
3 0 0100001|0011|010 0x109A
5 0 0000101|1001|110 0x02CE
8 0 0111000|0010|100 0x1C14
8 1 0111001|0000|101 0x1C85
8 2 0111011|0110|101 0x1DB5
8 3 0111101|0001|100 0x1E8C
9 0 1000010|0110|011 0x2133
a 0 1001011|0100|101 0x25A5
b 0 0100010|0010|111 0x1117
BX = 101 Event : 30
0 0 0001110|0100|011 0x0723
0 1 0001111|0100|001 0x07A1
0 2 0010010|0001|011 0x090B
0 3 0011001|0001|100 0x0C8C
0 4 0011101|0001|101 0x0E8D
0 5 0011110|0101|100 0x0F2C
2 0 0101001|0010|000 0x1490
3 0 0101110|0111|010 0x173A
4 0 0000001|1011|011 0x00DB
8 0 0110101|0100|010 0x1AA2
8 1 0110110|0100|001 0x1B21
8 2 0110111|0100|001 0x1BA1
8 3 0111001|0100|010 0x1CA2
8 4 0111010|0000|010 0x1D02
8 5 0111011|0100|001 0x1DA1
8 6 0111101|0010|100 0x1E94
9 0 1000100|0101|010 0x222A
9 1 1000101|0000|010 0x2282
9 2 1001000|0101|100 0x242C
9 3 1001001|0100|011 0x24A3
b 0 0110001|0001|100 0x188C
BX = 110 Event : 31
1 0 0011001|0101|100 0x0CAC
4 0 0000001|0010|110 0x0096
4 1 0000011|1100|111 0x01E7
5 0 0001001|0100|110 0x04A6
6 0 0001000|1000|001 0x0441
8 0 0110010|0000|001 0x1901
8 1 0110011|0000|001 0x1981
8 2 0110110|0001|011 0x1B0B
8 3 0110111|0001|010 0x1B8A
8 4 0111001|0100|001 0x1CA1
8 5 0111110|0000|100 0x1F04
8 6 1000100|0001|111 0x220F
c 0 0100111|0100|111 0x13A7
c 1 0101000|0010|111 0x1417
d 0 0100110|0001|000 0x1308
BX = 111 Event : 32
0 0 0001000|0000|010 0x0402
0 1 0001001|0000|001 0x0481
0 2 0001011|0001|001 0x0589
0 3 0001101|0101|100 0x06AC
0 4 0001110|0100|101 0x0725
2 0 0100011|0110|111 0x11B7
2 1 0100100|0110|111 0x1237
3 0 0000000|0010|101 0x0015
3 1 0100110|0011|011 0x131B
4 0 0000100|1000|011 0x0243
8 0 0101110|0001|001 0x1709
8 1 0110000|0000|001 0x1801
8 2 0110001|0101|100 0x18AC
8 3 0110101|0001|111 0x1A8F
9 0 1000001|0010|100 0x2094
9 1 1000011|0010|100 0x2194
c 0 0101000|0011|010 0x141A
BX = 000 Event : 33
0 0 0000110|0100|011 0x0323
0 1 0000111|0100|011 0x03A3
0 2 0001101|0001|001 0x0689
1 0 0010111|0001|110 0x0B8E
3 0 0011001|0011|011 0x0C9B
8 0 0100011|0001|001 0x1189
9 0 0101001|0001|010 0x148A
BX = 001 Event : 34
0 0 0001011|0101|110 0x05AE
0 1 0001100|0010|110 0x0616
0 2 0001110|0010|111 0x0717
2 0 0010111|0101|101 0x0BAD
2 1 0011000|0011|101 0x0C1D
3 0 0011001|0100|010 0x0CA2
BX = 010 Event : 35
2 0 0001101|0100|010 0x06A2
9 0 0011111|0010|001 0x0F91
a 0 0100110|0110|010 0x1332
a 1 0101000|0110|101 0x1435
a 2 0101001|0011|100 0x149C
a 3 0101010|0011|101 0x151D
BX = 011 Event : 36
0 0 0001101|0010|100 0x0694
1 0 0010001|0010|001 0x0891
1 1 0010110|0000|001 0x0B01
3 0 0000001|0000|101 0x0085
4 0 0000000|1011|000 0x0058
8 0 0101001|0000|000 0x1480
8 1 0101110|0001|101 0x170D
8 2 0110001|0010|100 0x1894
8 3 0110100|0010|111 0x1A17
9 0 0110010|0001|000 0x1908
a 0 0111011|0111|100 0x1DBC
b 0 0111100|0011|001 0x1E19
b 1 0111101|0010|010 0x1E92
BX = 100 Event : 37
0 0 0001000|0000|001 0x0401
0 1 0001101|0001|001 0x0689
1 0 0010100|0100|001 0x0A21
1 1 0010101|0101|000 0x0AA8
1 2 0010110|0101|011 0x0B2B
3 0 0000000|1001|101 0x004D
6 0 0000110|0101|010 0x032A
8 0 0100110|0001|010 0x130A
8 1 0101001|0001|001 0x1489
8 2 0110001|0010|111 0x1897
9 0 0101110|0000|001 0x1701
a 0 0111011|0111|011 0x1DBB
a 1 1000000|0111|011 0x203B
d 0 0011111|1100|000 0x0FE0
d 1 0100000|1011|000 0x1058
BX = 101 Event : 38
0 0 0010100|0001|001 0x0A09
1 0 0111000|0110|000 0x1C30
2 0 1000000|0011|011 0x201B
3 0 1000011|0011|010 0x219A
3 1 1000100|0010|010 0x2212
6 0 0001001|0001|001 0x0489
6 1 0001010|1010|010 0x0552
6 2 0001011|1011|010 0x05DA
8 0 1010001|0100|100 0x28A4
8 1 1010011|0101|100 0x29AC
8 2 1010111|0000|111 0x2B87
BX = 110 Event : 39
0 0 0001100|0101|101 0x062D
0 1 0010110|0100|111 0x0B27
1 0 0010100|0101|000 0x0A28
1 1 0011001|0001|101 0x0C8D
3 0 0100010|0101|001 0x1129
9 0 0110000|0100|001 0x1821
BX = 111 Event : 40
0 0 0001100|0000|011 0x0603
0 1 0001101|0101|110 0x06AE
5 0 0000011|0100|110 0x01A6
6 0 0000010|0010|001 0x0111
8 0 0100110|0100|000 0x1320
9 0 0101111|0101|011 0x17AB
9 1 0110000|0000|011 0x1803
9 2 0111100|0101|100 0x1E2C
9 3 0111101|0010|100 0x1E94
a 0 1000010|0010|010 0x2112
e 0 0100101|0100|000 0x12A0
BX = 000 Event : 41
1 0 0001100|0010|001 0x0611
1 1 0001101|0100|001 0x06A1
2 0 0010110|0011|001 0x0B19
8 0 0101100|0010|111 0x1617
9 0 0110000|0011|011 0x181B
9 1 0110001|0101|010 0x18AA
a 0 0110100|0101|011 0x1A2B
b 0 0011001|1011|100 0x0CDC
e 0 0100100|0100|110 0x1226
BX = 001 Event : 42
0 0 0000100|0000|001 0x0201
BX = 010 Event : 43
0 0 0001111|0001|011 0x078B
0 1 0010000|0100|001 0x0821
1 0 0011001|0010|100 0x0C94
5 0 0000111|1001|110 0x03CE
5 1 0001000|0010|110 0x0416
6 0 0000110|0100|001 0x0321
6 1 0001100|1001|010 0x064A
c 0 0100011|1001|101 0x11CD
BX = 011 Event : 44
0 0 0000111|0001|011 0x038B
0 1 0001010|0100|010 0x0522
0 2 0001100|0000|010 0x0602
3 0 0000000|0010|101 0x0015
3 1 0011010|0110|010 0x0D32
3 2 0011011|0110|001 0x0DB1
4 0 0000001|0100|110 0x00A6
8 0 0100101|0100|011 0x12A3
8 1 0101000|0000|001 0x1401
8 2 0101111|0000|100 0x1784
a 0 1000110|0110|011 0x2333
b 0 0011100|0000|111 0x0E07
BX = 100 Event : 45
0 0 0001100|0000|011 0x0603
0 1 0001101|0000|001 0x0681
0 2 0001111|0000|001 0x0781
0 3 0010001|0000|101 0x0885
0 4 0010011|0100|101 0x09A5
1 0 0011010|0101|111 0x0D2F
2 0 0011101|0011|111 0x0E9F
4 0 0000011|0000|110 0x0186
5 0 0000100|1000|011 0x0243
6 0 0000111|1001|001 0x03C9
c 0 0100011|0011|010 0x119A
BX = 101 Event : 46
0 0 0001100|0101|100 0x062C
0 1 0001101|0000|100 0x0684
4 0 0000011|0011|011 0x019B
8 0 0110100|0001|111 0x1A0F
8 1 0110101|0101|111 0x1AAF
9 0 0110001|0000|000 0x1880
9 1 0110010|0001|000 0x1908
9 2 0110011|0010|000 0x1990
9 3 0111000|0101|001 0x1C29
c 0 0011111|0011|101 0x0F9D
e 0 0100101|1011|000 0x12D8
BX = 110 Event : 47
0 0 0001101|0100|010 0x06A2
8 0 0100100|0100|011 0x1223
8 1 0100101|0000|010 0x1282
8 2 0101001|0010|110 0x1496
8 3 0101011|0000|101 0x1585
8 4 0111000|0010|110 0x1C16
a 0 1001110|0110|111 0x2737
BX = 111 Event : 48
1 0 0011011|0100|110 0x0DA6
2 0 0011100|0010|101 0x0E15
4 0 0000100|0100|111 0x0227
8 0 0100101|0001|011 0x128B
8 1 0101100|0100|100 0x1624
8 2 0101110|0001|101 0x170D
8 3 0110110|0010|011 0x1B13
9 0 0111101|0101|001 0x1EA9
9 1 1000000|0100|100 0x2024
BX = 000 Event : 49
0 0 0010000|0000|100 0x0804
0 1 0010011|0100|011 0x09A3
0 2 0011000|0010|011 0x0C13
1 0 0011110|0000|001 0x0F01
2 0 0101001|0000|110 0x1486
4 0 0000101|1001|110 0x02CE
4 1 0000110|0000|011 0x0303
4 2 0000111|0001|010 0x038A
5 0 0001010|1100|000 0x0560
8 0 0110100|0001|100 0x1A0C
9 0 0111010|0001|001 0x1D09
a 0 0111110|0101|000 0x1F28
a 1 1000010|0011|100 0x211C
a 2 1000011|0110|011 0x21B3
a 3 1000100|0101|011 0x222B
BX = 001 Event : 50
0 0 0010001|0000|101 0x0885
1 0 0011000|0100|101 0x0C25
8 0 0101110|0010|111 0x1717
9 0 0101101|0010|001 0x1691
9 1 0110010|0110|001 0x1931
9 2 0110100|0110|111 0x1A37
BX = 010 Event : 51
0 0 0001001|0101|100 0x04AC
0 1 0001101|0000|011 0x0683
1 0 0001110|0010|001 0x0711
1 1 0001111|0011|001 0x0799
3 0 0000000|1011|101 0x005D
5 0 0000100|0000|110 0x0206
6 0 0000101|0011|110 0x029E
8 0 0100011|0100|001 0x11A1
8 1 0100100|0001|000 0x1208
8 2 0101011|0100|111 0x15A7
8 3 0101100|0001|110 0x160E
a 0 0110011|0001|011 0x198B
a 1 0110100|0111|001 0x1A39
a 2 0110110|0011|011 0x1B1B
BX = 011 Event : 52
0 0 0001011|0001|011 0x058B
0 1 0001100|0001|001 0x0609
0 2 0010000|0000|010 0x0802
0 3 0011101|0100|110 0x0EA6
1 0 0011010|0110|000 0x0D30
1 1 0011011|0010|000 0x0D90
1 2 0011110|0101|100 0x0F2C
1 3 0100000|0101|010 0x102A
1 4 0100100|0101|100 0x122C
2 0 0100111|0011|011 0x139B
3 0 0000000|0011|101 0x001D
8 0 0110101|0001|001 0x1A89
8 1 0111000|0000|001 0x1C01
8 2 0111001|0100|001 0x1CA1
9 0 1001010|0000|101 0x2505
BX = 100 Event : 53
0 0 0001001|0100|010 0x04A2
1 0 0001101|0010|000 0x0690
3 0 0011110|0101|001 0x0F29
4 0 0000000|0000|110 0x0006
4 1 0000010|0000|111 0x0107
4 2 0000011|0011|111 0x019F
8 0 0101110|0100|010 0x1722
8 1 0101111|0100|000 0x17A0
9 0 0111000|0100|001 0x1C21
a 0 0111110|0000|001 0x1F01
a 1 0111111|0101|001 0x1FA9
b 0 0011111|0010|100 0x0F94
d 0 0100010|0000|011 0x1103
d 1 0100100|0000|010 0x1202
d 2 0100101|1000|010 0x12C2
e 0 0101000|0001|000 0x1408
e 1 0101001|1000|000 0x14C0
BX = 101 Event : 54
0 0 0001010|0010|101 0x0515
0 1 0001100|0010|101 0x0615
0 2 0010110|0001|110 0x0B0E
3 0 0000001|1000|101 0x00C5
8 0 0100111|0001|001 0x1389
9 0 0101011|0000|000 0x1580
9 1 0101110|0110|001 0x1731
9 2 0101111|0001|001 0x1789
BX = 110 Event : 55
0 0 0000101|0100|011 0x02A3
0 1 0001010|0010|100 0x0514
1 0 0010111|0010|010 0x0B92
2 0 0011100|0110|001 0x0E31
2 1 0100001|0100|011 0x10A3
2 2 0100010|0110|001 0x1131
8 0 0110110|0000|010 0x1B02
8 1 0111100|0101|100 0x1E2C
9 0 1001000|0110|010 0x2432
b 0 0101100|0010|111 0x1617
d 0 0110011|1000|101 0x19C5
BX = 111 Event : 56
3 0 0000011|1010|101 0x01D5
3 1 0000100|0011|101 0x021D
3 2 0100011|0101|001 0x11A9
8 0 0101001|0100|110 0x14A6
8 1 0110101|0100|110 0x1AA6
9 0 0111001|0100|111 0x1CA7
9 1 0111010|0100|111 0x1D27
BX = 000 Event : 57
0 0 0001001|0001|010 0x048A
0 1 0001011|0000|010 0x0582
0 2 0001101|0101|110 0x06AE
1 0 0010011|0110|001 0x09B1
4 0 0000001|0010|110 0x0096
4 1 0000010|1001|011 0x014B
6 0 0000110|1100|001 0x0361
8 0 0110001|0000|011 0x1883
8 1 1000001|0010|110 0x2096
8 2 1000010|0010|110 0x2116
9 0 1001000|0100|110 0x2426
a 0 1001010|0001|101 0x250D
a 1 1001101|0000|101 0x2685
BX = 001 Event : 58
0 0 0001111|0100|010 0x07A2
0 1 0010100|0000|101 0x0A05
0 2 0010101|0110|101 0x0AB5
1 0 0011000|0010|000 0x0C10
1 1 0011110|0000|001 0x0F01
5 0 0000110|1100|011 0x0363
5 1 0000111|0001|011 0x038B
6 0 0001100|0000|010 0x0602
8 0 0101110|0001|010 0x170A
8 1 0101111|0000|010 0x1782
8 2 0110010|0000|100 0x1904
8 3 0110110|0100|100 0x1B24
8 4 0111010|0010|110 0x1D16
8 5 0111011|0010|110 0x1D96
9 0 0111110|0100|010 0x1F22
9 1 1000000|0100|101 0x2025
a 0 1000110|0000|110 0x2306
a 1 1000111|0101|110 0x23AE
BX = 010 Event : 59
0 0 0010111|0110|111 0x0BB7
1 0 0011010|0010|110 0x0D16
2 0 0011101|0000|010 0x0E82
4 0 0000000|1010|000 0x0050
4 1 0001000|0100|110 0x0426
4 2 0001001|0100|011 0x04A3
4 3 0001110|0001|111 0x070F
5 0 0001101|1001|011 0x06CB
8 0 0101010|0000|010 0x1502
8 1 0101100|0100|010 0x1622
9 0 0110010|0110|001 0x1931
9 1 0110011|0001|000 0x1988
9 2 0110101|0000|001 0x1A81
c 0 0100011|1011|010 0x11DA
e 0 0101001|1010|011 0x14D3
BX = 011 Event : 60
0 0 0010110|0101|111 0x0B2F
1 0 0010011|0101|001 0x09A9
8 0 0110001|0000|001 0x1881
8 1 0110010|0101|110 0x192E
8 2 0110011|0101|101 0x19AD
8 3 0110100|0010|101 0x1A15
8 4 0111110|0000|111 0x1F07
8 5 1000001|0001|110 0x208E
b 0 0100111|1010|100 0x13D4
c 0 0101001|0000|101 0x1485
BX = 100 Event : 61
0 0 0000111|0000|001 0x0381
1 0 0010100|0010|010 0x0A12
3 0 0100110|0110|001 0x1331
8 0 0110000|0001|001 0x1809
8 1 0110001|0100|001 0x18A1
8 2 0110010|0000|001 0x1901
9 0 0111101|0010|101 0x1E95
9 1 0111110|0100|011 0x1F23
9 2 0111111|0101|011 0x1FAB
BX = 101 Event : 62
0 0 0001010|0100|001 0x0521
0 1 0001011|0001|100 0x058C
0 2 0001100|0101|011 0x062B
0 3 0001101|0010|101 0x0695
0 4 0001110|0001|101 0x070D
1 0 0010001|0011|001 0x0899
1 1 0010010|0110|001 0x0931
1 2 0010101|0011|111 0x0A9F
8 0 0011110|0100|010 0x0F22
8 1 0100100|0100|111 0x1227
8 2 0100101|0100|111 0x12A7
d 0 0011010|0010|010 0x0D12
e 0 0011011|1100|000 0x0DE0
BX = 110 Event : 63
8 0 0101010|0101|101 0x152D
9 0 0110001|0101|000 0x18A8
a 0 1000001|0110|101 0x20B5
a 1 1000011|0101|101 0x21AD
a 2 1000100|0111|101 0x223D
b 0 0011011|0010|111 0x0D97
BX = 111 Event : 64
0 0 0000010|0001|010 0x010A
0 1 0001010|0101|101 0x052D
0 2 0001110|0100|100 0x0724
0 3 0010011|0001|111 0x098F
8 0 0110000|0100|011 0x1823
