BX = 000 Event : 1
0 0 0000101|0001|010 0x028A
0 1 0000110|0100|010 0x0322
0 2 0001010|0001|010 0x050A
0 3 0001011|0100|010 0x05A2
0 4 0001100|0100|100 0x0624
0 5 0001111|0010|011 0x0793
0 6 0010100|0010|111 0x0A17
4 0 0000001|1010|010 0x00D2
8 0 0100100|0001|011 0x120B
8 1 0101100|0000|100 0x1604
8 2 0110001|0001|011 0x188B
9 0 0110011|0110|001 0x19B1
9 1 0110111|0001|011 0x1B8B
a 0 0111101|0010|010 0x1E92
a 1 0111111|0101|100 0x1FAC
BX = 001 Event : 2
0 0 0001111|0100|101 0x07A5
0 1 0010001|0001|100 0x088C
2 0 0100001|0010|101 0x1095
4 0 0000001|0010|101 0x0095
8 0 0110001|0001|001 0x1889
8 1 0110011|0010|110 0x1996
9 0 0111111|0011|101 0x1F9D
BX = 010 Event : 3
0 0 0001110|0000|001 0x0701
1 0 0011101|0001|100 0x0E8C
2 0 0011111|0010|001 0x0F91
4 0 0000010|1010|101 0x0155
4 1 0000011|0010|010 0x0192
4 2 0000110|1001|111 0x034F
8 0 0101110|0100|001 0x1721
a 0 1001011|0111|011 0x25BB
d 0 0101100|1000|000 0x1640
e 0 0101101|0101|001 0x16A9
BX = 011 Event : 4
0 0 0000011|0000|010 0x0182
0 1 0001001|0000|110 0x0486
0 2 0001011|0100|101 0x05A5
0 3 0001111|0010|111 0x0797
1 0 0010001|0010|001 0x0891
1 1 0010010|0101|001 0x0929
2 0 0010110|0111|100 0x0B3C
8 0 0100010|0010|110 0x1116
8 1 0100100|0100|110 0x1226
b 0 0011101|0000|101 0x0E85
e 0 0100000|1101|011 0x106B
BX = 100 Event : 5
0 0 0001010|0100|110 0x0526
0 1 0001111|0010|100 0x0794
0 2 0011000|0100|111 0x0C27
0 3 0011100|0101|110 0x0E2E
1 0 0010110|0110|001 0x0B31
1 1 0010111|0000|000 0x0B80
1 2 0011111|0011|010 0x0F9A
2 0 0100011|0101|011 0x11AB
3 0 0000001|0001|100 0x008C
6 0 0000100|1000|110 0x0246
8 0 0101010|0100|001 0x1521
8 1 0101111|0100|001 0x17A1
8 2 0110000|0001|110 0x180E
8 3 0110001|0010|110 0x1896
9 0 0110111|0011|011 0x1B9B
9 1 0111000|0101|110 0x1C2E
9 2 0111110|0110|110 0x1F36
d 0 0100111|1000|010 0x13C2
d 1 0101000|0010|011 0x1413
BX = 101 Event : 6
0 0 0001011|0100|011 0x05A3
0 1 0001100|0100|011 0x0623
0 2 0001101|0001|011 0x068B
0 3 0010000|0001|011 0x080B
0 4 0011011|0100|011 0x0DA3
2 0 0101000|0110|001 0x1431
3 0 0101011|0001|000 0x1588
3 1 0101101|0100|010 0x16A2
4 0 0001010|1010|111 0x0557
5 0 0000111|0000|011 0x0383
5 1 0001000|1000|011 0x0443
9 0 0111110|0101|000 0x1F28
9 1 1000111|0110|100 0x23B4
a 0 1001000|0111|001 0x2439
b 0 0101111|1001|101 0x17CD
BX = 110 Event : 7
0 0 0001101|0100|011 0x06A3
0 1 0001110|0100|011 0x0723
0 2 0010001|0100|010 0x08A2
0 3 0010010|0001|010 0x090A
0 4 0010101|0000|010 0x0A82
0 5 0010111|0100|110 0x0BA6
0 6 0011101|0101|011 0x0EAB
3 0 0110101|0111|001 0x1AB9
4 0 0000000|1001|000 0x0048
4 1 0000011|1011|000 0x01D8
4 2 0000100|0100|010 0x0222
6 0 0001011|0011|110 0x059E
8 0 1000000|0100|010 0x2022
8 1 1001000|0010|110 0x2416
8 2 1001001|0000|101 0x2485
8 3 1001101|0101|110 0x26AE
8 4 1001110|0001|110 0x270E
9 0 1001100|0100|001 0x2621
9 1 1010000|0100|000 0x2820
a 0 1011011|0001|001 0x2D89
a 1 1011100|0001|011 0x2E0B
b 0 0110110|1010|111 0x1B57
c 0 0111010|1011|111 0x1D5F
d 0 0111011|1011|000 0x1DD8
d 1 0111100|1010|000 0x1E50
e 0 0111101|1001|010 0x1ECA
BX = 111 Event : 8
1 0 0001111|0101|011 0x07AB
1 1 0010000|0001|011 0x080B
1 2 0010010|0011|011 0x091B
1 3 0010011|0100|001 0x09A1
1 4 0010101|0110|011 0x0AB3
4 0 0000001|1010|000 0x00D0
8 0 0101100|0000|010 0x1602
8 1 0101101|0100|010 0x16A2
9 0 0110101|0101|011 0x1AAB
9 1 0111001|0110|011 0x1CB3
9 2 0111010|0011|110 0x1D1E
a 0 0111101|0101|110 0x1EAE
d 0 0100110|0010|011 0x1313
BX = 000 Event : 9
0 0 0000101|0000|010 0x0282
1 0 0001100|0000|010 0x0602
1 1 0001111|0101|101 0x07AD
2 0 0010001|0101|000 0x08A8
2 1 0010011|0110|100 0x09B4
2 2 0010100|0111|011 0x0A3B
6 0 0000011|1001|000 0x01C8
6 1 0000100|1100|001 0x0261
8 0 0011111|0100|100 0x0FA4
8 1 0100000|0100|010 0x1022
8 2 0100100|0101|011 0x122B
a 0 0100101|0000|000 0x1280
a 1 0100111|0001|001 0x1389
a 2 0101000|0000|001 0x1401
b 0 0101001|0101|000 0x14A8
c 0 0010101|1001|000 0x0AC8
c 1 0011010|0000|111 0x0D07
d 0 0011101|0101|110 0x0EAE
d 1 0011110|0101|101 0x0F2D
BX = 001 Event : 10
0 0 0010000|0000|100 0x0804
1 0 0010011|0100|000 0x09A0
1 1 0011110|0100|011 0x0F23
1 2 0100001|0110|111 0x10B7
8 0 0110000|0110|110 0x1836
8 1 0110100|0001|100 0x1A0C
8 2 0110110|0110|100 0x1B34
8 3 0111010|0110|111 0x1D37
a 0 0111111|0111|011 0x1FBB
b 0 1000001|0010|000 0x2090
b 1 1000010|0101|000 0x2128
d 0 0100110|0100|011 0x1323
BX = 010 Event : 11
4 0 0000100|0000|010 0x0202
4 1 0001000|0100|111 0x0427
6 0 0001001|0001|001 0x0489
6 1 0001011|0011|010 0x059A
8 0 0101110|0101|110 0x172E
a 0 0111010|0101|011 0x1D2B
a 1 0111011|0101|010 0x1DAA
BX = 011 Event : 12
0 0 0000111|0000|011 0x0383
0 1 0001000|0000|010 0x0402
0 2 0001111|0110|100 0x07B4
0 3 0010011|0100|111 0x09A7
1 0 0011011|0000|111 0x0D87
3 0 0000000|1000|101 0x0045
5 0 0000100|0100|000 0x0220
8 0 0101001|0010|100 0x1494
9 0 0101011|0010|001 0x1591
9 1 0110011|0010|010 0x1992
9 2 0110101|0011|001 0x1A99
9 3 0111001|0100|100 0x1CA4
b 0 0111011|0110|000 0x1DB0
b 1 0111100|0010|000 0x1E10
b 2 0111101|0101|000 0x1EA8
c 0 0100010|0010|111 0x1117
d 0 0100011|0001|000 0x1188
BX = 100 Event : 13
0 0 0010000|0101|100 0x082C
0 1 0010100|0001|100 0x0A0C
0 2 0011001|0010|111 0x0C97
5 0 0000100|0001|011 0x020B
8 0 0101010|0100|010 0x1522
b 0 0110111|0011|010 0x1B9A
e 0 0101000|1001|000 0x1448
BX = 101 Event : 14
0 0 0001011|0001|011 0x058B
0 1 0001110|0110|110 0x0736
1 0 0011000|0010|110 0x0C16
2 0 0011101|0100|101 0x0EA5
3 0 0000000|0010|101 0x0015
3 1 0000001|0010|100 0x0094
3 2 0100000|0011|010 0x101A
3 3 0100001|0011|001 0x1099
3 4 0100010|0001|001 0x1109
9 0 0110011|0001|101 0x198D
a 0 0110101|0011|010 0x1A9A
BX = 110 Event : 15
0 0 0000101|0000|011 0x0283
0 1 0000110|0100|001 0x0321
0 2 0000111|0100|001 0x03A1
0 3 0001010|0001|001 0x0509
0 4 0001011|0110|110 0x05B6
1 0 0001110|0010|000 0x0710
2 0 0011011|0101|110 0x0DAE
2 1 0011101|0001|011 0x0E8B
2 2 0011111|0000|011 0x0F83
8 0 0110010|0000|010 0x1902
8 1 0110011|0000|001 0x1981
8 2 0110111|0100|110 0x1BA6
8 3 0111110|0000|100 0x1F04
8 4 0111111|0001|100 0x1F8C
8 5 1000000|0001|011 0x200B
c 0 0100001|1011|000 0x10D8
c 1 0100011|1010|110 0x11D6
d 0 0100111|1011|011 0x13DB
