BX = 000 Event : 1
0 0 0010011|0000|001 0x0981
0 1 0010101|0000|011 0x0A83
0 2 0010110|0100|010 0x0B22
0 3 0011101|0101|101 0x0EAD
0 4 0011110|0010|100 0x0F14
1 0 0100101|0011|010 0x129A
1 1 0100110|0000|001 0x1301
2 0 0101001|0011|000 0x1498
3 0 0000010|1000|101 0x0145
3 1 0000011|1010|101 0x01D5
4 0 0000001|0010|000 0x0090
4 1 0000110|0011|010 0x031A
5 0 0001001|1001|011 0x04CB
5 1 0001010|0011|011 0x051B
5 2 0001111|0011|110 0x079E
8 0 0110101|0000|001 0x1A81
8 1 0111011|0100|100 0x1DA4
9 0 0111110|0101|000 0x1F28
9 1 1000011|0001|011 0x218B
9 2 1000111|0101|011 0x23AB
BX = 001 Event : 2
0 0 0001110|0000|001 0x0701
0 1 0010100|0010|111 0x0A17
0 2 0010101|0101|110 0x0AAE
1 0 0010011|0100|000 0x09A0
1 1 0011001|0010|011 0x0C93
1 2 0011011|0000|001 0x0D81
1 3 0011110|0101|100 0x0F2C
3 0 0100110|0110|000 0x1330
4 0 0001000|0001|101 0x040D
8 0 0111100|0000|110 0x1E06
8 1 1001011|0100|111 0x25A7
9 0 1010000|0001|011 0x280B
9 1 1010001|0000|010 0x2882
9 2 1010011|0011|001 0x2999
a 0 1011011|0001|011 0x2D8B
c 0 0101010|0011|110 0x151E
c 1 0101011|1001|111 0x15CF
c 2 0101100|0000|111 0x1607
c 3 0101101|1000|111 0x16C7
d 0 0101110|1001|000 0x1748
d 1 0101111|1011|000 0x17D8
d 2 0110000|0001|000 0x1808
e 0 0110100|0011|010 0x1A1A
BX = 010 Event : 3
0 0 0001001|0000|001 0x0481
0 1 0001010|0000|001 0x0501
0 2 0010011|0101|110 0x09AE
4 0 0000011|1001|000 0x01C8
4 1 0000100|0000|101 0x0205
5 0 0000101|1010|101 0x02D5
5 1 0000110|0001|110 0x030E
5 2 0000111|1011|110 0x03DE
6 0 0001000|0001|010 0x040A
8 0 0100111|0000|011 0x1383
8 1 0101000|0100|010 0x1422
8 2 0101010|0101|110 0x152E
8 3 0101011|0110|110 0x15B6
8 4 0110110|0100|011 0x1B23
8 5 0111011|0101|110 0x1DAE
b 0 0011110|0001|100 0x0F0C
BX = 011 Event : 4
0 0 0001101|0101|101 0x06AD
0 1 0010001|0000|101 0x0885
1 0 0100000|0001|101 0x100D
1 1 0100001|0101|101 0x10AD
1 2 0100010|0001|101 0x110D
8 0 0110101|0000|100 0x1A84
8 1 0110111|0101|110 0x1BAE
8 2 0111011|0010|011 0x1D93
9 0 1000001|0001|100 0x208C
a 0 1000010|0100|011 0x2123
a 1 1000011|0001|011 0x218B
a 2 1001000|0001|011 0x240B
a 3 1001001|0101|011 0x24AB
a 4 1001010|0000|011 0x2503
b 0 0101010|0010|111 0x1517
b 1 0101011|1001|111 0x15CF
b 2 1001011|0010|010 0x2592
c 0 0101111|1001|010 0x17CA
e 0 0110001|0001|010 0x188A
e 1 0110010|1000|010 0x1942
BX = 100 Event : 5
0 0 0001011|0100|101 0x05A5
1 0 0001111|0000|011 0x0783
1 1 0010001|0001|101 0x088D
2 0 0010011|0010|001 0x0991
2 1 0010100|0010|011 0x0A13
2 2 0010101|0010|001 0x0A91
2 3 0010110|0010|001 0x0B11
4 0 0000011|1000|111 0x01C7
8 0 0100110|0100|010 0x1322
8 1 0101110|0110|011 0x1733
8 2 0101111|0100|111 0x17A7
8 3 0110000|0110|110 0x1836
9 0 0110010|0100|010 0x1922
9 1 0111011|0101|111 0x1DAF
9 2 1000000|0001|111 0x200F
a 0 1000110|0101|101 0x232D
a 1 1000111|0100|101 0x23A5
b 0 0011101|1010|111 0x0ED7
c 0 0011111|1010|110 0x0FD6
c 1 0100000|1001|010 0x104A
d 0 0100001|1010|010 0x10D2
d 1 0100010|0010|101 0x1115
e 0 0100011|1001|101 0x11CD
BX = 101 Event : 6
0 0 0010011|0001|100 0x098C
1 0 0011100|0101|100 0x0E2C
1 1 0011101|0000|101 0x0E85
1 2 0011110|0100|100 0x0F24
1 3 0100000|0100|111 0x1027
2 0 0011111|0101|000 0x0FA8
2 1 0100010|0100|001 0x1121
2 2 0100011|0010|011 0x1193
5 0 0001011|1010|011 0x05D3
6 0 0001110|1011|110 0x075E
8 0 0111001|0100|100 0x1CA4
8 1 0111111|0001|111 0x1F8F
8 2 1000000|0001|111 0x200F
9 0 0111100|0001|000 0x1E08
9 1 1000100|0100|011 0x2223
9 2 1000111|0001|001 0x2389
9 3 1001000|0001|001 0x2409
9 4 1001011|0000|100 0x2584
9 5 1001100|0010|011 0x2613
9 6 1001111|0011|110 0x279E
a 0 1010010|0101|100 0x292C
b 0 0100110|1010|111 0x1357
b 1 0100111|0011|100 0x139C
b 2 0101000|0010|100 0x1414
b 3 1010101|0101|010 0x2AAA
c 0 0101011|1010|010 0x15D2
BX = 110 Event : 7
