BX = 000 Event : 1
0 0 0101001|100|100 0x0A64
1 0 0101101|101|111 0x0B6F
2 0 0110011|100|110 0x0CE6
3 0 0000011|010|100 0x00D4
3 1 0111010|101|010 0x0EAA
3 2 0111110|010|011 0x0F93
4 0 0001001|010|011 0x0253
4 1 0001010|010|011 0x0293
4 2 0001101|000|100 0x0344
4 3 0001110|100|100 0x03A4
4 4 0010000|110|100 0x0434
4 5 0010100|010|110 0x0516
4 6 0010111|100|111 0x05E7
5 0 0011000|011|001 0x0619
5 1 0011001|010|001 0x0651
5 2 0011011|010|001 0x06D1
5 3 0011100|010|011 0x0713
5 4 0011111|101|110 0x07EE
6 0 0100000|101|000 0x0828
6 1 0100001|100|000 0x0860
6 2 0100010|100|011 0x08A3
6 3 0100011|000|011 0x08C3
BX = 001 Event : 2
1 0 0100011|100|100 0x08E4
1 1 0100100|001|100 0x090C
2 0 0101000|001|000 0x0A08
2 1 0101110|101|100 0x0BAC
2 2 0110000|110|101 0x0C35
3 0 0110101|110|000 0x0D70
3 1 0110110|000|000 0x0D80
3 2 0111000|001|001 0x0E09
3 3 0111111|011|011 0x0FDB
3 4 1000000|000|100 0x1004
4 0 0000111|000|001 0x01C1
4 1 0001100|000|100 0x0304
5 0 0001111|100|001 0x03E1
5 1 0010000|101|001 0x0429
5 2 0010001|010|010 0x0452
5 3 0010010|110|011 0x04B3
7 0 0011001|001|000 0x0648
7 1 0011111|100|111 0x07E7
BX = 010 Event : 3
1 0 0110001|001|110 0x0C4E
2 0 0110010|000|011 0x0C83
2 1 0110100|110|110 0x0D36
2 2 0110101|101|110 0x0D6E
3 0 0000101|001|111 0x014F
3 1 0111100|001|011 0x0F0B
4 0 0000110|010|000 0x0190
4 1 0001011|110|011 0x02F3
4 2 0001100|001|100 0x030C
4 3 0001101|011|100 0x035C
4 4 0010000|001|100 0x040C
4 5 0010011|101|100 0x04EC
5 0 0010101|101|000 0x0568
5 1 0010111|101|011 0x05EB
6 0 0011100|001|010 0x070A
6 1 0011101|100|010 0x0762
6 2 0011110|001|010 0x078A
6 3 0100000|100|100 0x0824
6 4 0100001|100|110 0x0866
7 0 0100100|000|010 0x0902
BX = 011 Event : 4
1 0 0011010|001|010 0x068A
1 1 0011101|000|101 0x0745
2 0 0100000|101|001 0x0829
2 1 0100011|100|101 0x08E5
3 0 0000000|000|100 0x0004
3 1 0000001|101|100 0x006C
3 2 0000010|010|101 0x0095
3 3 0100101|110|001 0x0971
3 4 0100110|110|001 0x09B1
3 5 0100111|110|001 0x09F1
3 6 0101000|110|001 0x0A31
3 7 0101011|011|011 0x0ADB
4 0 0001000|110|011 0x0233
5 0 0010000|110|110 0x0436
BX = 100 Event : 5
0 0 0011000|100|000 0x0620
0 1 0011001|001|011 0x064B
1 0 0011100|001|101 0x070D
3 0 0000001|001|101 0x004D
4 0 0000011|100|001 0x00E1
4 1 0000100|001|001 0x0109
4 2 0000110|010|001 0x0191
