BX = 000 Event : 1
4 0 0000000|0100|000 0x0020
BX = 001 Event : 2
0 0 0010010|1101|110 0x096E
2 0 0011100|1000|001 0x0E41
4 0 0000000|1101|111 0x006F
5 0 0000001|0100|011 0x00A3
6 0 0000101|0011|111 0x029F
7 0 0000110|0001|000 0x0308
7 1 0000111|0000|000 0x0380
BX = 010 Event : 3
1 0 0111011|0010|011 0x1D93
2 0 0111101|0001|001 0x1E89
3 0 0111111|1101|010 0x1FEA
6 0 0000100|0101|001 0x0229
6 1 0000101|1000|001 0x02C1
6 2 0000110|1101|010 0x036A
6 3 0001000|1010|011 0x0453
6 4 0001001|1001|011 0x04CB
7 0 0001010|0000|000 0x0500
7 1 0001100|1101|100 0x066C
BX = 011 Event : 4
0 0 0001001|0101|000 0x04A8
1 0 0001010|1010|011 0x0553
6 0 0000001|1011|011 0x00DB
7 0 0000010|1100|111 0x0167
BX = 100 Event : 5
3 0 1000111|0100|111 0x23A7
4 0 0000001|1100|011 0x00E3
5 0 0000110|1101|110 0x036E
6 0 0000111|0010|001 0x0391
6 1 0001000|1011|001 0x0459
6 2 0001001|0011|001 0x0499
6 3 0001010|1001|001 0x0549
6 4 0001011|0010|001 0x0591
6 5 0001110|0011|111 0x071F
7 0 0010010|0001|011 0x090B
7 1 0010100|0000|100 0x0A04
7 2 0010110|0101|111 0x0B2F
BX = 101 Event : 6
0 0 0100010|0101|010 0x112A
0 1 0100100|1001|101 0x124D
0 2 0100101|1010|110 0x12D6
0 3 0100110|0011|110 0x131E
0 4 0100111|1001|110 0x13CE
0 5 0101000|1000|110 0x1446
0 6 0101001|0100|111 0x14A7
0 7 0101010|0001|111 0x150F
0 8 0101011|1011|111 0x15DF
0 9 0101100|0000|111 0x1607
0 a 0101101|1001|111 0x16CF
0 b 0101110|1001|111 0x174F
0 c 0101111|0010|111 0x1797
0 d 0110000|0000|111 0x1807
0 e 0110001|0010|111 0x1897
0 f 0110010|1100|111 0x1967
0 10 0110011|1000|111 0x19C7
6 0 0000000|1011|001 0x0059
7 0 0000001|1011|101 0x00DD
BX = 110 Event : 7
BX = 111 Event : 8
2 0 0100101|1011|100 0x12DC
BX = 000 Event : 9
1 0 0011101|0001|010 0x0E8A
1 1 0011110|0001|011 0x0F0B
5 0 0000001|0100|100 0x00A4
BX = 001 Event : 10
1 0 0010000|0011|011 0x081B
2 0 0010001|0011|001 0x0899
3 0 0010100|0011|000 0x0A18
7 0 0000001|1100|010 0x00E2
7 1 0000010|0100|111 0x0127
BX = 010 Event : 11
0 0 0011010|0010|010 0x0D12
0 1 0011100|0010|110 0x0E16
3 0 0011101|0000|000 0x0E80
3 1 0011110|0000|000 0x0F00
3 2 0011111|0010|000 0x0F90
BX = 011 Event : 12
0 0 0001111|0000|110 0x0786
2 0 0010010|0000|100 0x0904
2 1 0010011|1000|100 0x09C4
2 2 0010100|1011|100 0x0A5C
5 0 0000000|1101|010 0x006A
5 1 0000001|1100|011 0x00E3
6 0 0000010|0100|110 0x0126
BX = 100 Event : 13
0 0 0010010|0100|111 0x0927
3 0 0010011|1100|000 0x09E0
5 0 0000001|0100|000 0x00A0
5 1 0000010|0101|010 0x012A
5 2 0000011|0101|011 0x01AB
6 0 0000100|1100|111 0x0267
BX = 101 Event : 14
0 0 0001110|1101|011 0x076B
0 1 0001111|0001|101 0x078D
0 2 0010000|1001|101 0x084D
0 3 0010001|0010|101 0x0895
0 4 0010010|0000|101 0x0905
0 5 0010011|0100|101 0x09A5
0 6 0010100|0001|101 0x0A0D
0 7 0010101|0001|101 0x0A8D
0 8 0010110|1010|101 0x0B55
0 9 0010111|1101|101 0x0BED
0 a 0011000|0010|110 0x0C16
0 b 0011001|1011|110 0x0CDE
0 c 0011010|0010|111 0x0D17
0 d 0011011|0100|111 0x0DA7
1 0 0011100|0100|000 0x0E20
1 1 0011101|0001|000 0x0E88
1 2 0011110|1000|000 0x0F40
1 3 0011111|1011|000 0x0FD8
1 4 0100000|0000|000 0x1000
1 5 0100001|0001|000 0x1088
1 6 0100010|1010|000 0x1150
1 7 0100011|0001|000 0x1188
1 8 0100101|1011|010 0x12DA
1 9 0100110|1100|010 0x1362
1 a 0100111|0101|010 0x13AA
1 b 0101000|1000|010 0x1442
3 0 0110100|0010|110 0x1A16
3 1 0110101|0101|111 0x1AAF
6 0 0000000|0101|011 0x002B
6 1 0000001|0010|011 0x0093
6 2 0000010|1010|011 0x0153
6 3 0000011|0010|011 0x0193
BX = 110 Event : 15
0 0 0010001|0011|011 0x089B
2 0 0010010|1011|111 0x095F
3 0 0010011|0001|000 0x0988
3 1 0010100|0101|111 0x0A2F
4 0 0000000|0100|010 0x0022
4 1 0000001|1011|011 0x00DB
4 2 0000010|0100|011 0x0123
4 3 0000011|0100|100 0x01A4
4 4 0000100|0100|100 0x0224
4 5 0000101|0100|100 0x02A4
5 0 0000111|1100|010 0x03E2
6 0 0001000|0010|111 0x0417
BX = 111 Event : 16
0 0 0001110|1100|010 0x0762
1 0 0010000|0001|011 0x080B
1 1 0010001|1011|011 0x08DB
1 2 0010010|0001|011 0x090B
1 3 0010011|1100|011 0x09E3
1 4 0010101|1101|101 0x0AED
1 5 0010110|1011|101 0x0B5D
1 6 0010111|0100|101 0x0BA5
1 7 0011000|1100|111 0x0C67
1 8 0011001|1000|111 0x0CC7
1 9 0011010|0101|111 0x0D2F
6 0 0000001|1101|101 0x00ED
6 1 0000010|0010|101 0x0115
6 2 0000011|1001|110 0x01CE
BX = 000 Event : 17
0 0 0100011|1000|101 0x11C5
