BX = 000 Event : 1
0x00 0001011|100|11|0001000101 0x05CC45
0x01 0001100|110|10|0010010000 0x066890
0x02 0001101|001|11|0001010000 0x069C50
0x03 0010000|110|00|0001001111 0x08604F
0x04 0010101|010|10|0010100000 0x0AA8A0
0x05 0011011|000|00|0010100011 0x0D80A3
0x06 0011101|100|11|0011110010 0x0ECCF2
0x07 0101100|101|01|0001010010 0x165452
0x08 0110100|001|01|0010100011 0x1A14A3
0x09 0111000|011|01|0010110101 0x1C34B5
0x0a 0111010|010|00|0000110111 0x1D2037
0x0b 0111011|010|00|0000110111 0x1DA037
BX = 001 Event : 2
0x00 0010001|000|11|0001010001 0x088C51
0x01 0010101|100|11|0001010001 0x0ACC51
0x02 0100001|101|01|0010100010 0x10D4A2
0x03 0100010|010|11|0010100010 0x112CA2
0x04 0100011|010|11|0010100010 0x11ACA2
0x05 0101000|100|00|0010110011 0x1440B3
0x06 0101001|100|00|0010110011 0x14C0B3
0x07 0101011|111|01|0001110110 0x15F476
0x08 0110110|000|01|0001001111 0x1B044F
0x09 0111100|101|01|0001001111 0x1E544F
0x0a 1000001|001|01|0001100001 0x209461
BX = 010 Event : 3
0x00 0001010|100|01|0010000100 0x054484
0x01 0010001|010|00|0001001111 0x08A04F
0x02 0010100|110|11|0010010011 0x0A6C93
0x03 0011001|101|01|0010011110 0x0CD49E
0x04 0011111|000|00|0010100100 0x0F80A4
0x05 0100010|001|11|0010110010 0x111CB2
0x06 0100011|001|11|0010110010 0x119CB2
0x07 0101111|100|10|0010000011 0x17C883
0x08 1000010|101|11|0010100000 0x215CA0
0x09 1000100|001|10|0010100011 0x2218A3
0x0a 1000101|100|10|0010100011 0x22C8A3
0x0b 1000110|010|10|0010100101 0x2328A5
BX = 011 Event : 4
0x00 0010011|001|10|0010011110 0x09989E
0x01 0011000|001|10|0010011110 0x0C189E
0x02 0011010|001|00|0010100101 0x0D10A5
0x03 0011011|110|11|0011100011 0x0DECE3
0x04 0011111|010|10|0010110010 0x0FA8B2
0x05 0110011|001|00|0010010101 0x199095
0x06 1000000|000|01|0010100100 0x2004A4
0x07 1000001|100|01|0010100100 0x20C4A4
BX = 100 Event : 5
0x00 0001001|100|01|0010001110 0x04C48E
0x01 0001110|010|00|0010011110 0x07209E
0x02 0001111|101|11|0010010100 0x07DC94
0x03 0010001|100|11|0010011110 0x08CC9E
0x04 0010010|001|00|0010011110 0x09109E
0x05 0010011|010|00|0010100010 0x09A0A2
0x06 0010100|010|01|0010100010 0x0A24A2
0x07 0010110|010|00|0010100010 0x0B20A2
0x08 0010111|010|01|0010100010 0x0BA4A2
0x09 0011001|100|01|0010100101 0x0CC4A5
0x0a 0101100|101|00|0010010000 0x165090
0x0b 0101110|101|11|0001010011 0x175C53
0x0c 0110010|001|00|0010100000 0x1910A0
0x0d 0110011|100|10|0010100000 0x19C8A0
0x0e 0111010|111|10|0011110000 0x1D78F0
0x0f 0111011|001|00|0001110110 0x1D9076
BX = 101 Event : 6
0x00 0001110|000|00|0001001111 0x07004F
0x01 0001111|000|00|0010000101 0x078085
0x02 0010010|010|00|0010010000 0x092090
0x03 0010111|100|10|0010010101 0x0BC895
0x04 0011001|010|11|0001010100 0x0CAC54
0x05 0011011|010|01|0011100100 0x0DA4E4
0x06 0011110|010|01|0010100100 0x0F24A4
0x07 0100000|011|10|0010110000 0x1038B0
0x08 0111110|100|10|0010000100 0x1F4884
0x09 1000000|000|00|0001010001 0x200051
0x0a 1000001|001|00|0001010001 0x209051
0x0b 1001001|001|11|0010011110 0x249C9E
0x0c 1001011|110|00|0010010010 0x25E092
0x0d 1001110|010|01|0001011111 0x27245F
0x0e 1010100|100|01|0010100010 0x2A44A2
0x0f 1010101|010|00|0010100010 0x2AA0A2
0x10 1010110|010|00|0010100010 0x2B20A2
0x11 1010111|000|01|0010100001 0x2B84A1
0x12 1011000|100|11|0010100001 0x2C4CA1
0x13 1100000|010|11|0010110000 0x302CB0
BX = 110 Event : 7
0x00 0010100|101|11|0001010010 0x0A5C52
0x01 0010101|101|00|0010010001 0x0AD091
0x02 0100111|011|01|0000110111 0x13B437
0x03 0111110|010|01|0001010000 0x1F2450
0x04 1001011|101|11|0010011110 0x25DC9E
0x05 1010001|101|11|0001100101 0x28DC65
BX = 111 Event : 8
0x00 0000111|001|00|0010000011 0x039083
0x01 0001000|001|00|0010010010 0x041092
0x02 0001100|000|01|0001010000 0x060450
0x03 0001101|000|01|0001010000 0x068450
0x04 0001110|101|10|0010001111 0x07588F
0x05 0010100|011|00|0010011111 0x0A309F
0x06 0010101|001|00|0011100100 0x0A90E4
0x07 0010110|100|11|0010100001 0x0B4CA1
0x08 0010111|001|00|0010100101 0x0B90A5
0x09 0011000|000|00|0010100101 0x0C00A5
0x0a 0011001|010|00|0010100100 0x0CA0A4
0x0b 0011010|100|10|0010110000 0x0D48B0
0x0c 0011100|110|01|0011110010 0x0E64F2
0x0d 0100001|110|01|0010110010 0x10E4B2
0x0e 0110100|110|11|0001010000 0x1A6C50
BX = 000 Event : 9
0x00 0001001|000|00|0001000101 0x048045
0x01 0001010|100|00|0010000100 0x054084
0x02 0001011|000|00|0001000100 0x058044
0x03 0001110|110|00|0001010010 0x076052
0x04 0001111|010|00|0010001111 0x07A08F
0x05 0010011|011|10|0010011110 0x09B89E
0x06 0010101|000|00|0010100001 0x0A80A1
0x07 0100101|100|10|0010010000 0x12C890
0x08 0101000|100|11|0010010101 0x144C95
0x09 0101110|001|11|0010100000 0x171CA0
0x0a 0110000|110|01|0001011111 0x18645F
0x0b 0110001|011|11|0010011110 0x18BC9E
0x0c 0110011|101|01|0010011110 0x19D49E
0x0d 0110100|100|11|0001010110 0x1A4C56
0x0e 0110101|100|11|0010010101 0x1ACC95
BX = 001 Event : 10
0x00 0000111|101|10|0010010010 0x03D892
0x01 0100101|010|01|0010010001 0x12A491
BX = 010 Event : 11
0x00 0000111|100|11|0001001111 0x03CC4F
0x01 0001001|001|01|0010010010 0x049492
0x02 0010010|100|11|0001001111 0x094C4F
0x03 0010011|101|10|0001001111 0x09D84F
0x04 0010101|101|10|0010010101 0x0AD895
0x05 0010110|001|10|0001010100 0x0B1854
0x06 0011010|101|10|0001010110 0x0D5856
0x07 0011101|000|00|0010110010 0x0E80B2
0x08 0100111|100|11|0001001111 0x13CC4F
0x09 0101100|101|00|0010010011 0x165093
0x0a 0110000|001|00|0010011111 0x18109F
BX = 011 Event : 12
0x00 0010101|001|10|0001001111 0x0A984F
0x01 0011101|000|10|0010010010 0x0E8892
0x02 0100100|100|11|0001001111 0x124C4F
0x03 0100101|100|11|0001001111 0x12CC4F
0x04 0100111|100|10|0010010101 0x13C895
0x05 0101110|000|11|0010011110 0x170C9E
0x06 0110010|000|00|0010100011 0x1900A3
0x07 0111001|010|01|0010110101 0x1CA4B5
0x08 1010000|000|11|0001001111 0x280C4F
0x09 1010001|110|11|0010010011 0x28EC93
0x0a 1011000|010|00|0010100010 0x2C20A2
BX = 100 Event : 13
0x00 0001110|100|00|0001001111 0x07404F
0x01 0011010|001|01|0010011111 0x0D149F
0x02 0101110|010|10|0010010000 0x172890
0x03 0110010|001|01|0001010000 0x191450
0x04 0110011|000|01|0010010101 0x198495
0x05 0110101|101|11|0010100000 0x1ADCA0
0x06 0110110|101|11|0010100000 0x1B5CA0
0x07 0110111|000|01|0010110000 0x1B84B0
BX = 101 Event : 14
0x00 0010011|010|10|0010010000 0x09A890
0x01 0010100|100|10|0010010000 0x0A4890
0x02 0010110|001|10|0010001111 0x0B188F
