BX = 000 Event : 1
1 0 0001111|010|111|000 0x1EB8
1 1 0010101|110|111|010 0x2BBA
1 2 0011010|100|110|110 0x3536
3 0 0100000|010|101|011 0x40AB
4 0 0101010|100|101|011 0x552B
4 1 0101011|001|010|001 0x5651
5 0 0101110|100|001|000 0x5D08
5 1 0110011|011|001|001 0x66C9
5 2 0110101|001|010|100 0x6A54
BX = 001 Event : 2
0 0 0001110|001|001|100 0x1C4C
0 1 0010000|100|111|111 0x213F
1 0 0100000|101|111|000 0x4178
1 1 0100101|110|001|010 0x4B8A
1 2 0100110|101|111|010 0x4D7A
2 0 0100111|001|101|001 0x4E69
2 1 0101000|010|100|001 0x50A1
2 2 0101001|001|111|001 0x5279
3 0 0101100|011|111|000 0x58F8
4 0 0111000|001|000|101 0x7045
4 1 0111011|100|000|100 0x7704
4 2 0111100|010|010|100 0x7894
6 0 1000011|010|001|010 0x868A
7 0 1001000|101|110|100 0x9174
BX = 010 Event : 3
0 0 0000011|001|110|010 0x0672
0 1 0000100|100|000|010 0x0902
0 2 0001000|001|000|001 0x1041
0 3 0001010|000|011|100 0x141C
0 4 0010001|100|010|111 0x2317
1 0 0010110|101|011|010 0x2D5A
1 1 0011000|110|001|010 0x318A
1 2 0011100|010|001|111 0x388F
2 0 0011110|101|000|010 0x3D42
2 1 0011111|000|000|010 0x3E02
3 0 0100111|101|111|100 0x4F7C
3 1 0101000|011|111|100 0x50FC
4 0 0110110|000|110|110 0x6C36
4 1 0110111|001|110|110 0x6E76
4 2 0111010|101|100|100 0x7564
4 3 1000000|000|101|110 0x802E
5 0 0111100|100|000|001 0x7901
5 1 1000001|100|001|100 0x830C
BX = 011 Event : 4
0 0 0001011|000|000|100 0x1604
0 1 0001110|000|000|100 0x1C04
1 0 0010011|110|010|011 0x2793
1 1 0010110|110|001|110 0x2D8E
2 0 0011001|010|101|101 0x32AD
2 1 0011010|001|101|101 0x346D
4 0 0101111|101|010|101 0x5F55
5 0 0111001|101|010|110 0x7356
6 0 0111010|101|011|010 0x755A
6 1 0111011|100|011|010 0x771A
6 2 0111101|101|011|011 0x7B5B
6 3 0111110|000|111|101 0x7C3D
7 0 0111111|001|100|010 0x7E62
7 1 1000000|000|100|000 0x8020
BX = 100 Event : 5
0 0 0001110|001|101|011 0x1C6B
0 1 0010000|100|110|010 0x2132
0 2 0010001|001|100|010 0x2262
0 3 0010010|101|011|110 0x255E
