BX = 000 Event : 1
0 0 0010100|010|001|110 0x288E
1 0 0011101|001|100|100 0x3A64
2 0 0011110|011|010|010 0x3CD2
4 0 0101111|000|001|100 0x5E0C
4 1 0110000|010|101|100 0x60AC
5 0 0110010|001|011|001 0x6459
5 1 0110011|010|101|000 0x66A8
5 2 0111100|010|110|100 0x78B4
7 0 1000101|001|100|001 0x8A61
BX = 001 Event : 2
0 0 0010100|010|010|101 0x2895
0 1 0010111|010|000|111 0x2E87
3 0 0101001|001|110|000 0x5270
4 0 0111011|001|011|100 0x765C
4 1 0111100|001|011|100 0x785C
5 0 0111110|001|101|001 0x7C69
5 1 1000111|001|010|110 0x8E56
BX = 010 Event : 3
0 0 0001100|010|110|111 0x18B7
4 0 0011110|010|000|111 0x3C87
4 1 0100010|100|000|110 0x4506
5 0 0101101|011|011|100 0x5ADC
5 1 0101110|100|110|010 0x5D32
6 0 0110001|001|110|100 0x6274
BX = 011 Event : 4
0 0 0001011|100|000|010 0x1702
0 1 0001111|000|001|001 0x1E09
4 0 0101010|000|000|110 0x5406
6 0 0111011|100|010|101 0x7715
6 1 0111110|100|100|110 0x7D26
BX = 100 Event : 5
5 0 0100111|100|000|010 0x4F02
5 1 0101100|000|000|010 0x5802
BX = 101 Event : 6
0 0 0010011|100|010|010 0x2712
1 0 0100000|100|111|001 0x4139
1 1 0100010|100|110|000 0x4530
1 2 0100011|001|110|000 0x4670
1 3 0100101|001|111|011 0x4A7B
2 0 0101100|100|100|100 0x5924
3 0 0110000|100|111|100 0x613C
4 0 0111100|000|011|010 0x781A
4 1 0111111|100|001|101 0x7F0D
4 2 1000010|001|101|100 0x846C
5 0 1001001|010|011|110 0x929E
6 0 1001011|001|111|011 0x967B
7 0 1001111|010|100|010 0x9EA2
7 1 1010000|010|010|101 0xA095
BX = 110 Event : 7
1 0 0010010|001|011|000 0x2458
1 1 0010011|001|011|100 0x265C
1 2 0010100|010|001|011 0x288B
1 3 0010111|100|101|111 0x2F2F
2 0 0011101|001|111|011 0x3A7B
2 1 0011110|011|011|011 0x3CDB
2 2 0011111|100|011|111 0x3F1F
3 0 0100100|100|011|000 0x4918
3 1 0100101|011|111|110 0x4AFE
BX = 111 Event : 8
0 0 0001111|100|011|001 0x1F19
0 1 0010011|100|010|110 0x2716
0 2 0010101|000|110|110 0x2A36
0 3 0010111|001|010|110 0x2E56
0 4 0011000|001|010|101 0x3055
1 0 0100000|000|000|100 0x4004
1 1 0100001|010|101|011 0x42AB
1 2 0100101|010|010|101 0x4A95
1 3 0100110|100|010|101 0x4D15
2 0 0101000|010|010|000 0x5090
4 0 0110100|000|000|010 0x6802
4 1 0110101|100|000|010 0x6B02
4 2 0110111|100|100|010 0x6F22
4 3 0111001|000|000|110 0x7206
4 4 1000001|001|010|111 0x8257
5 0 1001100|001|110|111 0x9877
6 0 1001010|000|110|000 0x9430
6 1 1001110|011|100|100 0x9CE4
BX = 000 Event : 9
0 0 0001010|100|101|010 0x152A
0 1 0001110|010|110|101 0x1CB5
0 2 0001111|000|000|100 0x1E04
4 0 0101101|010|010|100 0x5A94
6 0 0111000|010|011|001 0x7099
6 1 0111011|011|011|111 0x76DF
BX = 001 Event : 10
0 0 0000110|100|100|011 0x0D23
1 0 0001011|010|111|000 0x16B8
2 0 0011010|001|010|111 0x3457
4 0 0100100|000|010|010 0x4812
4 1 0100101|100|111|001 0x4B39
BX = 010 Event : 11
0 0 0001011|000|011|001 0x1619
0 1 0001100|000|100|001 0x1821
0 2 0001101|010|001|110 0x1A8E
3 0 0010101|011|010|001 0x2AD1
4 0 0100010|100|010|100 0x4514
4 1 0100100|000|010|010 0x4812
4 2 0101011|000|010|100 0x5614
4 3 0101100|000|010|100 0x5814
5 0 0111001|000|001|110 0x720E
7 0 1000000|001|010|001 0x8051
BX = 011 Event : 12
0 0 0001110|100|010|001 0x1D11
0 1 0011010|010|010|110 0x3496
3 0 0100111|011|100|001 0x4EE1
3 1 0101100|010|111|100 0x58BC
3 2 0101101|100|111|011 0x5B3B
4 0 1000010|000|101|001 0x8429
5 0 1001000|001|111|001 0x9079
5 1 1001101|001|111|010 0x9A7A
5 2 1010000|000|011|111 0xA01F
