BX = 000 Event : 1
1 0 0010110|100|000|000 0x2D00
1 1 0011001|001|010|101 0x3255
1 2 0011011|001|001|100 0x364C
1 3 0011100|000|011|010 0x381A
5 0 0111100|100|110|000 0x7930
6 0 1000101|011|101|011 0x8AEB
7 0 1000110|010|001|001 0x8C89
7 1 1001001|010|001|001 0x9289
7 2 1001010|010|001|001 0x9489
BX = 001 Event : 2
1 0 0010011|001|010|000 0x2650
1 1 0011110|000|110|110 0x3C36
1 2 0011111|011|101|110 0x3EEE
2 0 0100100|100|000|101 0x4905
2 1 0100110|001|010|011 0x4C53
5 0 0110110|100|111|000 0x6D38
5 1 0110111|001|011|011 0x6E5B
5 2 0111000|010|010|011 0x7093
6 0 0111011|010|011|111 0x769F
7 0 0111110|011|001|011 0x7CCB
BX = 010 Event : 3
1 0 0001110|100|000|010 0x1D02
1 1 0010001|100|101|000 0x2328
1 2 0010100|001|000|011 0x2843
1 3 0011010|001|000|100 0x3444
5 0 0111010|100|110|100 0x7534
5 1 0111011|000|101|011 0x762B
6 0 1000100|100|010|010 0x8912
BX = 011 Event : 4
1 0 0010010|001|000|011 0x2443
6 0 0100011|000|010|101 0x4615
BX = 100 Event : 5
2 0 0011011|000|001|000 0x3608
2 1 0100000|100|001|000 0x4108
2 2 0100010|000|111|100 0x443C
2 3 0100011|011|011|011 0x46DB
2 4 0100100|000|011|011 0x481B
5 0 0110000|000|000|000 0x6000
5 1 0110001|000|001|001 0x6209
5 2 0110010|000|000|000 0x6400
5 3 0110101|001|101|011 0x6A6B
5 4 0110110|000|001|010 0x6C0A
6 0 0111101|000|010|110 0x7A16
BX = 101 Event : 6
1 0 0010101|001|100|001 0x2A61
1 1 0010110|000|000|010 0x2C02
1 2 0010111|000|000|010 0x2E02
1 3 0011110|001|011|110 0x3C5E
1 4 0011111|000|111|110 0x3E3E
1 5 0100000|001|011|101 0x405D
5 0 1001001|100|011|000 0x9318
5 1 1010010|011|110|110 0xA4F6
7 0 1011110|100|111|001 0xBD39
BX = 110 Event : 7
5 0 1000100|000|110|000 0x8830
5 1 1001011|011|011|111 0x96DF
5 2 1001101|001|001|110 0x9A4E
5 3 1001110|010|001|110 0x9C8E
6 0 1010111|010|101|110 0xAEAE
BX = 111 Event : 8
0 0 0011011|000|100|111 0x3627
1 0 0010111|100|100|010 0x2F22
1 1 0011000|000|111|000 0x3038
1 2 0011001|100|010|000 0x3310
1 3 0011010|001|001|000 0x3448
2 0 0100010|001|100|010 0x4462
2 1 0100011|000|100|010 0x4622
5 0 1000010|100|001|001 0x8509
6 0 1011011|010|010|110 0xB696
BX = 000 Event : 9
1 0 0000111|100|101|001 0x0F29
3 0 0010110|010|001|001 0x2C89
5 0 0100010|000|111|010 0x443A
5 1 0100111|010|111|011 0x4EBB
5 2 0101000|000|110|010 0x5032
5 3 0101010|011|100|110 0x54E6
6 0 0101101|100|111|010 0x5B3A
7 0 0110000|001|010|011 0x6053
BX = 001 Event : 10
1 0 0010001|011|000|110 0x22C6
2 0 0010000|100|000|000 0x2100
5 0 0101001|000|110|011 0x5233
5 1 0101100|011|111|111 0x58FF
BX = 010 Event : 11
1 0 0010001|000|111|010 0x223A
1 1 0010110|001|001|101 0x2C4D
1 2 0011001|100|100|100 0x3324
1 3 0011010|100|100|100 0x3524
1 4 0011011|000|110|010 0x3632
1 5 0011111|001|001|101 0x3E4D
2 0 0100011|010|010|101 0x4695
2 1 0100101|011|111|101 0x4AFD
2 2 0101000|011|000|111 0x50C7
6 0 1001101|100|011|110 0x9B1E
6 1 1001111|001|101|101 0x9E6D
6 2 1010000|000|101|101 0xA02D
BX = 011 Event : 12
1 0 0001101|001|100|010 0x1A62
1 1 0010100|000|100|010 0x2822
3 0 0100000|010|110|001 0x40B1
5 0 0111010|100|110|100 0x7534
6 0 1000100|010|001|100 0x888C
BX = 100 Event : 13
0 0 0001111|001|100|111 0x1E67
1 0 0001101|001|110|001 0x1A71
1 1 0001110|100|100|000 0x1D20
1 2 0010010|000|001|011 0x240B
2 0 0010111|010|001|001 0x2E89
2 1 0011001|100|101|101 0x332D
3 0 0011101|010|000|000 0x3A80
5 0 0101000|100|001|000 0x5108
5 1 0101010|100|001|000 0x5508
5 2 0101110|100|101|011 0x5D2B
5 3 0110011|001|111|101 0x667D
BX = 101 Event : 14
0 0 0010100|100|111|111 0x293F
1 0 0011011|010|000|101 0x3685
5 0 0111000|100|011|001 0x7119
5 1 0111001|000|001|000 0x7208
5 2 0111110|001|100|101 0x7C65
5 3 1000100|010|100|101 0x88A5
BX = 110 Event : 15
5 0 0101111|100|100|000 0x5F20
BX = 111 Event : 16
0 0 0000101|001|011|111 0x0A5F
5 0 0100110|000|101|000 0x4C28
5 1 0100111|000|010|000 0x4E10
5 2 0101011|010|110|011 0x56B3
6 0 0110101|010|110|010 0x6AB2
BX = 000 Event : 17
1 0 0001010|000|011|010 0x141A
1 1 0001101|010|110|100 0x1AB4
1 2 0001110|100|001|010 0x1D0A
2 0 0010101|011|110|011 0x2AF3
5 0 0101000|001|011|010 0x505A
5 1 0101110|010|011|011 0x5C9B
BX = 001 Event : 18
1 0 0010110|000|011|100 0x2C1C
1 1 0010111|000|110|100 0x2E34
5 0 0110101|010|000|101 0x6A85
5 1 0110110|000|100|011 0x6C23
5 2 0110111|001|001|011 0x6E4B
5 3 0111000|001|001|010 0x704A
5 4 0111011|010|001|101 0x768D
6 0 1000000|001|110|011 0x8073
7 0 1000001|010|010|000 0x8290
BX = 010 Event : 19
1 0 0000111|001|010|010 0x0E52
2 0 0001111|001|011|000 0x1E58
5 0 0101110|000|000|010 0x5C02
5 1 0110110|010|100|010 0x6CA2
5 2 0111101|010|100|110 0x7AA6
6 0 0111011|011|011|000 0x76D8
6 1 0111111|010|001|010 0x7E8A
7 0 1001001|001|111|001 0x9279
BX = 011 Event : 20
1 0 0001110|100|010|010 0x1D12
1 1 0010001|100|101|100 0x232C
1 2 0010010|010|110|011 0x24B3
1 3 0010011|100|100|010 0x2722
5 0 0101001|100|111|010 0x533A
5 1 0101011|010|011|101 0x569D
5 2 0110001|001|011|101 0x625D
5 3 0110010|011|011|101 0x64DD
6 0 0111000|100|101|110 0x712E
7 0 0111110|010|010|010 0x7C92
BX = 100 Event : 21
2 0 0010011|001|011|110 0x265E
5 0 0100000|100|010|010 0x4112
6 0 0101001|100|110|001 0x5331
BX = 101 Event : 22
1 0 0010000|001|011|110 0x205E
1 1 0010001|100|110|110 0x2336
6 0 0110110|000|110|100 0x6C34
BX = 110 Event : 23
1 0 0001101|100|101|000 0x1B28
2 0 0011111|011|000|000 0x3EC0
2 1 0100111|100|011|100 0x4F1C
3 0 0101010|011|111|001 0x54F9
5 0 0110110|001|001|001 0x6C49
6 0 0111001|100|001|000 0x7308
6 1 0111010|010|001|001 0x7489
6 2 0111100|000|111|110 0x783E
7 0 0111111|001|011|000 0x7E58
7 1 1000000|100|000|011 0x8103
7 2 1000001|010|000|011 0x8283
BX = 111 Event : 24
1 0 0001010|000|011|010 0x141A
1 1 0001011|000|100|000 0x1620
1 2 0001100|000|001|000 0x1808
1 3 0010001|001|011|010 0x225A
2 0 0010100|001|111|000 0x2878
2 1 0011001|000|111|001 0x3239
2 2 0011011|011|000|011 0x36C3
5 0 0110101|001|110|000 0x6A70
5 1 0111101|010|110|110 0x7AB6
6 0 0111110|100|101|100 0x7D2C
6 1 0111111|011|110|100 0x7EF4
BX = 000 Event : 25
1 0 0001101|100|011|010 0x1B1A
1 1 0010011|000|010|100 0x2614
1 2 0010100|100|010|100 0x2914
1 3 0010101|100|010|100 0x2B14
1 4 0010110|100|111|100 0x2D3C
1 5 0011010|100|100|101 0x3525
2 0 0011001|100|011|000 0x3318
2 1 0011101|100|011|000 0x3B18
3 0 0100011|001|000|001 0x4641
5 0 0110010|010|100|011 0x64A3
BX = 001 Event : 26
1 0 0010100|100|101|011 0x292B
2 0 0010111|100|000|000 0x2F00
2 1 0011110|000|111|101 0x3C3D
5 0 0101101|100|000|000 0x5B00
5 1 0101110|001|100|000 0x5C60
5 2 0101111|000|011|000 0x5E18
