BX = 000 Event : 1
1 0 0010001|100|000|110 0x2306
1 1 0010010|001|110|110 0x2476
1 2 0010111|100|110|110 0x2F36
2 0 0011000|101|011|010 0x315A
2 1 0011010|011|010|011 0x34D3
5 0 0110110|101|111|110 0x6D7E
6 0 0111100|110|110|011 0x79B3
6 1 0111101|101|110|010 0x7B72
6 2 1000111|000|110|100 0x8E34
6 3 1001011|011|100|110 0x96E6
BX = 001 Event : 2
1 0 0001100|100|000|100 0x1904
1 1 0001110|010|100|100 0x1CA4
1 2 0001111|000|100|100 0x1E24
1 3 0010010|101|111|110 0x257E
1 4 0010100|010|111|110 0x28BE
2 0 0010110|000|010|011 0x2C13
2 1 0010111|110|110|010 0x2FB2
5 0 0110101|000|101|001 0x6A29
5 1 0111011|101|011|010 0x775A
5 2 0111101|100|111|010 0x7B3A
BX = 010 Event : 3
1 0 0010010|010|101|100 0x24AC
1 1 0010011|100|101|100 0x272C
1 2 0010100|100|000|100 0x2904
1 3 0010101|101|001|010 0x2B4A
1 4 0010111|110|110|111 0x2FB7
1 5 0011000|001|011|110 0x305E
3 0 0100000|010|100|100 0x40A4
5 0 0110001|010|000|011 0x6283
5 1 0110011|101|010|010 0x6752
5 2 0111000|001|111|110 0x707E
6 0 0111100|101|100|101 0x7965
6 1 0111101|010|010|100 0x7A94
BX = 011 Event : 4
1 0 0001111|100|011|000 0x1F18
1 1 0010101|000|011|101 0x2A1D
1 2 0010111|010|001|010 0x2E8A
1 3 0011000|000|010|010 0x3012
1 4 0011101|100|101|110 0x3B2E
1 5 0011110|101|010|101 0x3D55
2 0 0100111|110|000|100 0x4F84
5 0 1000100|101|000|010 0x8942
5 1 1000101|110|100|110 0x8BA6
6 0 1000111|010|110|011 0x8EB3
6 1 1001001|110|011|101 0x939D
BX = 100 Event : 5
0 0 0010100|100|010|111 0x2917
1 0 0010010|001|101|001 0x2469
1 1 0010011|000|010|000 0x2610
1 2 0010110|100|110|100 0x2D34
2 0 0100100|111|100|101 0x49E5
2 1 0100101|111|010|100 0x4BD4
5 0 0111001|001|110|010 0x7272
6 0 1000001|011|100|110 0x82E6
6 1 1000011|111|010|101 0x87D5
6 2 1000110|011|100|110 0x8CE6
BX = 101 Event : 6
2 0 0100000|100|000|110 0x4106
2 1 0100110|010|001|110 0x4C8E
3 0 0100011|110|110|001 0x47B1
3 1 0100100|100|110|000 0x4930
5 0 0111101|110|010|111 0x7B97
5 1 0111110|000|100|101 0x7C25
6 0 1000101|101|001|010 0x8B4A
6 1 1001010|000|110|110 0x9436
6 2 1001101|000|101|110 0x9A2E
BX = 110 Event : 7
0 0 0011110|100|100|111 0x3D27
1 0 0011111|000|000|101 0x3E05
2 0 0101000|010|011|010 0x509A
2 1 0101001|101|011|001 0x5359
2 2 0101010|100|001|000 0x5508
2 3 0101110|000|100|111 0x5C27
5 0 1000100|100|110|101 0x8935
5 1 1000101|000|001|101 0x8A0D
5 2 1000110|110|010|100 0x8D94
5 3 1000111|010|110|100 0x8EB4
5 4 1001010|001|000|010 0x9442
6 0 1001110|110|101|010 0x9DAA
BX = 111 Event : 8
1 0 0010000|010|001|010 0x208A
2 0 0010010|000|100|000 0x2420
2 1 0010110|001|000|001 0x2C41
2 2 0010111|100|100|000 0x2F20
2 3 0011010|110|001|101 0x358D
2 4 0011101|001|110|110 0x3A76
5 0 0111010|110|110|010 0x75B2
5 1 0111110|110|100|111 0x7DA7
BX = 000 Event : 9
1 0 0001000|010|100|100 0x10A4
3 0 0001111|110|010|001 0x1F91
3 1 0010000|100|010|000 0x2110
5 0 0011111|001|101|000 0x3E68
5 1 0100110|100|001|110 0x4D0E
6 0 0101010|110|101|001 0x55A9
BX = 001 Event : 10
1 0 0001101|101|100|110 0x1B66
1 1 0010011|000|111|110 0x263E
1 2 0010110|101|111|101 0x2D7D
3 0 0011010|000|111|001 0x3439
3 1 0011011|011|111|000 0x36F8
3 2 0011100|001|101|000 0x3868
5 0 0100011|100|011|010 0x471A
5 1 0101000|100|100|010 0x5122
6 0 0110001|001|001|010 0x624A
6 1 0110010|110|111|001 0x65B9
6 2 0110110|011|001|110 0x6CCE
6 3 0111110|011|010|111 0x7CD7
BX = 010 Event : 11
2 0 0010100|010|110|000 0x28B0
2 1 0010101|100|111|100 0x2B3C
2 2 0011001|000|111|110 0x323E
5 0 0110111|101|011|101 0x6F5D
6 0 1000001|100|011|010 0x831A
6 1 1000111|011|111|100 0x8EFC
6 2 1001011|110|011|110 0x979E
7 0 1001100|010|001|001 0x9889
BX = 011 Event : 12
1 0 0001111|100|111|000 0x1F38
2 0 0010111|100|100|000 0x2F20
2 1 0011101|110|100|000 0x3BA0
2 2 0011111|011|000|110 0x3EC6
3 0 0100010|001|101|000 0x4468
6 0 0111100|000|110|101 0x7835
BX = 100 Event : 13
1 0 0001000|000|001|000 0x1008
2 0 0001101|101|000|100 0x1B44
2 1 0001110|101|001|100 0x1D4C
2 2 0001111|110|011|011 0x1F9B
5 0 0100011|001|110|110 0x4676
6 0 0100010|001|011|000 0x4458
7 0 0100110|011|000|100 0x4CC4
BX = 101 Event : 14
1 0 0001111|100|111|100 0x1F3C
2 0 0010011|110|111|000 0x27B8
2 1 0010110|110|111|000 0x2DB8
2 2 0011011|000|000|010 0x3602
2 3 0011111|011|011|111 0x3EDF
BX = 110 Event : 15
1 0 0010001|000|100|000 0x2220
1 1 0010010|010|001|111 0x248F
1 2 0010011|010|001|111 0x268F
1 3 0010100|011|000|110 0x28C6
2 0 0011000|011|011|100 0x30DC
5 0 0101010|001|100|010 0x5462
5 1 0101011|000|100|000 0x5620
6 0 0110011|001|010|010 0x6652
6 1 0110100|010|101|001 0x68A9
6 2 0110111|101|011|101 0x6F5D
6 3 0111001|000|101|110 0x722E
BX = 111 Event : 16
1 0 0010000|100|011|000 0x2118
2 0 0100011|101|001|011 0x474B
5 0 0110111|100|011|001 0x6F19
5 1 0111011|101|001|011 0x774B
5 2 1000011|011|101|111 0x86EF
5 3 1000100|001|001|110 0x884E
6 0 1000110|001|010|000 0x8C50
6 1 1000111|101|001|100 0x8F4C
BX = 000 Event : 17
2 0 0001011|001|001|000 0x1648
5 0 0011101|100|010|010 0x3B12
5 1 0011110|001|110|001 0x3C71
5 2 0011111|100|010|001 0x3F11
5 3 0100000|001|101|000 0x4068
5 4 0100001|000|010|000 0x4210
5 5 0100011|010|100|011 0x46A3
5 6 0100100|100|011|010 0x491A
6 0 0100101|000|111|000 0x4A38
6 1 0101000|100|101|010 0x512A
6 2 0110010|001|011|111 0x645F
BX = 001 Event : 18
1 0 0000111|100|001|000 0x0F08
1 1 0001011|010|001|100 0x168C
2 0 0010110|100|000|000 0x2D00
5 0 0101010|100|011|100 0x551C
5 1 0101011|010|000|100 0x5684
5 2 0101100|100|010|011 0x5913
5 3 0101110|110|101|111 0x5DAF
6 0 0110000|100|101|110 0x612E
BX = 010 Event : 19
1 0 0001111|100|000|100 0x1F04
1 1 0010100|100|111|111 0x293F
2 0 0011011|000|100|010 0x3622
3 0 0100011|011|001|010 0x46CA
5 0 0110011|001|001|000 0x6648
5 1 0111000|101|111|111 0x717F
5 2 0111001|110|010|110 0x7396
6 0 0110111|100|000|000 0x6F00
6 1 0111100|010|111|000 0x78B8
6 2 0111110|011|101|100 0x7CEC
7 0 1000010|110|010|010 0x8592
BX = 011 Event : 20
1 0 0001010|100|101|000 0x1528
1 1 0001110|010|001|011 0x1C8B
3 0 0010111|011|011|000 0x2ED8
5 0 0101001|001|010|001 0x5251
5 1 0101010|000|010|001 0x5411
BX = 100 Event : 21
1 0 0001000|001|001|010 0x104A
1 1 0001001|001|000|001 0x1241
1 2 0001010|100|100|101 0x1525
1 3 0001101|101|100|100 0x1B64
2 0 0010010|100|001|000 0x2508
5 0 0101001|100|011|001 0x5319
5 1 0101011|001|100|011 0x5663
BX = 101 Event : 22
1 0 0001101|100|111|001 0x1B39
1 1 0010011|100|001|011 0x270B
1 2 0010111|101|110|111 0x2F77
2 0 0011011|001|000|110 0x3646
2 1 0011100|010|001|110 0x388E
2 2 0011101|010|001|110 0x3A8E
2 3 0011110|000|000|110 0x3C06
5 0 0111000|001|100|000 0x7060
6 0 0111101|000|111|010 0x7A3A
6 1 1000010|010|010|100 0x8494
BX = 110 Event : 23
1 0 0001010|100|111|010 0x153A
1 1 0001111|100|101|110 0x1F2E
2 0 0001110|010|101|000 0x1CA8
5 0 0100001|001|100|011 0x4263
5 1 0100010|010|011|011 0x449B
5 2 0100011|010|010|010 0x4692
6 0 0101000|101|011|010 0x515A
6 1 0101001|011|110|100 0x52F4
6 2 0101100|011|001|111 0x58CF
7 0 0101010|011|001|001 0x54C9
7 1 0101011|101|010|000 0x5750
BX = 111 Event : 24
1 0 0001101|000|001|010 0x1A0A
5 0 0110010|000|101|010 0x642A
5 1 0110101|100|101|111 0x6B2F
5 2 0110110|000|001|110 0x6C0E
7 0 0111101|101|111|000 0x7B78
BX = 000 Event : 25
1 0 0000111|001|011|010 0x0E5A
1 1 0001001|000|111|100 0x123C
1 2 0001010|001|110|011 0x1473
1 3 0001100|010|001|010 0x188A
1 4 0010100|011|011|110 0x28DE
1 5 0010101|001|011|110 0x2A5E
1 6 0010110|101|011|110 0x2D5E
3 0 0100011|100|011|000 0x4718
5 0 0111000|100|100|100 0x7124
6 0 1000100|011|110|101 0x88F5
6 1 1000101|100|010|100 0x8B14
6 2 1000110|011|010|100 0x8CD4
7 0 1001011|010|100|011 0x96A3
BX = 001 Event : 26
1 0 0010101|110|001|110 0x2B8E
