BX = 000 Event : 1
BX = 001 Event : 2
2 0 0100100|0100|011|000 0x09118
2 1 0100101|0011|001|010 0x094CA
BX = 010 Event : 3
1 0 0010100|1000|001|010 0x0520A
1 1 0010101|0000|001|011 0x0540B
6 0 0000000|0001|010|010 0x00052
7 0 0000011|0010|011|010 0x00C9A
BX = 011 Event : 4
7 0 0000001|0011|110|011 0x004F3
BX = 100 Event : 5
3 0 0011111|0010|010|110 0x07C96
4 0 0000000|0110|000|110 0x00186
5 0 0000100|0010|100|010 0x010A2
BX = 101 Event : 6
2 0 0001000|0100|000|111 0x02107
3 0 0001001|0101|000|100 0x02544
4 0 0000000|0110|001|000 0x00188
4 1 0000001|0100|000|111 0x00507
BX = 110 Event : 7
BX = 111 Event : 8
6 0 0000000|1000|000|010 0x00202
BX = 000 Event : 9
0 0 0000011|0010|000|110 0x00C86
0 1 0000100|0100|001|110 0x0110E
0 2 0000110|0010|001|110 0x0188E
0 3 0000111|0100|010|110 0x01D16
0 4 0001001|0001|010|110 0x02456
1 0 0001010|0111|111|011 0x029FB
2 0 0001100|1000|110|111 0x03237
4 0 0000000|0101|100|111 0x00167
BX = 001 Event : 10
0 0 0001100|1000|000|110 0x03206
0 1 0001101|0010|010|110 0x03496
0 2 0001110|1000|010|110 0x03A16
0 3 0010100|0101|110|100 0x05174
3 0 0001111|0100|101|111 0x03D2F
5 0 0000010|0110|100|010 0x009A2
BX = 010 Event : 11
BX = 011 Event : 12
0 0 0011100|0100|101|110 0x0712E
0 1 0011110|0010|101|111 0x078AF
1 0 0011101|1000|100|010 0x07622
3 0 0100011|0001|100|100 0x08C64
7 0 0001101|0111|111|011 0x035FB
BX = 100 Event : 13
0 0 0010001|0101|100|101 0x04565
0 1 0010111|0100|101|100 0x05D2C
BX = 101 Event : 14
1 0 0010011|0010|111|111 0x04CBF
7 0 0001111|0000|100|001 0x03C21
BX = 110 Event : 15
BX = 111 Event : 16
1 0 0010010|0001|101|011 0x0486B
1 1 0010011|0010|100|011 0x04CA3
1 2 0010100|0010|111|100 0x050BC
1 3 0010111|0110|100|101 0x05DA5
1 4 0011000|0011|100|101 0x060E5
1 5 0011001|1000|111|101 0x0663D
1 6 0011010|0010|110|110 0x068B6
1 7 0011011|0000|110|110 0x06C36
1 8 0011110|1000|101|110 0x07A2E
3 0 0100000|0100|110|110 0x08136
3 1 0100010|0100|100|110 0x08926
4 0 0000000|0001|000|111 0x00047
4 1 0000001|0001|000|111 0x00447
7 0 0000010|0100|011|111 0x0091F
BX = 000 Event : 17
0 0 0001101|0000|110|100 0x03434
3 0 0001100|0110|001|111 0x0318F
6 0 0000000|0001|111|111 0x0007F
BX = 001 Event : 18
2 0 0010001|1000|100|011 0x04623
3 0 0010010|0100|001|011 0x0490B
3 1 0010100|0011|001|100 0x050CC
5 0 0000000|0100|100|010 0x00122
5 1 0000100|0100|100|011 0x01123
BX = 010 Event : 19
1 0 0010001|1000|110|111 0x04637
BX = 011 Event : 20
2 0 0101001|0001|001|110 0x0A44E
BX = 100 Event : 21
4 0 0000000|0001|110|011 0x00073
BX = 101 Event : 22
6 0 0000001|1000|011|101 0x0061D
BX = 110 Event : 23
1 0 0001101|0000|011|101 0x0341D
1 1 0010000|0000|111|001 0x04039
BX = 111 Event : 24
0 0 0010111|0111|111|110 0x05DFE
7 0 0000010|0100|111|100 0x0093C
BX = 000 Event : 25
BX = 001 Event : 26
2 0 0001110|0100|100|000 0x03920
2 1 0001111|0101|101|000 0x03D68
6 0 0000000|0101|101|101 0x0016D
6 1 0000100|0101|101|110 0x0116E
BX = 010 Event : 27
5 0 0000110|0110|110|000 0x019B0
5 1 0000111|0100|111|000 0x01D38
BX = 011 Event : 28
1 0 0001111|0110|101|100 0x03DAC
5 0 0000001|0110|101|010 0x005AA
5 1 0000010|0011|101|010 0x008EA
6 0 0000101|0111|101|111 0x015EF
7 0 0000100|0100|011|000 0x01118
BX = 100 Event : 29
0 0 0001000|0100|100|011 0x02123
0 1 0001001|0011|101|011 0x024EB
0 2 0001010|0110|101|011 0x029AB
0 3 0001011|1000|110|011 0x02E33
6 0 0000011|0110|111|110 0x00DBE
BX = 101 Event : 30
6 0 0000010|1000|011|101 0x00A1D
6 1 0000100|0000|001|101 0x0100D
BX = 110 Event : 31
2 0 0000101|1000|011|100 0x0161C
6 0 0000000|0001|001|011 0x0004B
BX = 111 Event : 32
0 0 0010010|0100|001|010 0x0490A
7 0 0000010|0101|010|100 0x00954
7 1 0000011|0010|010|100 0x00C94
7 2 0001000|0001|110|110 0x02076
BX = 000 Event : 33
2 0 0010001|0110|010|011 0x04593
5 0 0000011|1000|111|110 0x00E3E
5 1 0000101|1000|110|110 0x01636
BX = 001 Event : 34
BX = 010 Event : 35
0 0 0011110|0101|010|000 0x07950
1 0 0011111|0010|101|000 0x07CA8
5 0 0000000|0011|010|010 0x000D2
5 1 0000001|1000|001|010 0x0060A
