BX = 000 Event : 1
BX = 001 Event : 2
2 0 0011000|0111|011|010 0x061DA
BX = 010 Event : 3
BX = 011 Event : 4
6 0 0000101|0110|111|010 0x015BA
BX = 100 Event : 5
7 0 0010001|0100|110|110 0x04536
7 1 0010010|0011|110|110 0x048F6
7 2 0010011|0110|101|110 0x04DAE
BX = 101 Event : 6
5 0 0000000|0011|010|100 0x000D4
5 1 0000001|0010|000|111 0x00487
BX = 110 Event : 7
4 0 0000001|0010|011|000 0x00498
BX = 111 Event : 8
6 0 0010110|0110|001|111 0x0598F
BX = 000 Event : 9
4 0 0000011|0101|110|110 0x00D76
BX = 001 Event : 10
1 0 0100100|0101|001|101 0x0914D
1 1 0101000|0110|001|111 0x0A18F
2 0 0010001|0101|110|110 0x04576
5 0 0000001|0111|110|100 0x005F4
6 0 0001000|0110|000|011 0x02183
7 0 0000010|0100|011|001 0x00919
7 1 0001001|0110|001|101 0x0258D
BX = 010 Event : 11
5 0 0001011|0011|010|010 0x02CD2
5 1 0001100|0110|001|010 0x0318A
5 2 0001101|0100|001|010 0x0350A
BX = 011 Event : 12
BX = 100 Event : 13
6 0 0000010|0110|001|100 0x0098C
BX = 101 Event : 14
1 0 0011000|0101|100|001 0x06161
1 1 0011001|0110|010|001 0x06591
1 2 0011010|0010|011|001 0x06899
5 0 0010011|0010|000|011 0x04C83
BX = 110 Event : 15
3 0 0011111|0110|101|111 0x07DAF
7 0 0010111|0010|000|000 0x05C80
BX = 111 Event : 16
5 0 0000000|0011|011|010 0x000DA
BX = 000 Event : 17
1 0 0001111|0110|100|011 0x03DA3
BX = 001 Event : 18
5 0 0000011|0101|000|011 0x00D43
BX = 010 Event : 19
5 0 0000010|0101|000|011 0x00943
5 1 0001001|0110|000|011 0x02583
BX = 011 Event : 20
7 0 0000001|0110|001|010 0x0058A
7 1 0000010|0010|010|010 0x00892
BX = 100 Event : 21
2 0 0001111|0100|001|100 0x03D0C
3 0 0010011|0101|100|111 0x04D67
7 0 0000100|0011|001|010 0x010CA
BX = 101 Event : 22
0 0 0010000|0101|000|110 0x04146
BX = 110 Event : 23
3 0 0011001|0100|000|110 0x06506
BX = 111 Event : 24
1 0 0011101|0101|111|110 0x0757E
4 0 0000011|0011|111|000 0x00CF8
4 1 0000110|0011|111|010 0x018FA
BX = 000 Event : 25
1 0 0000101|0101|110|110 0x01576
BX = 001 Event : 26
3 0 0100101|0100|100|011 0x09523
3 1 0100110|0011|101|011 0x098EB
3 2 0100111|0110|110|011 0x09DB3
3 3 0101000|0100|100|100 0x0A124
BX = 010 Event : 27
3 0 0011001|0100|101|000 0x06528
BX = 011 Event : 28
BX = 100 Event : 29
4 0 0000000|0110|000|000 0x00180
4 1 0000001|0011|000|000 0x004C0
4 2 0000011|0110|111|011 0x00DBB
BX = 101 Event : 30
5 0 0000000|0100|100|000 0x00120
BX = 110 Event : 31
6 0 0000000|0101|101|000 0x00168
6 1 0000001|0011|101|100 0x004EC
BX = 111 Event : 32
0 0 0100111|0110|001|110 0x09D8E
0 1 0101000|0110|001|111 0x0A18F
0 2 0101101|0110|000|110 0x0B586
3 0 0101100|0010|011|100 0x0B09C
6 0 0000100|0010|111|010 0x010BA
7 0 0001001|0110|011|100 0x0259C
7 1 0001010|0110|010|110 0x02996
BX = 000 Event : 33
2 0 0010110|0101|010|010 0x05952
3 0 0010111|0110|011|100 0x05D9C
BX = 001 Event : 34
7 0 0000100|0011|010|001 0x010D1
BX = 010 Event : 35
BX = 011 Event : 36
0 0 0010100|0110|000|100 0x05184
