BX = 000 Event : 1
BX = 001 Event : 2
0x00 0110001|0000111 0x1887
0x01 0110001|0001000 0x1888
0x02 0110001|1000100 0x18C4
0x03 0110010|0000111 0x1907
0x04 0110010|0001000 0x1908
0x05 0110010|1000100 0x1944
0x06 0110011|0000111 0x1987
0x07 0110011|0001000 0x1988
0x08 0110011|1000100 0x19C4
BX = 010 Event : 3
0x00 0001101|0101010 0x06AA
BX = 011 Event : 4
0x00 0000011|0001010 0x018A
0x01 0000011|0101111 0x01AF
0x02 0000011|0110000 0x01B0
0x03 0110000|0001010 0x180A
0x04 0110001|0101111 0x18AF
0x05 0110001|0110000 0x18B0
BX = 100 Event : 5
0x00 0101011|0101001 0x15A9
0x01 0101101|0101001 0x16A9
0x02 0110011|0000000 0x1980
0x03 0110011|0110001 0x19B1
0x04 0110100|0000000 0x1A00
0x05 0110100|0110001 0x1A31
0x06 0110101|0000000 0x1A80
0x07 0110101|0110001 0x1AB1
BX = 101 Event : 6
0x00 0000001|0001010 0x008A
0x01 0100101|0001010 0x128A
0x02 0100101|0001111 0x128F
0x03 0111011|1100001 0x1DE1
0x04 0111011|1100010 0x1DE2
BX = 110 Event : 7
0x00 0000011|0001001 0x0189
0x01 0001010|0011100 0x051C
0x02 0001010|0100000 0x0520
0x03 0010110|0110101 0x0B35
0x04 0010110|0111010 0x0B3A
0x05 0101111|0001001 0x1789
0x06 1001111|1010110 0x27D6
0x07 1001111|1010111 0x27D7
0x08 1010001|1010110 0x28D6
0x09 1011010|1100000 0x2D60
BX = 111 Event : 8
0x00 0100100|0000110 0x1206
BX = 000 Event : 9
0x00 0001000|0011011 0x041B
0x01 0100111|0001001 0x1389
0x02 1000011|0110101 0x21B5
0x03 1000011|0110110 0x21B6
BX = 001 Event : 10
0x00 0001110|0110010 0x0732
0x01 0001110|0110100 0x0734
BX = 010 Event : 11
0x00 0011100|0101000 0x0E28
BX = 011 Event : 12
0x00 0010000|0101100 0x082C
0x01 0010000|0101101 0x082D
0x02 0011100|1001011 0x0E4B
0x03 0011100|1001101 0x0E4D
0x04 0100101|0010010 0x1292
0x05 0100101|0010101 0x1295
0x06 0100101|0010110 0x1296
0x07 0100101|1011000 0x12D8
0x08 0111001|0111100 0x1CBC
0x09 0111010|0111010 0x1D3A
0x0a 0111010|0111100 0x1D3C
0x0b 0111101|1000100 0x1EC4
0x0c 0111101|1000101 0x1EC5
0x0d 0111110|1000100 0x1F44
0x0e 0111110|1000101 0x1F45
0x0f 1000000|1000100 0x2044
0x10 1000000|1000101 0x2045
0x11 1000001|1001011 0x20CB
0x12 1000001|1001101 0x20CD
BX = 100 Event : 13
0x00 0000100|1010101 0x0255
0x01 0000101|1010101 0x02D5
0x02 0010011|0001101 0x098D
0x03 0010011|0001111 0x098F
0x04 0010110|1010100 0x0B54
0x05 0010110|1010101 0x0B55
0x06 0010110|1010111 0x0B57
BX = 101 Event : 14
BX = 110 Event : 15
BX = 111 Event : 16
0x00 0000110|1010010 0x0352
0x01 0001000|0011000 0x0418
0x02 0001010|0011000 0x0518
0x03 0001110|0101000 0x0728
0x04 0001110|0101010 0x072A
0x05 0011011|0001000 0x0D88
0x06 0011111|0001000 0x0F88
0x07 0011111|0001010 0x0F8A
0x08 0100011|0001010 0x118A
0x09 0111000|1001000 0x1C48
0x0a 0111001|1001000 0x1CC8
0x0b 0111001|1001001 0x1CC9
BX = 000 Event : 17
0x00 0000100|0000101 0x0205
0x01 0100111|0101011 0x13AB
0x02 0100111|0101101 0x13AD
0x03 0100111|0101111 0x13AF
0x04 0100111|0110000 0x13B0
0x05 0101000|0101011 0x142B
0x06 0101000|0101101 0x142D
0x07 0101000|0101111 0x142F
0x08 0101000|0110000 0x1430
BX = 001 Event : 18
0x00 0000001|1001011 0x00CB
0x01 0000001|1001100 0x00CC
0x02 0000011|1001011 0x01CB
0x03 0000011|1001100 0x01CC
0x04 0110100|0111100 0x1A3C
BX = 010 Event : 19
0x00 0000011|1100010 0x01E2
0x01 0110010|0001011 0x190B
0x02 0110010|0010110 0x1916
0x03 0111000|0010110 0x1C16
0x04 0111000|1100010 0x1C62
0x05 1001001|1000101 0x24C5
BX = 011 Event : 20
0x00 0101010|0111110 0x153E
BX = 100 Event : 21
0x00 0111001|1000011 0x1CC3
BX = 101 Event : 22
0x00 0000010|1001011 0x014B
0x01 0010110|1001011 0x0B4B
0x02 0100011|0111000 0x11B8
0x03 0100110|0111111 0x133F
0x04 0100111|0111111 0x13BF
0x05 0101010|0111111 0x153F
BX = 110 Event : 23
0x00 0000000|1010100 0x0054
0x01 0000100|0100001 0x0221
0x02 0011100|0000000 0x0E00
0x03 0011100|1001101 0x0E4D
0x04 0011100|1010001 0x0E51
0x05 0100010|1011001 0x1159
0x06 0110001|0000000 0x1880
0x07 0110001|1001101 0x18CD
0x08 0110011|0000000 0x1980
0x09 0110011|1001101 0x19CD
BX = 111 Event : 24
0x00 0001010|0011100 0x051C
0x01 0100000|1001110 0x104E
0x02 0101111|0010010 0x1792
0x03 1001011|1000101 0x25C5
BX = 000 Event : 25
0x00 0000111|0011110 0x039E
0x01 0000111|0100000 0x03A0
0x02 0100110|1001000 0x1348
0x03 0101001|0010011 0x1493
0x04 0101010|0010011 0x1513
0x05 0110111|0000001 0x1B81
BX = 001 Event : 26
BX = 010 Event : 27
0x00 0001100|0101011 0x062B
0x01 0010010|0101101 0x092D
0x02 0010010|0101111 0x092F
0x03 0010010|0110001 0x0931
BX = 011 Event : 28
0x00 0011101|0000000 0x0E80
0x01 0101001|0001111 0x148F
0x02 0101001|1011000 0x14D8
0x03 0110000|0101110 0x182E
BX = 100 Event : 29
0x00 0001110|0010101 0x0715
BX = 101 Event : 30
0x00 0010011|0101100 0x09AC
0x01 0010110|0101100 0x0B2C
0x02 0011000|0101100 0x0C2C
BX = 110 Event : 31
0x00 0000001|1000111 0x00C7
0x01 0000010|1000111 0x0147
0x02 0101001|1000101 0x14C5
0x03 0101001|1000111 0x14C7
0x04 0110000|0111000 0x1838
0x05 0110000|0111010 0x183A
0x06 0110001|0111000 0x18B8
0x07 0110001|0111010 0x18BA
BX = 111 Event : 32
0x00 0010000|1000100 0x0844
0x01 0010000|1000101 0x0845
0x02 0010000|1001000 0x0848
0x03 0100110|0010001 0x1311
0x04 0100110|0010101 0x1315
BX = 000 Event : 33
0x00 0000100|0100101 0x0225
0x01 0000100|1011101 0x025D
0x02 0000100|1011111 0x025F
0x03 0000101|0100101 0x02A5
0x04 0000101|1011101 0x02DD
0x05 0000101|1011111 0x02DF
0x06 0000101|1100001 0x02E1
0x07 0001011|0111101 0x05BD
0x08 0001011|0111111 0x05BF
0x09 0001101|1000000 0x06C0
0x0a 0001110|0111101 0x073D
0x0b 0001110|0111111 0x073F
0x0c 0011110|0100101 0x0F25
0x0d 0011110|1011101 0x0F5D
0x0e 0011110|1011111 0x0F5F
0x0f 0011110|1100001 0x0F61
BX = 001 Event : 34
0x00 0010100|0101011 0x0A2B
0x01 0111001|0011011 0x1C9B
0x02 0111100|0011011 0x1E1B
BX = 010 Event : 35
0x00 0010111|0000111 0x0B87
0x01 0011011|1010001 0x0DD1
BX = 011 Event : 36
0x00 0000100|0001100 0x020C
0x01 0011110|1001011 0x0F4B
0x02 0011111|1001011 0x0FCB
0x03 0100100|1011100 0x125C
BX = 100 Event : 37
0x00 0010101|1001000 0x0AC8
0x01 0111101|1011101 0x1EDD
0x02 0111101|1011110 0x1EDE
0x03 0111111|1011101 0x1FDD
0x04 0111111|1011110 0x1FDE
0x05 1000110|1100011 0x2363
0x06 1001000|1100011 0x2463
BX = 101 Event : 38
0x00 0010101|0101110 0x0AAE
0x01 0100001|1000101 0x10C5
0x02 0100001|1000111 0x10C7
0x03 0100001|1001001 0x10C9
0x04 0100001|1001010 0x10CA
0x05 0110110|0111110 0x1B3E
0x06 0110110|1000000 0x1B40
BX = 110 Event : 39
0x00 0011101|0000111 0x0E87
0x01 0011101|0001000 0x0E88
0x02 0011101|0110110 0x0EB6
0x03 0011110|0000111 0x0F07
0x04 0011110|0001000 0x0F08
0x05 0011110|0110110 0x0F36
0x06 0100001|0110110 0x10B6
BX = 111 Event : 40
BX = 000 Event : 41
0x00 0100110|1010110 0x1356
0x01 0100110|1010111 0x1357
0x02 0110111|1000010 0x1BC2
BX = 001 Event : 42
0x00 0000110|0100101 0x0325
0x01 0000110|0100110 0x0326
0x02 0010011|0110010 0x09B2
0x03 0010100|0110010 0x0A32
0x04 0010110|0110010 0x0B32
0x05 0100000|1001110 0x104E
0x06 0110001|0111110 0x18BE
BX = 010 Event : 43
0x00 0000001|0001001 0x0089
0x01 0000001|1000110 0x00C6
0x02 0000001|0010011 0x0093
0x03 0011100|0000001 0x0E01
0x04 0011100|1000011 0x0E43
0x05 0100011|0001001 0x1189
0x06 0100011|1000110 0x11C6
BX = 011 Event : 44
0x00 0001100|0010110 0x0616
0x01 0001100|0011001 0x0619
0x02 0010000|0100010 0x0822
0x03 0100000|0001000 0x1008
0x04 0101000|0101100 0x142C
0x05 0101000|0101101 0x142D
0x06 0101011|0101101 0x15AD
BX = 100 Event : 45
0x00 0100110|0010010 0x1312
0x01 0110010|0111110 0x193E
BX = 101 Event : 46
0x00 0000110|0100000 0x0320
0x01 0110001|1000110 0x18C6
0x02 0110110|1010011 0x1B53
0x03 0111110|1011110 0x1F5E
BX = 110 Event : 47
0x00 0011010|0010101 0x0D15
0x01 0011010|1010011 0x0D53
0x02 0011010|1010100 0x0D54
BX = 111 Event : 48
0x00 0001011|0100001 0x05A1
0x01 0011001|1100101 0x0CE5
BX = 000 Event : 49
0x00 0101011|0011011 0x159B
0x01 0101011|1011101 0x15DD
0x02 0110110|1000100 0x1B44
0x03 0110111|1000100 0x1BC4
BX = 001 Event : 50
0x00 0000001|1001000 0x00C8
0x01 0000101|1001000 0x02C8
BX = 010 Event : 51
0x00 0000000|0111111 0x003F
BX = 011 Event : 52
0x00 0000110|0100010 0x0322
0x01 0000110|0100101 0x0325
0x02 0111001|0110111 0x1CB7
0x03 0111110|1000010 0x1F42
BX = 100 Event : 53
0x00 0011011|1001111 0x0DCF
0x01 0011100|1001111 0x0E4F
BX = 101 Event : 54
0x00 0000011|1010101 0x01D5
0x01 0000111|0010000 0x0390
0x02 0000111|0010100 0x0394
0x03 0001001|0010000 0x0490
0x04 0001001|0010100 0x0494
0x05 0001010|0010000 0x0510
0x06 0001010|0010100 0x0514
0x07 0001100|0011010 0x061A
0x08 0001100|0011101 0x061D
0x09 0010001|0100100 0x08A4
BX = 110 Event : 55
0x00 0100010|0000101 0x1105
0x01 0100010|1001000 0x1148
BX = 111 Event : 56
0x00 0011000|0010101 0x0C15
0x01 0011011|0010101 0x0D95
BX = 000 Event : 57
0x00 0100101|0000000 0x1280
0x01 0111010|0000000 0x1D00
BX = 001 Event : 58
0x00 0000110|0001010 0x030A
0x01 0000110|0001101 0x030D
0x02 0010011|0101000 0x09A8
0x03 0010100|0101010 0x0A2A
0x04 0010100|0110000 0x0A30
0x05 0100110|0001010 0x130A
0x06 0100110|0001101 0x130D
BX = 010 Event : 59
0x00 0001110|0011011 0x071B
0x01 0101000|0001000 0x1408
BX = 011 Event : 60
0x00 0100000|1001110 0x104E
BX = 100 Event : 61
0x00 0000100|0010011 0x0213
0x01 0000111|0011000 0x0398
0x02 0110001|1000101 0x18C5
0x03 0110001|1010000 0x18D0
BX = 101 Event : 62
0x00 0100010|0001100 0x110C
BX = 110 Event : 63
0x00 0101001|0110101 0x14B5
0x01 0101111|0111101 0x17BD
BX = 111 Event : 64
0x00 0011101|1001001 0x0EC9
0x01 0011101|0000000 0x0E80
0x02 0100010|0000000 0x1100
0x03 0100011|0000000 0x1180
0x04 0100011|1001101 0x11CD
0x05 0111111|0000000 0x1F80
BX = 000 Event : 65
0x00 0110100|0110111 0x1A37
0x01 0110100|0111001 0x1A39
BX = 001 Event : 66
0x00 0101001|0101010 0x14AA
0x01 0101001|0101011 0x14AB
BX = 010 Event : 67
0x00 0000010|0100110 0x0126
0x01 0000010|0101011 0x012B
0x02 0101010|0010101 0x1515
0x03 0101010|0100110 0x1526
BX = 011 Event : 68
0x00 0000101|0011101 0x029D
0x01 0001111|0100111 0x07A7
0x02 0010001|0100111 0x08A7
0x03 0100001|0000110 0x1086
0x04 0100001|0010000 0x1090
0x05 0100100|0011101 0x121D
0x06 0100110|0011101 0x131D
BX = 100 Event : 69
0x00 0110111|1000001 0x1BC1
0x01 0110111|1000010 0x1BC2
BX = 101 Event : 70
0x00 0101010|0101010 0x152A
BX = 110 Event : 71
0x00 0101100|0100000 0x1620
BX = 111 Event : 72
0x00 0000000|0000001 0x0001
0x01 0000001|0000001 0x0081
0x02 0000011|1001110 0x01CE
0x03 0000101|1001110 0x02CE
0x04 0100010|1001110 0x114E
0x05 0100010|1001111 0x114F
0x06 0110010|0110110 0x1936
0x07 0110010|0111000 0x1938
0x08 1000001|0000001 0x2081
BX = 000 Event : 73
0x00 0001111|0011110 0x079E
0x01 0011000|0110100 0x0C34
BX = 001 Event : 74
0x00 0000001|0111000 0x00B8
0x01 0000010|0111000 0x0138
0x02 0001111|0100011 0x07A3
0x03 0011010|0111000 0x0D38
0x04 0011100|0001101 0x0E0D
0x05 0011100|0111000 0x0E38
0x06 0100010|0111000 0x1138
0x07 0100011|0001101 0x118D
0x08 0100011|0111000 0x11B8
BX = 010 Event : 75
0x00 0011011|0001000 0x0D88
0x01 0011100|0001000 0x0E08
0x02 0011101|0001000 0x0E88
0x03 0101101|0110100 0x16B4
0x04 0101101|0110110 0x16B6
0x05 0101111|0111111 0x17BF
0x06 0110000|0110100 0x1834
0x07 0110000|0110110 0x1836
0x08 0110000|0111111 0x183F
BX = 011 Event : 76
0x00 0010110|1010010 0x0B52
BX = 100 Event : 77
0x00 0000000|0110010 0x0032
BX = 101 Event : 78
0x00 0010111|0000111 0x0B87
BX = 110 Event : 79
0x00 0001101|0101011 0x06AB
0x01 0010010|0001000 0x0908
0x02 0010010|0101110 0x092E
BX = 111 Event : 80
0x00 0000000|0000010 0x0002
0x01 0000000|1010001 0x0051
0x02 0000101|0011111 0x029F
0x03 0100101|0000010 0x1282
0x04 0100101|1010001 0x12D1
0x05 0101000|0000110 0x1406
0x06 0101000|1010010 0x1452
0x07 0101000|1010011 0x1453
0x08 1000101|0000010 0x2282
0x09 1000101|1001110 0x22CE
BX = 000 Event : 81
BX = 001 Event : 82
0x00 0000010|0011100 0x011C
0x01 0000010|0011101 0x011D
0x02 0000010|0011111 0x011F
0x03 0000010|0100000 0x0120
0x04 0001100|0101010 0x062A
0x05 0100000|0011100 0x101C
0x06 0101000|1000001 0x1441
0x07 0101000|1000100 0x1444
0x08 0101011|1001000 0x15C8
BX = 010 Event : 83
0x00 0000110|0010101 0x0315
0x01 0000110|0010111 0x0317
BX = 011 Event : 84
0x00 0101101|0001111 0x168F
0x01 0101110|0001111 0x170F
BX = 100 Event : 85
0x00 0100101|0001001 0x1289
0x01 0100101|0001010 0x128A
0x02 0100101|0001111 0x128F
0x03 0100101|1010101 0x12D5
0x04 1000011|1000100 0x21C4
0x05 1001000|1001011 0x244B
0x06 1001010|1001101 0x254D
BX = 101 Event : 86
BX = 110 Event : 87
BX = 111 Event : 88
BX = 000 Event : 89
0x00 0100011|1010110 0x11D6
BX = 001 Event : 90
0x00 0000101|0011010 0x029A
0x01 0100100|1001001 0x1249
0x02 0100110|1001001 0x1349
BX = 010 Event : 91
0x00 0001000|0001001 0x0409
0x01 0110010|1000010 0x1942
0x02 0111001|0001001 0x1C89
0x03 1000111|0101100 0x23AC
0x04 1000111|0101110 0x23AE
BX = 011 Event : 92
0x00 0010100|0100010 0x0A22
BX = 100 Event : 93
0x00 0011011|0100100 0x0DA4
0x01 0011011|0100111 0x0DA7
BX = 101 Event : 94
BX = 110 Event : 95
0x00 0001101|0100010 0x06A2
0x01 0001101|0100110 0x06A6
0x02 0001101|0100111 0x06A7
0x03 0001111|0100010 0x07A2
0x04 0001111|0100110 0x07A6
0x05 0001111|0100111 0x07A7
BX = 111 Event : 96
0x00 0100100|0111000 0x1238
